22.1.1.31. A kivándorló magyar állampolgárok célországok és nemek szerint;;;;;;;;;;;;
Ország;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Férfi;;;;;;;;;;;;
  Ausztria;546;1 514;1 470;2 668;3 678;3 890;3 893;3 961;3 712;3 846;3 798;4 665
  Németország;537;1 995;2 494;3 984;6 276;6 514;5 438;5 111;4 151;3 489;3 035;3 762
  Egyesült Királyság;1 399;1 582;1 606;2 721;3 625;3 621;2 963;2 259;1 707;1 317;839;622
  Egyéb;1 003;1 463;1 352;2 191;3 216;3 532;3 279;3 256;3 030;2 789;2 544;3 088
Összesen;3 485;6 554;6 922;11 564;16 795;17 557;15 573;14 587;12 600;11 441;10 216;12 137
Nõ;;;;;;;;;;;;
  Ausztria;531;1 300;1 292;2 491;3 644;3 953;3 770;3 620;3 488;3 601;3 381;3 340
  Németország;501;1315;1749;2831;4 423;4 734;4 077;3 495;3 073;2 631;2 220;2 599
  Egyesült Királyság;1 597;1 835;1 722;2 811;3 635;3 548;3 056;2 360;1 809;1 484;1 014;757
  Egyéb;1 204;1 409;1 279;1 883;2 888;3 060;2 949;2 895;2 838;2 743;2 491;2 897
Összesen;3 833;5 859;6 042;10 016;14 590;15 295;13 852;12 370;11 208;10 459;9 106;9 593
Összesen;;;;;;;;;;;;
  Ausztria;1 077;2 814;2 762;5 159;7 322;7 843;7 663;7 581;7 200;7 447;7 179;8 005
  Németország;1 038;3 310;4 243;6 815;10 699;11 248;9 515;8 606;7 224;6 120;5 255;6 361
  Egyesült Királyság;2 996;3 417;3 328;5 532;7 260;7 169;6 019;4 619;3 516;2 801;1 853;1 379
  Egyéb;2 207;2 872;2 631;4 074;6 104;6 592;6 228;6 151;5 868;5 532;5 035;5 985
Összesen;7 318;12 413;12 964;21 580;31 385;32 852;29 425;26 957;23 808;21 900;19 322;21 730
