21.1.1.26. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Kormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2;Termelési és importadók;;;1 011 450;1 193 425;1 350 316;1 613 731;1 887 908;2 200 464;2 366 876;2 595 863;2 973 426;3 361 797;3 456 702;3 622 378;4 028 971;4 216 391;4 314 730;4 725 742;4 903 236;5 366 133;5 629 253;6 048 024;6 507 211;6 526 493;7 009 287;7 827 375;8 526 818;8 723 822;9 691 744
D.21;Termékadók;;;993 100;1 161 974;1 307 419;1 560 225;1 822 874;2 124 245;2 278 619;2 493 585;2 862 043;3 220 214;3 299 530;3 448 459;3 821 322;3 994 305;4 066 648;4 291 067;4 433 540;4 841 093;5 001 465;5 382 680;5 790 796;5 835 817;6 241 202;6 988 960;7 548 947;7 674 070;8 567 662
D.211;Hozzáadottérték-adó típusú adók;;;431 422;519 112;658 072;793 230;924 822;1 159 959;1 230 216;1 340 914;1 539 868;1 831 647;1 856 547;1 800 345;2 013 271;2 068 438;2 192 234;2 325 608;2 379 253;2 627 571;2 693 555;3 011 162;3 309 540;3 299 838;3 626 566;4 129 537;4 526 757;4 717 048;5 460 243
D.211_01;Általános forgalmi adó (áfa);C ;;431 422;519 112;658 072;793 230;924 822;1 159 959;1 230 216;1 340 914;1 539 868;1 831 647;1 856 547;1 800 345;2 013 271;2 068 438;2 192 234;2 325 608;2 379 253;2 627 571;2 693 555;3 011 162;3 309 540;3 299 838;3 626 566;4 129 537;4 526 757;4 717 048;5 460 243
D.212;Importadók és importvámok a hozzáadottérték-adók kivételével;;;284 183;280 037;200 093;163 795;168 537;171 767;171 031;184 041;203 886;45 101;1 738;2 186;679;2 663;3 137;2 030;2 173;35;–;–;–;–;–;–;–;–;–
D.2121;Importvámok;;;249 431;248 709;161 300;131 593;141 082;137 731;125 013;129 341;132 638;31 953;-797;-195;-202;-51;-56;-9;–;–;–;–;–;–;–;–;–;–;–
D.2121_01;Import vám;C ;;249 431;248 709;161 300;131 593;141 082;137 731;125 013;129 341;132 638;31 953;-797;-195;-202;-51;-56;-9;–;–;–;–;–;–;–;–;–;–;–
D.2122;Importadók a hozzáadottérték-adók és importvámok kivételével;;;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122A;Az importált mezõgazdasági termékek utáni importilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B;Az importra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C;Jövedéki adók;;;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122C_01;Import termékekre kivetett fogyasztási adó;C ;;34 752;31 308;35 678;18 862;22 220;25 292;35 654;41 032;52 844;6 337;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C_02;Import termékek környezetvédelmi termékdíja;C ;P ;–;20;3 115;13 340;5 235;8 744;10 364;13 668;18 404;6 811;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122D;Importra kivetett általános forgalmi adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E;Meghatározott szolgáltatásokra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F;Importmonopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214;Termékadók a hozzáadottérték-adók és az importadók kivételével;;;277 495;362 825;449 254;603 200;729 515;792 519;877 372;968 630;1 118 289;1 343 466;1 441 245;1 645 928;1 807 372;1 923 204;1 871 277;1 963 429;2 052 114;2 213 487;2 307 910;2 371 518;2 481 256;2 535 979;2 614 636;2 859 423;3 022 190;2 957 022;3 107 419
D.214A;Jövedéki adók és fogyasztási adók;;;201 141;243 436;291 129;402 463;458 432;484 673;512 070;565 370;616 865;673 690;708 080;790 494;847 832;890 817;911 598;880 054;908 812;994 776;963 301;995 543;1 077 465;1 111 633;1 113 593;1 223 997;1 258 616;1 279 737;1 319 630
D.214A_01;Fogyasztási és jövedéki adó;C ;;196 486;232 544;282 497;397 081;452 625;478 584;505 933;559 032;609 810;649 569;680 522;762 131;817 995;854 735;873 358;847 739;875 296;923 617;899 938;932 648;994 143;1 022 240;1 016 958;1 146 974;1 178 105;1 204 912;1 236 062
D.214A_02;Környezetvédelmi termékdíj;C ;P ;4 655;10 892;8 632;5 382;5 807;6 089;6 137;6 338;7 055;13 199;15 076;15 901;18 568;20 472;24 511;15 235;16 195;54 996;46 711;48 094;65 534;70 894;77 792;77 023;80 511;74 825;83 568
D.214A_03;Energiaadó;C ;E ;–;–;–;–;–;–;–;–;–;10 922;12 482;12 462;11 269;15 610;13 729;17 080;17 321;16 163;16 652;14 801;17 788;18 499;18 843;–;–;–;–
D.214B;Bélyegilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C;Pénzügyi és tõkemûveletekre kivetett adók;;;20 252;28 680;33 695;40 024;45 714;52 754;63 902;71 415;98 526;111 328;112 491;118 881;117 466;140 555;118 481;77 618;68 905;79 869;64 708;81 879;93 389;113 564;129 831;147 562;168 708;165 192;185 271
D.214C_01;Adásvételi illeték;KS ;O;20 252;28 680;33 695;40 024;45 714;52 754;63 902;71 415;98 526;111 328;112 491;118 881;117 466;140 555;118 481;77 618;68 905;79 869;64 708;81 879;93 389;113 564;129 831;147 562;168 708;165 192;185 271
D.214D;Gépjármûnyilvántartási adók;;;–;–;–;–;–;–;–;–;–;57 010;68 279;88 412;98 874;86 775;33 552;30 039;34 479;13 671;15 608;18 810;21 410;23 647;25 021;25 353;25 088;19 523;16 970
D.214D_01;Gépjármû regisztrációs adó;C ;T;–;–;–;–;–;–;–;–;–;57 010;68 279;88 412;98 874;86 775;33 552;30 039;34 479;13 671;15 608;18 810;21 410;23 647;25 021;25 353;25 088;19 523;16 970
D.214E;Szórakoztatóipari tevékenységekre kivetett adók;;;786;1 584;2 345;3 795;4 168;4 606;5 299;6 667;7 741;7 823;7 342;7 824;8 432;8 676;7 433;1 096;136;207;105;4 228;5 802;13 182;4 823;14 055;6 451;0;0
D.214E_01;Nemzeti kulturális járulék;C ;;786;1 584;2 345;3 795;4 168;4 606;5 299;6 667;7 741;7 823;7 342;7 824;8 432;8 676;7 433;1 096;136;159;–;–;–;–;–;–;–;–;–
D.214E_02;Kulturális adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;48;105;146;127;172;93;152;–;–;–
