21.1.1.10. Hozzájárulás a bruttó hazai termék (GDP) változásához nemzetgazdasági áganként (termelési oldal), elõzõ év azonos idõszakához viszonyított indexekbõl számítva[százalékpont];;;;;;;;;;;;;;;
Év;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabadidõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1996;0,3;0,8;0,8;-0,3;0,3;0,0;-0,3;0,5;-0,5;0,2;0,7;0,1;-0,3;-1,1;0,1
1997;-0,3;2,6;2,5;0,3;0,0;0,4;0,4;0,6;-1,1;0,1;0,2;-0,4;-0,2;0,5;3,1
1998;0,3;1,9;1,9;0,4;0,7;0,3;0,0;0,5;0,0;-0,4;0,2;0,3;-0,1;0,6;3,9
1999;0,2;1,2;1,2;0,2;0,9;0,2;0,3;0,4;-0,6;0,2;0,2;0,2;0,1;0,6;3,1
2000;-0,5;0,9;0,9;0,4;3,0;0,9;0,1;0,3;0,2;0,1;0,4;0,9;0,1;0,7;4,5
2001;0,6;0,7;0,9;0,3;1,9;0,0;0,4;0,3;0,0;-0,1;0,7;0,4;0,3;0,4;4,1
2002;-0,8;1,4;1,4;0,6;3,0;1,0;0,1;0,6;0,2;-0,1;0,6;0,4;0,2;0,6;4,7
2003;0,1;1,2;1,6;0,0;2,4;0,5;-0,1;0,5;0,2;0,4;0,3;0,7;-0,1;0,4;4,1
2004;2,0;1,3;1,1;0,1;1,0;0,4;0,3;0,1;0,2;0,0;0,0;0,1;0,0;0,7;5,0
2005;-0,3;0,7;1,0;0,5;2,6;0,8;0,2;0,3;0,1;0,4;0,4;0,3;0,1;0,7;4,3
2006;-0,2;1,4;1,3;-0,2;2,4;0,9;0,2;0,2;0,1;0,5;0,4;0,2;0,0;0,6;3,9
2007;-0,7;1,3;1,2;-0,4;0,0;-0,1;0,2;0,2;-0,1;-0,1;-0,1;0,0;0,0;0,1;0,3
2008;1,9;-1,0;-0,7;-0,4;0,2;-0,1;-0,2;0,1;0,0;0,1;0,2;0,0;0,1;0,3;1,0
2009;-0,4;-3,0;-3,2;-0,2;-2,1;-1,8;-0,3;0,3;0,0;0,2;-0,2;-0,1;-0,1;-0,9;-6,6
2010;-0,7;1,4;1,6;-0,4;0,8;-0,2;0,2;0,0;-0,3;0,7;0,2;0,2;0,0;0,0;1,1
2011;0,5;-0,1;0,1;0,1;1,2;0,2;0,1;0,2;-0,1;0,3;0,2;0,3;0,0;0,2;1,9
2012;-0,9;-0,4;-0,2;-0,2;0,4;0,3;0,0;0,1;-0,1;-0,1;0,0;0,3;-0,1;-0,2;-1,3
2013;0,6;-0,5;-0,4;0,2;1,8;0,5;0,1;0,1;-0,1;0,1;0,3;0,7;0,0;-0,2;1,8
2014;0,6;1,4;1,3;0,3;1,5;0,7;0,2;0,2;0,0;0,0;0,4;0,1;0,1;0,5;4,2
2015;0,0;1,8;1,7;0,2;1,1;0,3;0,1;0,1;0,0;-0,1;0,5;0,2;0,1;0,6;3,7
2016;0,5;0,4;0,1;-0,5;1,6;0,1;0,3;0,2;0,0;0,2;0,5;0,3;0,0;0,3;2,2
2017;-0,3;0,5;0,6;0,6;2,7;0,7;0,1;0,5;0,2;0,1;1,0;-0,1;0,2;0,7;4,3
2018;0,2;0,6;0,5;0,5;3,4;1,0;0,4;0,4;0,2;0,3;0,8;0,1;0,2;0,6;5,4
2019;-0,1;0,6;0,3;0,6;2,8;0,6;0,3;0,4;0,4;0,2;0,5;0,1;0,2;0,9;4,9
2020;-0,3;-1,5;-1,4;-0,4;-1,9;-0,6;-0,5;0,3;0,1;0,0;-0,4;-0,6;-0,3;-0,5;-4,5
2021;-0,1;1,2;1,5;0,4;4,8;1,1;0,2;0,9;0,3;0,3;1,3;0,3;0,3;0,8;7,1
