14.1.1.16. A különbözõ megélhetési szintekhez szükségesnek tartott nettó jövedelemösszeg a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [ezer forint/fõ/hó];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Jó;125,9;137,2;115,1;90,6;100,9;114,0;251,9;187,2;170,8;138,6;189,8;251,9;263,3;244,0;269,2;231,5
Nagyon jó;178,1;190,3;160,2;129,6;134,8;157,9;354,5;268,6;234,2;191,5;266,3;354,5;374,3;340,5;384,9;318,4
2016;;;;;;;;;;;;;;;;
Nagyon szûkös;51,6;60,3;50,6;38,9;46,5;50,1;102,3;77,7;72,8;59,7;79,3;102,3;106,2;99,6;105,9;98,1
Szûkös;67,7;78,9;66,1;51,5;59,7;65,3;135,0;103,1;95,0;77,7;104,4;135,0;141,6;130,6;141,8;127,2
Átlagos;94,7;107,8;90,8;72,4;81,5;89,8;183,3;142,4;129,6;106,2;142,6;183,3;192,4;177,2;195,0;169,9
Jó;132,0;147,6;122,8;97,9;109,4;122,0;252,5;198,1;176,0;144,7;196,1;252,5;268,0;242,1;273,2;228,9
Nagyon jó;189,8;221,0;182,4;137,9;149,2;176,5;362,2;286,5;244,1;201,1;278,6;362,2;390,1;343,5;398,4;320,9
2017;;;;;;;;;;;;;;;;
Nagyon szûkös;57,4;62,6;51,7;41,5;47,1;52,1;105,7;79,2;73,8;61,7;81,1;105,7;110,3;102,6;110,5;100,6
Szûkös;75,6;80,7;67,1;53,2;60,3;67,3;139,1;105,0;96,2;81,0;106,7;139,1;144,7;135,3;147,3;130,3
Átlagos;106,1;110,6;93,4;73,2;81,5;92,6;192,2;149,5;132,6;112,5;148,6;192,2;199,1;187,4;207,3;175,6
Jó;146,0;149,5;131,8;98,7;112,6;127,4;273,4;209,5;182,4;157,6;208,6;273,4;287,3;263,9;297,3;247,5
Nagyon jó;220,6;224,2;211,4;139,6;157,0;190,6;416,5;314,3;259,1;246,1;313,5;416,5;468,0;381,2;472,0;356,1
2018;;;;;;;;;;;;;;;;
Nagyon szûkös;66,0;65,4;54,9;41,4;49,3;54,8;117,1;86,2;80,5;70,8;89,8;117,1;120,4;114,7;126,5;106,5
Szûkös;83,8;85,0;71,5;54,2;65,8;71,6;154,4;113,5;105,0;93,5;118,1;154,4;161,7;149,1;168,0;139,1
Átlagos;114,7;119,2;100,1;77,1;87,1;99,0;208,3;158,9;142,6;123,0;160,4;208,3;218,6;200,8;227,1;187,1
Jó;151,1;164,4;137,0;105,2;115,9;134,3;291,8;219,4;191,4;165,2;220,2;291,8;306,6;281,1;322,0;257,8
Nagyon jó;213,7;232,1;196,2;150,1;165,1;191,1;418,6;331,9;268,3;245,7;320,8;418,6;447,5;397,5;469,9;360,9
2019;;;;;;;;;;;;;;;;
Nagyon szûkös;69,5;68,2;59,6;44,1;49,1;58,0;117,8;90,4;84,2;68,5;91,0;117,8;122,0;115,0;126,3;108,9
Szûkös;88,9;89,1;77,6;57,9;63,2;75,3;156,7;118,9;110,4;90,6;120,1;156,7;163,3;152,3;169,7;143,0
Átlagos;121,9;124,1;107,3;80,7;87,9;104,6;216,3;166,1;151,2;122,8;165,5;216,3;226,5;209,7;235,6;196,0
Jó;168,4;171,3;143,9;108,9;120,9;142,7;302,7;229,8;206,8;167,4;228,7;302,7;316,8;293,5;331,7;272,2
Nagyon jó;235,6;242,0;218,8;154,7;169,0;205,4;479,4;346,0;304,3;256,9;350,0;479,4;544,8;436,9;551,6;403,5
2020;;;;;;;;;;;;;;;;
Nagyon szûkös;74,3;75,4;62,5;48,3;54,9;62,8;130,3;98,7;87,2;76,4;99,5;130,3;139,6;123,9;141,4;118,2
Szûkös;98,7;98,5;81,3;63,2;71,4;82,0;170,9;130,2;114,2;98,4;130,2;170,9;184,4;161,7;186,4;154,1
Átlagos;138,6;139,6;113,6;88,0;99,1;114,9;237,6;184,1;157,5;135,9;181,4;237,6;257,8;223,8;260,3;213,0
Jó;193,1;190,8;155,6;119,7;132,0;156,8;332,5;254,0;215,0;185,1;250,4;332,5;362,4;312,1;366,3;295,9
Nagyon jó;293,7;280,2;228,9;163,2;189,7;228,2;493,0;367,2;294,5;254,9;358,6;493,0;535,9;463,7;543,6;438,3
2021;;;;;;;;;;;;;;;;
Nagyon szûkös;88,9;81,2;69,4;53,5;63,7;72,5;143,2;107,6;95,1;84,2;117,8;143,2;153,5;136,7;156,9;126,7
Szûkös;115,2;105,7;90,0;69,1;81,8;94,0;188,0;140,8;123,6;107,9;153,9;188,0;201,4;179,4;205,6;166,9
Átlagos;156,3;149,7;124,6;95,2;112,9;130,7;258,7;198,0;168,9;150,2;212,7;258,7;276,7;247,1;284,3;227,7
Jó;211,8;203,3;167,5;127,4;150,5;176,2;359,6;272,6;230,1;200,1;293,1;359,6;387,9;341,3;398,7;312,3
Nagyon jó;320,4;293,9;277,1;195,0;223,5;268,1;523,7;402,6;321,7;286,3;424,8;523,7;592,9;479,0;593,5;439,2
