20.1.2.5. A foglalkoztatottak száma foglalkoztatásuk jellege szerint, régióként [ezer fõ];;;;;
Régiók/Év;Alkalmazott;Nem alkalmazott összesen;Nem alkalmazott ebbõl: társas és egyéni vállalkozó;Nem alkalmazott ebbõl: segítõ családtag;Összesen
Budapest;;;;;
2009;657,4;108,7;106,5;1,3;766,0
2010;638,9;107,0;104,9;0,4;745,9
2011;642,4;110,4;107,1;1,7;752,9
2012;659,9;116,0;112,4;2,9;775,9
2013;666,9;118,0;114,6;2,2;784,9
2014;692,8;116,3;112,5;2,2;809,1
2015;717,5;115,8;113,0;1,6;833,3
2016;762,2;108,1;104,2;3,0;870,3
2017;764,4;109,2;107,8;0,9;873,5
2018;742,5;121,0;119,8;1,1;863,5
2019;741,6;132,7;131,1;0,3;874,3
2020;743,8;134,6;132,1;1,2;878,4
2021;745,1;127,4;125,1;1,8;872,5
Pest;;;;;
2009;435,4;69,2;65,8;2,3;504,6
2010;437,2;64,2;61,4;1,9;501,4
2011;443,5;64,5;61,4;1,9;508,0
2012;451,2;61,9;57,5;3,2;513,1
2013;465,2;61,3;57,0;3,0;526,4
2014;479,2;68,8;66,2;1,9;547,9
2015;493,4;68,0;66,0;1,5;561,4
2016;504,9;79,8;77,2;1,9;584,6
2017;518,8;79,0;76,2;2,2;597,9
2018;545,2;73,7;71,4;1,5;618,9
2019;555,1;81,6;79,5;1,2;636,7
2020;550,6;93,6;92,3;0,9;644,3
2021;560,4;98,1;96,5;1,6;658,4
Közép-Dunántúl;;;;;
2009;405,6;43,6;40,3;1,8;449,2
2010;398,7;47,9;45,1;1,3;446,6
2011;413,8;45,6;43,6;1,4;459,5
2012;414,9;41,6;40,2;0,9;456,5
2013;421,3;40,8;38,8;1,4;462,1
2014;437,9;46,2;43,5;1,1;484,2
2015;453,7;47,0;45,5;0,7;500,7
2016;461,8;42,7;41,3;1,0;504,5
2017;475,3;41,0;38,6;2,0;516,3
2018;475,8;41,2;39,0;1,4;517,0
2019;473,6;46,5;45,2;0,7;520,2
2020;466,2;53,1;52,2;0,7;519,3
2021;468,8;57,5;56,2;1,3;526,2
Nyugat-Dunántúl;;;;;
2009;370,1;50,1;45,4;3,0;420,1
2010;364,0;50,9;47,6;1,7;414,9
2011;378,4;45,3;42,0;1,9;423,7
2012;379,8;49,2;46,7;1,0;429,0
2013;387,8;46,1;44,5;0,8;433,9
2014;413,8;44,4;41,7;1,1;458,3
2015;412,2;50,3;48,3;1,2;462,5
2016;425,1;48,5;46,4;1,1;473,7
2017;440,1;44,7;43,0;1,2;484,8
2018;449,9;46,8;45,0;1,2;496,7
2019;452,5;50,6;48,6;0,9;503,1
2020;440,8;57,9;55,6;1,2;498,6
2021;442,3;59,9;58,6;1,3;502,3
Dél-Dunántúl;;;;;
2009;304,2;40,0;37,5;1,7;344,2
2010;304,8;41,8;38,1;3,0;346,5
2011;294,2;43,8;40,9;2,6;338,0
2012;299,7;38,4;36,2;1,7;338,0
2013;313,7;35,5;33,1;1,7;349,3
2014;327,8;37,9;33,1;1,5;365,8
2015;334,3;35,1;33,4;1,1;369,4
2016;344,6;35,0;33,2;1,1;379,6
2017;341,7;35,8;34,5;1,3;377,5
2018;343,9;38,0;36,8;0,8;381,9
2019;347,3;34,0;32,7;0,9;381,4
2020;332,4;41,2;39,6;1,3;373,6
2021;332,8;44,7;43,7;1,0;377,6
Észak-Magyarország;;;;;
2009;367,8;42,0;40,1;1,1;409,8
2010;369,6;34,8;33,3;0,8;404,4
2011;367,7;34,8;33,5;0,9;402,6
2012;372,7;31,9;30,5;0,8;404,5
2013;385,2;32,1;30,7;1,0;417,3
2014;405,1;38,7;32,5;1,1;443,7
2015;429,4;34,1;30,8;0,7;463,4
2016;446,2;31,5;29,8;1,0;477,7
2017;451,7;32,3;31,0;1,3;484,1
2018;462,3;32,9;31,9;0,9;495,1
2019;461,2;34,2;33,1;1,0;495,4
2020;442,0;41,3;40,5;0,8;483,2
2021;431,1;47,7;46,4;1,2;478,7
Észak-Alföld;;;;;
2009;449,3;60,6;57,6;1,8;509,9
2010;459,6;58,0;56,1;1,3;517,6
2011;465,9;58,2;54,8;2,6;524,2
2012;480,9;58,5;55,7;2,3;539,4
2013;493,0;58,2;55,0;1,9;551,2
2014;531,7;57,9;50,9;1,5;589,6
2015;545,4;58,8;52,4;2,6;604,2
2016;567,9;58,8;54,4;2,4;626,7
2017;589,1;55,0;53,3;1,6;644,1
2018;601,0;55,9;54,4;0,9;656,9
2019;598,4;58,0;55,7;1,8;656,4
2020;578,3;62,4;60,0;1,9;640,7
2021;578,3;67,6;65,2;2,1;645,9
Dél-Alföld;;;;;
2009;418,7;72,1;67,8;2,5;490,7
2010;427,6;68,9;65,4;2,5;496,5
2011;427,0;67,2;63,3;2,9;494,2
2012;438,6;63,7;59,7;2,6;502,3
2013;444,6;59,5;56,1;2,0;504,1
2014;460,2;63,9;58,0;3,3;524,1
2015;477,0;63,2;59,2;2,7;540,2
2016;489,0;76,1;72,4;2,3;565,1
2017;502,3;67,9;64,6;2,9;570,2
2018;512,0;64,2;61,6;2,5;576,3
2019;515,3;61,8;59,2;2,3;577,1
2020;502,5;62,7;59,5;2,7;565,1
2021;498,9;74,0;70,9;3,0;572,9
Összesen;;;;;
2009;3 408,4;479,2;461,0;15,5;3 887,6
2010;3 400,2;467,6;451,9;12,8;3 867,8
2011;3 433,1;464,6;446,7;15,9;3 897,7
2012;3 497,6;456,6;438,9;15,4;3 954,2
2013;3 577,7;447,1;429,8;14,1;4 024,8
2014;3 748,6;455,6;438,5;13,6;4 204,2
2015;3 862,9;462,3;448,5;12,1;4 325,1
2016;4 001,7;473,6;458,9;13,8;4 475,3
2017;4 083,3;462,8;449,1;13,3;4 546,1
2018;4 132,7;470,4;459,8;10,3;4 603,0
2019;4 145,1;494,3;485,0;9,1;4 639,4
2020;4 056,6;542,7;531,7;10,6;4 599,3
2021;4 057,7;576,8;562,5;13,1;4 634,6
Nem besorolt;;;;;
2009;0,0;0,0;0,0;0,0;6,9
2010;0,0;0,0;0,0;0,0;6,0
2011;0,0;0,0;0,0;0,0;5,3
2012;0,0;0,0;0,0;0,0;4,6
2013;0,0;0,0;0,0;0,0;4,4
2014;0,0;0,0;0,0;0,0;18,4
2015;0,0;0,0;0,0;0,0;10,0
2016;0,0;0,0;0,0;0,0;7,0
2017;0,0;0,0;0,0;0,0;2,3
2018;0,0;0,0;0,0;0,0;3,3
2019;0,0;0,0;0,0;0,0;5,2
2020;0,0;0,0;0,0;0,0;4,0
2021;0,0;0,0;0,0;0,0;0,0
Foglalkoztatottak összesen;;;;;
2009;3 408,4;486,0;461,0;15,5;3 894,5
2010;3 400,2;473,6;451,9;12,8;3 873,8
2011;3 433,1;469,9;446,7;15,9;3 903,0
2012;3 497,6;461,1;438,9;15,4;3 958,7
2013;3 577,7;451,6;429,8;14,1;4 029,3
2014;3 748,6;474,0;438,5;13,6;4 222,6
2015;3 862,9;472,2;448,5;12,1;4 335,1
2016;4 001,7;480,5;458,9;13,8;4 482,2
2017;4 083,3;465,1;449,1;13,3;4 548,4
2018;4 132,7;473,7;459,8;10,3;4 606,4
2019;4 145,1;499,5;485,0;9,1;4 644,6
2020;4 056,6;546,6;531,7;10,6;4 603,2
2021;4 057,7;576,8;562,5;13,1;4 634,6
