2.2.2.1. A kiskereskedelmi üzletek száma megye és régió szerint;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2018. június 30.;2018. december 31.;2019. június 30.;2019. december 31.;2020. június 30.;2020. december 31.;2021. június 30.;2021. december 31.;2022. június 30.;2022. december 31.
Kiskereskedelmi üzlet;;;;;;;;;;;
Budapest;fõváros, régió;28 660;28 302;27 794;27 421;26 822;26 201;25 474;24 943;24 073;
Pest ;megye, régió;13 821;13 720;13 612;13 470;13 373;13 166;13 030;12 835;12 653;
Közép-Magyarország;nagyrégió;42 481;42 022;41 406;40 891;40 195;39 367;38 504;37 778;36 726;
Fejér;megye;4 398;4 409;4 396;4 383;4 342;4 288;4 245;4 216;4 158;
Komárom-Esztergom;megye;3 614;3 572;3 547;3 508;3 464;3 407;3 377;3 350;3 294;
Veszprém;megye;4 850;4 810;4 778;4 737;4 671;4 619;4 547;4 461;4 438;
Közép-Dunántúl;régió;12 862;12 791;12 721;12 628;12 477;12 314;12 169;12 027;11 890;
Gyõr-Moson-Sopron;megye;6 008;6 027;6 013;6 026;5 945;5 859;5 800;5 746;5 671;
Vas;megye;3 048;3 034;3 022;3 009;2 978;2 930;2 884;2 878;2 854;
Zala;megye;3 919;3 907;3 886;3 838;3 804;3 737;3 654;3 568;3 561;
Nyugat-Dunántúl;régió;12 975;12 968;12 921;12 873;12 727;12 526;12 338;12 192;12 086;
Baranya;megye;4 582;4 592;4 553;4 542;4 511;4 445;4 381;4 322;4 292;
Somogy;megye;4 299;4 262;4 240;4 177;4 131;4 062;4 001;3 952;3 896;
Tolna ;megye;3 492;3 467;3 428;3 391;3 316;3 196;3 124;3 067;2 988;
Dél-Dunántúl;régió;12 373;12 321;12 221;12 110;11 958;11 703;11 506;11 341;11 176;
Dunántúl;nagyrégió;38 210;38 080;37 863;37 611;37 162;36 543;36 013;35 560;35 152;
Borsod-Abaúj-Zemplén;megye;7 130;7 079;7 054;6 975;6 903;6 803;6 682;6 602;6 496;
Heves;megye;3 785;3 783;3 773;3 784;3 737;3 676;3 594;3 554;3 505;
Nógrád ;megye;2 190;2 184;2 149;2 132;2 108;2 064;2 022;2 006;1 972;
Észak-Magyarország;régió;13 105;13 046;12 976;12 891;12 748;12 543;12 298;12 162;11 973;
Hajdú-Bihar;megye;6 513;6 480;6 441;6 423;6 418;6 345;6 232;6 146;6 027;
Jász-Nagykun-Szolnok;megye;4 615;4 558;4 532;4 491;4 436;4 369;4 312;4 289;4 213;
Szabolcs-Szatmár-Bereg;megye;7 113;7 060;6 997;6 955;6 902;6 791;6 706;6 694;6 644;
Észak-Alföld;régió;18 241;18 098;17 970;17 869;17 756;17 505;17 250;17 129;16 884;
Bács-Kiskun ;megye;7 491;7 431;7 392;7 344;7 278;7 181;7 094;7 012;6 933;
Békés;megye;4 830;4 811;4 748;4 708;4 620;4 517;4 441;4 362;4 307;
Csongrád-Csanád;megye;5 819;5 732;5 691;5 683;5 658;5 567;5 531;5 470;5 402;
Dél-Alföld;régió;18 140;17 974;17 831;17 735;17 556;17 265;17 066;16 844;16 642;
Alföld és Észak;nagyrégió;49 486;49 118;48 777;48 495;48 060;47 313;46 614;46 135;45 499;
Ország összesen;ország;130 177;129 220;128 046;126 997;125 417;123 223;121 131;119 473;117 377;
Ebbõl: önálló vállalkozó által mûködtetett üzletek;;;;;;;;;;;
Budapest;fõváros, régió;3 845;3 864;3 766;3 674;3 558;3 343;3 175;3 041;2 954;
Pest ;megye, régió;4 157;4 129;4 089;4 014;3 987;3 836;3 737;3 646;3 589;
Közép-Magyarország;nagyrégió;8 002;7 993;7 855;7 688;7 545;7 179;6 912;6 687;6 543;
Fejér;megye;1 522;1 516;1 517;1 505;1 481;1 437;1 411;1 371;1 352;
Komárom-Esztergom;megye;1 248;1 237;1 230;1 201;1 181;1 132;1 098;1 091;1 078;
Veszprém;megye;1 926;1 908;1 895;1 868;1 811;1 746;1 704;1 632;1 615;
Közép-Dunántúl;régió;4 696;4 661;4 642;4 574;4 473;4 315;4 213;4 094;4 045;
Gyõr-Moson-Sopron;megye;2 057;2 066;2 049;2 051;2 013;1 946;1 903;1 852;1 815;
Vas;megye;993;989;991;982;974;949;925;927;920;
Zala;megye;1 424;1 438;1 451;1 426;1 406;1 344;1 286;1 244;1 251;
Nyugat-Dunántúl;régió;4 474;4 493;4 491;4 459;4 393;4 239;4 114;4 023;3 986;
Baranya;megye;1 462;1 485;1 472;1 472;1 456;1 403;1 383;1 352;1 351;
Somogy;megye;1 783;1 760;1 757;1 740;1 714;1 660;1 622;1 584;1 539;
Tolna ;megye;1 607;1 594;1 574;1 553;1 503;1 416;1 366;1 335;1 281;
Dél-Dunántúl;régió;4 852;4 839;4 803;4 765;4 673;4 479;4 371;4 271;4 171;
Dunántúl;nagyrégió;14 022;13 993;13 936;13 798;13 539;13 033;12 698;12 388;12 202;
Borsod-Abaúj-Zemplén;megye;2 680;2 674;2 675;2 620;2 578;2 504;2 435;2 375;2 326;
Heves;megye;1 518;1 516;1 516;1 525;1 502;1 445;1 391;1 363;1 338;
Nógrád ;megye;888;881;882;868;857;822;794;778;761;
Észak-Magyarország;régió;5 086;5 071;5 073;5 013;4 937;4 771;4 620;4 516;4 425;
Hajdú-Bihar;megye;2 589;2 583;2 567;2 554;2 566;2 515;2 457;2 385;2 338;
Jász-Nagykun-Szolnok;megye;1 867;1 843;1 849;1 818;1 799;1 763;1 711;1 709;1 672;
Szabolcs-Szatmár-Bereg;megye;3 494;3 446;3 424;3 406;3 396;3 327;3 257;3 226;3 166;
Észak-Alföld;régió;7 950;7 872;7 840;7 778;7 761;7 605;7 425;7 320;7 176;
Bács-Kiskun ;megye;3 086;3 071;3 071;3 026;3 014;2 925;2 857;2 790;2 757;
Békés;megye;2 241;2 234;2 209;2 192;2 147;2 080;2 035;1 977;1 953;
Csongrád-Csanád;megye;2 088;2 053;2 051;2 056;2 050;1 979;1 970;1 940;1 901;
Dél-Alföld;régió;7 415;7 358;7 331;7 274;7 211;6 984;6 862;6 707;6 611;
Alföld és Észak;nagyrégió;20 451;20 301;20 244;20 065;19 909;19 360;18 907;18 543;18 212;
Ország összesen;ország;42 475;42 287;42 035;41 551;40 993;39 572;38 517;37 618;36 957;
