14.1.1.28. A háztartások száma, a háztartásban élõ személyek jellemzõi a jövedelemszerzõ tevékenységük, a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint;;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
2010;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 004 823;101 152;1 998 954;892 849;1 011 868;938 945;1 665 915;1 075 227;324 736;157 641;738 170;1 138 461;1 386 159;49 610;338 372;196 410
Adatszolgáltató háztartások száma;9 936;216;5 231;2 229;2 260;2 341;4 144;2 647;804;343;1 994;2 491;3 695;98;824;491
Háztartások átlagos taglétszáma;2,4;2,5;3,1;2,1;1,5;2,2;2,6;2,4;2,5;2,0;1,5;1,4;3,6;2,7;2,3;4,3
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;3 288 448;90 272;2 540 610;593 441;64 125;365 137;1 598 255;1 019 994;305 062;121 266;663 549;40 794;1 947 798;24 919;227 621;262 501
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;406 715;4 130;280 200;106 093;16 292;24 855;199 634;129 729;52 497;8 422;95 259;14 830;219 115;4 267;37 215;27 607
Aktív keresõk összesen;3 695 163;94 402;2 820 810;699 534;80 417;389 992;1 797 889;1 149 723;357 559;129 688;758 808;55 624;2 166 913;29 186;264 836;290 108
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;1 978 696;49 469;1 540 132;342 582;46 513;221 074;1 015 683;548 980;192 959;66 705;413 201;26 408;1 161 006;14 742;144 686;151 948
nõk;1 716 467;44 933;1 280 678;356 952;33 904;168 918;782 206;600 743;164 600;62 983;345 607;29 216;1 005 907;14 444;120 150;138 160
Nyugdíjasok összesen;2 243 611;9 588;299 092;607 406;1 327 525;726 001;852 899;502 052;162 659;625;87 222;1 455 413;64 774;56 128;378 070;201 379
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;856 003;3 765;118 838;263 222;470 178;215 905;373 758;190 782;75 558;–;39 314;514 842;39 452;18 949;164 317;79 129
nõk;1 387 608;5 823;180 254;344 184;857 347;510 096;479 141;311 270;87 101;625;47 908;940 571;25 322;37 179;213 753;122 250
Munkanélküliek összesen;650 176;35 088;437 349;130 156;47 583;240 647;283 311;111 025;15 193;28 210;123 981;5 117;370 052;10 093;57 414;55 309
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;366300;21009;241465;71437;32389;150827;155063;54996;5414;18580;73018;3250;197380;6192;41014;26866
nõk;283 876;14 079;195 884;58 719;15 194;89 820;128 248;56 029;9 779;9 630;50 963;1 867;172 672;3 901;16 400;28 443
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;406 540;13 965;186 186;169 448;36 941;126 518;192 989;72 944;14 089;–;133 762;26 560;136 423;4 712;70 358;34 725
Tanuló felnõttek;37 161;–;23 936;12 116;1 109;1 489;7 534;16 447;11 691;4 447;1 031;–;23 017;1 066;–;7 600
Egyéb Inaktív felnõttek;561 269;18 328;454 785;60 287;27 869;163 888;230 139;122 073;45 169;32 075;14 264;9 746;426 723;5 789;20 341;52 331
Nem tanuló gyermekek;686 527;19 575;632 469;24 534;9 949;171 128;289 137;163 423;62 839;59 601;–;–;570 381;1 642;–;54 903
Tanulók, hallgatók;1 524 629;65 361;1 293 262;130 821;35 185;287 009;678 803;422 568;136 249;62 380;–;–;1 286 901;23 928;–;151 420
Összesen;9 805 076;256 307;6 147 889;1 834 302;1 566 578;2 106 672;4 332 701;2 560 255;805 448;317 026;1 119 068;1 552 460;5 045 184;132 544;791 019;847 775
2015;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;4 139 760;95 137;2 079 033;872 251;1 093 339;803 833;1 472 044;895 306;968 577;160 084;818 397;1 287 455;1 314 922;58 238;331 315;169 349
Adatszolgáltató háztartások száma;7 185;123;2 995;1 617;2 450;1 686;2 699;1 501;1 299;142;1 081;2 848;1 962;105;700;347
