20.1.1.6. A 15–74 éves népesség száma legmagasabb iskolai végzettség szerint, nemenként [ezer fõ];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;188,2;2 072,4;1 801,8;865,2;1 499,1;764,5;485,1;7 676,2
2010;167,2;2 017,2;1 817,6;860,5;1 534,0;761,3;505,0;7 662,7
2011;152,3;1 976,2;1 810,3;857,2;1 514,6;806,4;532,2;7 649,3
2012;138,8;1 894,2;1 815,1;848,8;1 529,0;860,1;549,9;7 635,8
2013;134,1;1 808,9;1 857,9;876,6;1 489,8;881,2;561,2;7 609,7
2014;124,6;1 719,8;1 836,4;916,1;1 480,4;903,8;592,2;7 573,2
2015;126,7;1 665,2;1 807,3;983,6;1 430,3;917,4;607,5;7 537,9
2016;115,8;1 622,5;1 822,0;1 028,7;1 419,4;912,6;586,4;7 507,5
2017;112,0;1 540,2;1 861,6;1 016,1;1 416,3;914,9;599,2;7 460,4
2018;107,6;1 469,2;1 864,3;1 014,1;1 403,8;887,0;686,2;7 432,2
2019;103,0;1 443,5;1 819,3;1 043,4;1 385,6;902,7;721,6;7 419,0
2020;97,1;1 399,0;1 785,7;1 042,3;1 372,4;919,2;793,1;7 408,7
2021;91,0;1 343,6;1 747,5;1 003,8;1 359,6;945,8;867,7;7 359,1
Férfi;;;;;;;;
2009;71,5;897,9;1 149,4;311,9;699,2;286,5;260,3;3 676,7
2010;64,4;870,5;1 163,3;307,2;716,8;282,0;269,8;3 673,9
2011;61,8;853,6;1 152,0;305,7;715,0;302,8;280,9;3 671,9
2012;54,9;824,7;1 165,2;312,3;713,8;325,7;279,7;3 676,3
2013;54,7;785,2;1 189,1;325,8;690,3;330,0;292,5;3 667,7
2014;54,5;755,0;1 167,2;338,8;693,1;338,8;306,5;3 653,8
2015;55,1;732,0;1 140,6;366,6;691,8;345,6;309,6;3 641,3
2016;51,0;710,3;1 154,7;392,8;681,0;342,7;299,4;3 632,0
2017;51,3;660,0;1 183,8;394,5;666,2;346,4;310,4;3 612,5
2018;47,4;640,9;1 187,7;390,1;661,4;330,5;346,8;3 604,8
2019;45,9;641,9;1 162,3;406,5;674,8;320,8;354,1;3 606,4
2020;42,8;624,2;1 144,1;412,7;663,6;330,3;390,8;3 608,4
2021;40,6;604,9;1 111,9;404,0;659,7;330,4;432,2;3 583,7
Nõ;;;;;;;;
2009;116,8;1 174,5;652,4;553,3;799,9;478,0;224,8;3 999,6
2010;102,9;1 146,7;654,3;553,3;817,1;479,3;235,1;3 988,8
2011;90,5;1 122,6;658,3;551,5;799,5;503,6;251,3;3 977,4
2012;83,9;1 069,5;649,9;536,5;815,2;534,4;270,2;3 959,5
2013;79,5;1 023,6;668,9;550,8;799,5;551,2;268,7;3 942,0
2014;70,1;964,8;669,2;577,3;787,3;565,0;285,7;3 919,4
2015;71,6;933,3;666,6;617,0;738,5;571,8;297,9;3 896,7
2016;64,9;912,2;667,3;635,9;738,4;569,9;287,0;3 875,6
2017;60,8;880,2;677,8;621,6;750,1;568,5;288,8;3 847,8
2018;60,2;828,3;676,6;623,9;742,4;556,5;339,4;3 827,4
2019;57,1;801,6;657,0;636,8;710,7;581,9;367,5;3 812,6
2020;54,3;774,8;641,6;629,6;708,8;588,9;402,3;3 800,3
2021;50,4;738,7;635,6;599,8;699,9;615,3;435,5;3 775,4
