22.1.1.10. Halálozások a gyakoribb halálokok és nem szerint;;;;;;;;;;
Év;Halálozások száma;Ebbõl: rosszindulatú daganatok;Ebbõl: heveny szívizom-elhalás;Ebbõl: egyéb ischaemiás szívbetegség;Ebbõl: agyér-betegség;Ebbõl: hörghurut, tüdõtágulat és asztma;Ebbõl: máj-betegségek;"Ebbõl: 
Covid19";Ebbõl: motorosjármû-balesetek;Ebbõl: szándékos önártalom
Férfi;;;;;;;;;;
1990;76 936;17 497;8 540;6 776;9 556;3 035;3 802;–;1 942;2 980
1991;76 762;17 872;8 670;6 967;9 394;2 866;4 106;–;1 741;2 880
1992;79 633;18 297;8 680;7 389;9 342;2 985;5 256;–;1 721;2 939
1993;80 498;18 072;9 027;7 670;9 314;3 153;6 070;–;1 343;2 715
1994;78 654;18 493;8 372;7 462;8 941;2 969;6 318;–;1 285;2 727
1995;77 344;18 525;8 615;7 581;8 891;2 877;6 167;–;1 341;2 478
1996;74 827;18 899;8 145;7 744;8 924;2 697;4 964;–;1 049;2 522
1997;73 278;18 986;7 691;7 990;8 465;2 455;4 932;–;1 076;2 388
1998;74 300;19 013;7 626;8 233;8 670;2 291;5 293;–;1 102;2 469
1999;74 641;19 030;7 280;8 480;8 569;2 634;5 248;–;1 054;2 550
2000;70 475;18 732;6 530;8 126;8 559;2 263;4 982;–;963;2 463
2001;68 389;18 807;6 240;8 330;8 360;1 940;4 565;–;1 000;2 282
2002;68 837;18 668;5 763;8 581;8 340;2 007;4 476;–;1 146;2 195
2003;70 016;18 827;5 787;9 441;8 322;2 364;4 390;–;1 110;2 161
2004;68 381;18 842;5 609;9 753;7 771;2 134;4 302;–;1 078;2 087
2005;69 781;17 134;5 895;11 664;6 837;2 843;3 912;–;958;2 028
2006;67 851;17 614;4 929;11 536;6 416;2 887;3 867;–;1 069;1 861
2007;68 241;17 760;4 749;11 107;6 492;2 977;3 973;–;999;1 879
2008;66 269;17 899;4 341;10 972;6 176;2 774;3 756;–;818;1 911
2009;66 324;18 177;4 403;11 185;6 246;2 735;3 630;–;690;1 902
2010;65 137;18 032;4 258;11 132;6 083;2 708;3 302;–;590;1 945
2011;63 883;17 990;4 013;11 219;5 804;2 783;2 963;–;548;1 847
2012;63 504;18 279;3 929;10 928;5 550;2 885;2 655;–;512;1 803
2013;61 894;17 815;3 636;10 999;5 427;2 913;2 391;–;476;1 588
2014;61 992;17 763;3 351;11 238;5 269;2 913;2 468;–;478;1 480
2015;63 545;17 655;3 359;11 241;5 448;3 413;2 371;–;540;1 391
2016;62 658;18 020;3 365;11 089;4 713;3 028;2 284;–;529;1 317
2017;64 025;17 716;3 250;11 581;4 960;3 292;2 296;–;537;1 241
2018;64 016;17 617;3 250;11 417;4 851;3 260;2 412;–;530;1 276
2019;62 843;17 241;3 301;11 286;4 981;3 321;2 362;–;515;1 158
2020;68 661;16 804;3 219;11 357;5 162;2 872;2 451;4 616;415;1 311
2021;77 099;16 181;3 447;11 426;4 887;2 606;2 594;12 839;489;1 203
Nõ;;;;;;;;;;
1990;68 724;13 374;5 912;6 963;11 662;1 818;1 768;–;681;1 153
1991;68 051;13 535;5 899;7 333;11 504;1 632;1 886;–;589;1 113
1992;69 148;14 014;5 733;7 772;11 338;1 817;2 155;–;641;1 061
1993;69 746;14 129;5 964;8 283;11 082;1 740;2 455;–;463;979
1994;68 235;14 210;5 754;8 393;10 573;1 808;2 394;–;434;898
1995;68 087;14 416;6 015;8 531;10 923;1 752;2 422;–;409;891
