21.1.1.68. A nemzetgazdaság integrált számlái, 2012 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;23 130 400;23 130 400;;;;;;;;;;;;;;;;23 130 400;;23 130 400
P.71;Termékek importja;19 570 563;19 570 563;;;;;;;;;;;;;;;;19 570 563;;19 570 563
P.72;Szolgáltatások importja;3 559 837;3 559 837;;;;;;;;;;;;;;;;3 559 837;;3 559 837
P.6;Termékek és szolgáltatások exportja;24 902 133;;24 902 133;;;;;;;;;;;;;;;;24 902 133;24 902 133
P.61;Termékek exportja;20 232 169;;20 232 169;;;;;;;;;;;;;;;;20 232 169;20 232 169
P.62;Szolgáltatások exportja;4 669 964;;4 669 964;;;;;;;;;;;;;;;;4 669 964;4 669 964
P.1;Kibocsátás;58 374 700;58 374 700;;;;;;;;;;43 761 442;1 872 922;6 051 900;6 082 014;606 422;58 374 700;;;58 374 700
P.11;Piaci kibocsátás;48 949 607;48 949 607;;;;;;;;;;43 157 384;1 865 190;16 316;3 910 717;;48 949 607;;;48 949 607
P.12;Saját végsõ felhasználási célú kibocsátás;2 887 853;2 887 853;;;;;;;;;;604 058;7 732;100 323;2 171 297;4 443;2 887 853;;;2 887 853
P.13;Nem piaci kibocsátás;6 537 240;6 537 240;;;;;;;;;;;;5 935 261;;601 979;6 537 240;;;6 537 240
P.2;Folyó termelõfelhasználás;33 965 285;;;33 965 285;304 567;1 827 259;2 126 661;824 581;28 882 217;;;;;;;;;;33 965 285;33 965 285
D.21–D.31;Termékadók és -támogatások egyenlege;4 587 216;4 587 216;;;;;;;;;4 587 216;;;;;;4 587 216;;;4 587 216
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";28 996 631;;;28 996 631;301 855;4 254 755;3 925 239;1 048 341;14 879 225;4 587 216;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;5 285 987;;;5 285 987;74 628;901 258;1 055 785;117 236;3 137 080;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";23 710 644;;;23 710 644;227 227;3 353 497;2 869 454;931 105;11 742 145;4 587 216;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-1 771 733;;-1 771 733;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;4 587 216;14 879 225;1 048 341;3 925 239;4 254 755;301 855;28 996 631;;;28 996 631
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;4 587 216;11 742 145;931 105;2 869 454;3 353 497;227 227;23 710 644;;;23 710 644
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;-1 771 733;;-1 771 733
D.1;Munkavállalói jövedelem;12 883 295;;;12 883 295;230 683;461 128;2 863 604;531 285;8 796 595;;;;;;;;;;;
D.11;Bérek és keresetek;10 379 406;;;10 379 406;181 066;416 551;2 245 212;412 603;7 123 974;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 503 889;;;2 503 889;49 617;44 577;618 392;118 682;1 672 621;;;;;;;;;;;
