21.1.1.54. A nemzetgazdaság integrált számlái, 1998 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;5 691 306;5 691 306;;;;;;;;;;;;;;;;5 691 306;;5 691 306
P.71;Termékek importja;4 669 633;4 669 633;;;;;;;;;;;;;;;;4 669 633;;4 669 633
P.72;Szolgáltatások importja;1 021 673;1 021 673;;;;;;;;;;;;;;;;1 021 673;;1 021 673
P.6;Termékek és szolgáltatások exportja;5 527 403;;5 527 403;;;;;;;;;;;;;;;;5 527 403;5 527 403
P.61;Termékek exportja;3 924 833;;3 924 833;;;;;;;;;;;;;;;;3 924 833;3 924 833
P.62;Szolgáltatások exportja;1 602 570;;1 602 570;;;;;;;;;;;;;;;;1 602 570;1 602 570
P.1;Kibocsátás;20 692 431;20 692 431;;;;;;;;;;14 303 163;629 110;2 230 311;3 314 341;215 506;20 692 431;;;20 692 431
P.11;Piaci kibocsátás;17 128 926;17 128 926;;;;;;;;;;14 004 429;627 475;4 820;2 492 202;;17 128 926;;;17 128 926
P.12;Saját végsõ felhasználási célú kibocsátás;1 151 919;1 151 919;;;;;;;;;;298 734;1 635;27 802;822 139;1 609;1 151 919;;;1 151 919
P.13;Nem piaci kibocsátás;2 411 586;2 411 586;;;;;;;;;;;;2 197 689;;213 897;2 411 586;;;2 411 586
P.2;Folyó termelõfelhasználás;11 682 854;;;11 682 854;126 827;1 148 828;685 402;276 522;9 445 275;;;;;;;;;;11 682 854;11 682 854
D.21–D.31;Termékadók és -támogatások egyenlege;1 433 241;1 433 241;;;;;;;;;1 433 241;;;;;;1 433 241;;;1 433 241
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";10 442 818;;;10 442 818;88 679;2 165 513;1 544 909;352 588;4 857 888;1 433 241;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;1 961 917;;;1 961 917;28 196;327 842;446 190;48 888;1 110 801;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";8 480 901;;;8 480 901;60 483;1 837 671;1 098 719;303 700;3 747 087;1 433 241;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;163 903;;163 903;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;1 433 241;4 857 888;352 588;1 544 909;2 165 513;88 679;10 442 818;;;10 442 818
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;1 433 241;3 747 087;303 700;1 098 719;1 837 671;60 483;8 480 901;;;8 480 901
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;163 903;;163 903
D.1;Munkavállalói jövedelem;4 592 380;;;4 592 380;60 636;296 617;1 098 719;177 835;2 958 573;;;;;;;;;;;
D.11;Bérek és keresetek;3 371 078;;;3 371 078;45 266;269 970;762 966;125 481;2 167 395;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;1 221 302;;;1 221 302;15 370;26 647;335 753;52 354;791 178;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;1 441 722;;;1 441 722;-153;5 222;0;6 578;-3 166;1 433 241;;;;;;;;;;
D.21;Termékadók ;1 560 225;;;1 560 225;;;;;;1 560 225;;;;;;;;;;
D.29;Egyéb termelési adók;53 506;;;53 506;52;6 882;0;6 578;39 994;;;;;;;;;;;
D.31;Terméktámogatások;126 984;;;126 984;;;;;;126 984;;;;;;;;;;
D.39;Egyéb termelési támogatások;45 025;;;45 025;205;1 660;0;0;43 160;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;3 074 003;;;3 074 003;28 196;528 961;446 190;168 175;1 902 481;0;;;;;;;;;;
B.2n;Mûködési eredmény, nettó;1 223 695;;;1 223 695;0;312 728;0;119 287;791 680;0;;;;;;;;;;
B.3g;Vegyes jövedelem, bruttó;1 334 713;;;1 334 713;;1 334 713;;;;;;;;;;;;;;
B.3n;Vegyes jövedelem, nettó;1 223 104;;;1 223 104;;1 223 104;;;;;;;;;;;;;;
II.1.2. Elsõdleges jövedelmek elosztása számla ;;;;;;;;;;;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;;;;;;;;;;;0;1 902 481;168 175;446 190;528 961;28 196;3 074 003;;;3 074 003
B.2n;Mûködési eredmény, nettó;;;;;;;;;;;0;791 680;119 287;0;312 728;0;1 223 695;;;1 223 695
B.3g;Vegyes jövedelem, bruttó;;;;;;;;;;;;;;;1 334 713;;1 334 713;;;1 334 713
B.3n;Vegyes jövedelem, nettó;;;;;;;;;;;;;;;1 223 104;;1 223 104;;;1 223 104
D.1;Munkavállalói jövedelem;45 291;;45 291;;;;;;;;;;;;4 578 238;;4 578 238;59 433;;4 637 671
D.11;Bérek és keresetek;39 247;;39 247;;;;;;;;;;;;3 359 568;;3 359 568;50 757;;3 410 325
D.12;Munkaadók társadalombiztosítási hozzájárulásai;6 044;;6 044;;;;;;;;;;;;1 218 670;;1 218 670;8 676;;1 227 346
