21.1.1.73. A nemzetgazdaság integrált számlái, 2017 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;31 148 398;31 148 398;;;;;;;;;;;;;;;;31 148 398;;31 148 398
P.71;Termékek importja;25 930 493;25 930 493;;;;;;;;;;;;;;;;25 930 493;;25 930 493
P.72;Szolgáltatások importja;5 217 905;5 217 905;;;;;;;;;;;;;;;;5 217 905;;5 217 905
P.6;Termékek és szolgáltatások exportja;33 744 700;;33 744 700;;;;;;;;;;;;;;;;33 744 700;33 744 700
P.61;Termékek exportja;26 379 844;;26 379 844;;;;;;;;;;;;;;;;26 379 844;26 379 844
P.62;Szolgáltatások exportja;7 364 856;;7 364 856;;;;;;;;;;;;;;;;7 364 856;7 364 856
P.1;Kibocsátás;77 134 118;77 134 118;;;;;;;;;;57 355 561;2 052 677;8 789 118;8 040 967;895 795;77 134 118;;;77 134 118
P.11;Piaci kibocsátás;63 683 415;63 683 415;;;;;;;;;;56 473 597;2 040 786;17 846;5 151 186;;63 683 415;;;63 683 415
P.12;Saját végsõ felhasználási célú kibocsátás;3 940 859;3 940 859;;;;;;;;;;881 964;11 891;153 961;2 889 781;3 262;3 940 859;;;3 940 859
P.13;Nem piaci kibocsátás;9 509 844;9 509 844;;;;;;;;;;;;8 617 311;;892 533;9 509 844;;;9 509 844
P.2;Folyó termelõfelhasználás;43 825 117;;;43 825 117;437 808;2 214 466;3 202 214;901 451;37 069 178;;;;;;;;;;43 825 117;43 825 117
D.21–D.31;Termékadók és -támogatások egyenlege;5 965 756;5 965 756;;;;;;;;;5 965 756;;;;;;5 965 756;;;5 965 756
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";39 274 757;;;39 274 757;457 987;5 826 501;5 586 904;1 151 226;20 286 383;5 965 756;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;6 362 331;;;6 362 331;87 464;1 025 093;1 366 342;108 334;3 775 098;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";32 912 426;;;32 912 426;370 523;4 801 408;4 220 562;1 042 892;16 511 285;5 965 756;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-2 596 302;;-2 596 302;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;5 965 756;20 286 383;1 151 226;5 586 904;5 826 501;457 987;39 274 757;;;39 274 757
