23.1.1.19. Egyetemek, fõiskolák nappali képzésére jelentkezettek és felvettek;;;
Év;Jelentkezett;Felvett;Felvettek a jelentkezettek százalékában
1990;46 767;16 818;36,0
1991;48 911;20 338;41,6
1992;59 119;24 022;40,6
1993;71 741;28 217;39,3
1994;79 805;29 901;37,5
1995;86 548;35 081;40,5
1996;79 369;38 382;48,4
1997;81 924;40 355;49,3
1998;81 065;43 629;53,8
1999;82 815;44 538;53,8
2000;82 957;45 546;54,9
2001;84 499;50 515;59,8
2002;89 131;53 420;59,9
2003;87 110;52 703;60,5
2004;95 871;55 179;57,6
2005;91 677;52 957;57,8
2006;84 269;53 990;64,1
2007;74 849;50 941;68,1
2008;66 963;52 081;77,8
2009;90 878;61 262;67,4
2010;100 777;65 503;65,0
2011;101 835;66 810;65,6
2012;84 075;61 350;73,0
2013;75 392;56 927;75,5
2014;79 765;54 688;68,6
2015;79 255;53 069;67,0
2016;79 284;52 913;66,7
2017;74 806;51 487;68,8
2018;75 434;52 356;69,4
2019;79 138;55 076;69,6
2020;68 904;50 726;73,6
2021;71 668;53 076;74,1
