20.2.1.6. A 15–74 éves foglalkoztatottak számának alakulása;;;;;;;;;;;;;;;;
Megnevezés;Foglalkoztatottak száma, 2021 Január–Március, ezer fõ;Foglalkoztatottak száma, 2021 Április–Június, ezer fõ;Foglalkoztatottak száma, 2021 Július–Szeptember, ezer fõ;Foglalkoztatottak száma, 2021 Október–December, ezer fõ;Foglalkoztatottak száma, 2022 Január–Március, ezer fõ;Foglalkoztatottak száma, 2022 Április–Június, ezer fõ;Foglalkoztatottak száma, 2022 Július–Szeptember, ezer fõ;Foglalkoztatottak száma, 2022 Október–December, ezer fõ;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022–2021 Január–Március, ezer fõ;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022–2021  Április–Június, ezer fõ;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022–2021 Július–Szeptember, ezer fõ;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022–2021 Október–December, ezer fõ;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022/2021 Január–Március, %;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022/2021 Április–Június, %;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022/2021 Július–Szeptember, %;Létszámváltozás az elõzõ év azonos idõszakához képest, 2022/2021 Október–December, %
Foglalkoztatottak száma összesen;4 567,6;4 619,2;4 663,4;4 687,9;4 674,3;4 693,2;4 712,2;;106,7;74,0;48,8;;102,3;101,6;101,0;
Legmagasabb iskolai végzettség;;;;;;;;;;;;;;;;
legfeljebb alapfok;462,8;479,3;497,5;463,9;460,2;452,9;462,5;;-2,6;-26,4;-35,0;;99,4;94,5;93,0;
középfok érettségi nélkül;1 176,7;1 175,4;1 173,2;1 157,3;1 125,3;1 133,3;1 155,8;;-51,4;-42,1;-17,4;;95,6;96,4;98,5;
középfok érettségivel;1 493,1;1 527,1;1 531,8;1 579,1;1 598,9;1 596,0;1 627,8;;105,7;68,9;96,0;;107,1;104,5;106,3;
felsõfok;1 435,0;1 437,4;1 461,0;1 487,6;1 490,0;1 511,0;1 466,1;;55,0;73,6;5,1;;103,8;105,1;100,4;
A lakóhely régiója;;;;;;;;;;;;;;;;
Budapest;855,1;871,3;875,0;888,6;894,1;886,8;887,7;;39,0;15,4;12,7;;104,6;101,8;101,4;
Pest;646,0;655,7;661,8;670,3;663,3;672,7;674,0;;17,3;16,9;12,3;;102,7;102,6;101,9;
Közép-Dunántúl;525,4;522,0;526,9;530,6;532,5;534,3;536,5;;7,1;12,3;9,6;;101,4;102,4;101,8;
Nyugat-Dunántúl;490,8;498,2;508,2;512,0;504,5;500,3;504,5;;13,8;2,1;-3,7;;102,8;100,4;99,3;
Dél-Dunántúl;371,9;377,5;380,1;380,7;380,9;383,2;386,2;;9,0;5,7;6,1;;102,4;101,5;101,6;
Észak-Magyarország;471,6;478,4;484,0;481,0;480,5;486,4;495,3;;9,0;7,9;11,3;;101,9;101,7;102,3;
Észak-Alföld;634,1;644,5;655,1;649,6;647,4;653,9;658,7;;13,2;9,4;3,6;;102,1;101,5;100,5;
Dél-Alföld;572,8;571,6;572,4;575,0;571,0;575,7;569,4;;-1,7;4,1;-3,0;;99,7;100,7;99,5;
Munkaidõ;;;;;;;;;;;;;;;;
részmunkaidõs;255,4;255,4;248,3;249,7;238,9;238,4;241,0;;-16,6;-17,0;-7,3;;93,5;93,3;97,1;
teljes munkaidõs;4 312,2;4 363,8;4 415,1;4 438,2;4 435,5;4 454,8;4 471,1;;123,3;91,0;56,0;;102,9;102,1;101,3;
nincs besorolva;–;–;–;–;–;–;–;;–;–;–;;–;–;–;
Foglalkozási viszony;;;;;;;;;;;;;;;;
alkalmazott;4 008,0;4 047,1;4 076,6;4 099,2;4 090,5;4 108,5;4 118,1;;82,5;61,4;41,4;;102,1;101,5;101,0;
határozatlan idejû szerzõdéssel;3 777,7;3 801,3;3 816,2;3 873,4;3 866,7;3 888,2;3 881,1;;89,1;87,0;65,0;;102,4;102,3;101,7;
meghatározott idõre szóló szerzõdéssel;230,3;245,9;260,5;225,8;223,8;220,3;237,0;;-6,6;-25,6;-23,5;;97,1;89,6;91,0;
nincs besorolva;–;–;–;–;–;–;–;;–;–;–;;–;–;–;
nem alkalmazott;559,6;572,1;586,8;588,7;583,8;584,7;594,1;;24,2;12,6;7,3;;104,3;102,2;101,2;
ebbõl:;;;;;;;;;;;;;;;;
társas vállalkozás tagja;160,0;159,8;146,4;151,7;142,8;151,7;153,6;;-17,3;-8,0;7,2;;89,2;95,0;104,9;
egyéni vállalkozó, önálló;386,3;398,7;425,4;421,6;426,8;418,1;422,5;;40,5;19,4;-2,9;;110,5;104,9;99,3;
Egy évvel korábbi gazdasági aktivitás (önbesorolás alapján);;;;;;;;;;;;;;;;
dolgozott;4 265,6;4 281,0;4 305,9;4 348,9;4 347,5;4 395,4;4 423,2;;81,9;114,4;117,3;;101,9;102,7;102,7;
munkanélküli volt;103,5;127,4;136,8;118,3;118,9;101,6;89,2;;15,4;-25,8;-47,6;;114,9;79,7;65,2;
inaktív volt;198,5;210,9;220,7;220,7;208,0;196,2;199,8;;9,4;-14,6;-20,9;;104,8;93,1;90,5;
ebbõl: tanult;56,0;55,8;59,0;67,2;59,3;52,4;57,2;;3,3;-3,4;-1,8;;106,0;93,9;97,0;
A munkahely nemzetgazdasági ága ;;;;;;;;;;;;;;;;
mezõgazdaság;203,0;198,9;205,2;198,6;191,9;200,4;204,1;;-11,1;1,5;-1,2;;94,5;100,8;99,4;
ipar;1 437,8;1 453,9;1 458,7;1 456,9;1 452,5;1 465,2;1 470,3;;14,7;11,3;11,6;;101,0;100,8;100,8;
ebbõl:;;;;;;;;;;;;;;;;
C – feldolgozóipar;965,3;980,9;984,9;992,3;976,6;983,3;981,9;;11,4;2,4;-3,0;;101,2;100,2;99,7;
F – építõipar;375,3;376,4;377,7;365,9;375,4;377,6;385,1;;0,1;1,2;7,4;;100,0;100,3;102,0;
szolgáltatások;2 926,8;2 966,5;2 999,5;3 032,4;3 029,5;3 027,6;3 037,8;;102,7;61,2;38,3;;103,5;102,1;101,3;
G–N piaci szolgáltatások;1 622,9;1 675,6;1 708,1;1 732,7;1 726,7;1 738,3;1 748,6;;103,8;62,7;40,5;;106,4;103,7;102,4;
O–U nem piaci szolgáltatás;1 303,9;1 290,8;1 291,4;1 299,7;1 303,2;1 289,3;1 289,2;;-0,7;-1,6;-2,2;;99,9;99,9;99,8;
nincs besorolva;–;–;–;–;–;–;–;;–;–;–;;–;–;–;
Telephely (a munkavégzés helyszíne);;;;;;;;;;;;;;;;
belföldi telephelyen dolgozik;4 494,4;4 537,3;4 583,5;4 601,1;4 586,9;4 598,1;4 621,9;;92,5;60,8;38,4;;102,1;101,3;100,8;
külföldi telephelyen dolgozik;73,2;82,0;79,9;86,8;87,4;95,1;90,3;;14,2;13,1;10,3;;119,4;116,0;113,0;
Közfoglalkoztatásban részvétel;;;;;;;;;;;;;;;;
közfoglalkoztatás keretében dolgozik;88,4;86,0;89,0;83,4;78,3;79,6;72,9;;-10,1;-6,3;-16,1;;88,5;92,6;81,9;
nem közfoglalkoztatás keretében dolgozik;4 479,2;4 533,3;4 574,5;4 604,5;4 596,0;4 613,6;4 639,3;;116,9;80,3;64,8;;102,6;101,8;101,4;
