20.1.1.31. A gazdaságilag nem aktívak száma legmagasabb iskolai végzettség szerint, nemenként [ezer fõ];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;170,2;1 509,9;505,9;467,8;446,4;158,0;106,1;3 364,3
2010;143,5;1 460,2;521,2;468,5;458,2;160,9;107,3;3 319,8
2011;130,7;1 425,4;531,7;458,6;459,1;167,4;108,0;3 280,9
2012;117,6;1 357,5;541,5;440,3;458,5;177,0;111,8;3 204,3
2013;112,5;1 285,8;561,1;446,3;437,0;190,5;107,0;3 140,2
2014;102,0;1 170,4;553,6;451,4;416,9;199,1;114,4;3 007,8
2015;99,4;1 094,3;541,7;462,2;393,1;196,6;108,0;2 895,2
2016;89,3;1 040,6;548,2;445,3;384,0;182,3;101,1;2 790,9
2017;85,3;967,2;558,5;437,1;381,8;188,3;102,2;2 720,4
2018;82,7;914,1;545,5;434,4;383,5;188,8;105,0;2 654,0
2019;78,8;902,8;516,8;440,6;374,0;184,4;118,1;2 615,6
2020;73,4;882,7;522,9;422,2;375,2;197,7;133,9;2 607,9
2021;69,3;830,7;526,6;403,7;366,2;199,4;132,9;2 528,9
Férfi;;;;;;;;
2009;61,4;614,3;272,9;169,6;180,7;63,6;56,3;1 418,9
2010;53,0;590,6;294,1;168,6;190,6;62,3;59,0;1 418,2
2011;51,0;573,9;297,6;162,3;191,7;63,9;57,4;1 397,7
2012;42,8;544,8;307,7;159,9;184,9;67,1;57,6;1 364,8
2013;42,8;511,8;313,9;159,8;165,5;71,1;58,9;1 323,8
2014;42,3;464,3;304,0;155,5;153,2;73,6;58,2;1 251,2
2015;38,8;425,5;297,0;162,6;148,1;68,4;54,8;1 195,3
2016;37,1;398,3;295,1;152,4;143,9;63,3;51,7;1 141,8
2017;38,4;361,1;295,1;151,4;139,1;63,0;51,3;1 099,4
2018;35,7;341,6;288,9;145,7;141,6;64,6;52,4;1 070,4
2019;34,9;344,1;272,7;150,1;132,9;51,6;53,9;1 040,3
2020;30,6;342,3;275,5;147,9;128,8;56,8;60,2;1 042,1
2021;30,6;319,6;277,2;140,0;131,9;53,1;59,6;1 012,0
Nõ;;;;;;;;
2009;108,9;895,5;232,9;298,2;265,7;94,4;49,8;1 945,5
2010;90,5;869,6;227,1;299,9;267,6;98,6;48,4;1 901,6
2011;79,7;851,4;234,1;296,3;267,4;103,5;50,6;1 883,2
2012;74,7;812,8;233,8;280,4;273,6;109,9;54,2;1 839,5
2013;69,6;774,0;247,2;286,5;271,5;119,5;48,1;1 816,4
2014;59,7;706,0;249,6;295,8;263,7;125,5;56,2;1 756,6
2015;60,6;668,7;244,7;299,6;245,0;128,2;53,1;1 699,9
2016;52,2;642,3;253,1;292,9;240,2;119,0;49,3;1 649,1
2017;46,9;606,1;263,4;285,7;242,7;125,4;50,9;1 621,0
2018;47,0;572,5;256,6;288,7;242,0;124,1;52,6;1 583,5
2019;43,9;558,8;244,1;290,5;241,1;132,8;64,2;1 575,3
2020;42,8;540,4;247,4;274,2;246,4;140,9;73,7;1 565,8
2021;38,7;511,1;249,3;263,8;234,3;146,3;73,4;1 516,8
