21.1.1.21. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Központi kormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2 Termelési és importadók;1=2+26;955 544;1 097 472;1 222 161;1 448 165;1 665 699;1 951 769;2 067 890;2 263 058;2 591 340;2 919 174;2 980 765;3 091 236;3 413 610;3 538 345;3 630 466;4 080 963;4 224 435;4 623 991;4 897 195;5 288 820;5 660 760;5 647 107;6 075 212;6 803 911;7 445 781;7 717 450;8 641 953
D.21 Termékadók;2=3+4+13;944 528;1 081 292;1 198 186;1 416 973;1 628 919;1 911 073;2 020 496;2 205 482;2 540 132;2 852 963;2 908 291;3 007 559;3 323 147;3 436 483;3 511 141;3 785 880;3 906 444;4 272 766;4 417 698;4 773 000;5 102 771;5 121 395;5 484 456;6 144 480;6 649 284;6 834 331;7 692 887
D.211 Hozzáadottérték-adó típusú adók;3;431 422;519 112;658 072;793 230;924 822;1 159 959;1 230 216;1 340 914;1 539 868;1 831 647;1 856 547;1 800 345;2 013 271;2 068 438;2 192 234;2 325 608;2 379 253;2 627 571;2 693 555;3 011 162;3 309 540;3 299 838;3 626 566;4 129 537;4 526 757;4 717 048;5 460 243
D.212 Importadók és importvámok a hozzáadottérték-adók kivételével;4=5+6;284 183;280 037;200 093;163 795;168 537;171 767;171 031;184 041;203 886;45 101;1 738;2 186;679;2 663;3 137;2 030;2 173;35;–;–;–;–;–;–;–;–;–
D.2121 Importvámok;5;249 431;248 709;161 300;131 593;141 082;137 731;125 013;129 341;132 638;31 953;-797;-195;-202;-51;-56;-9;–;–;–;–;–;–;–;–;–;–;–
D.2122 Importadók a hozzáadottérték-adók és az importvámok kivételével;6=7+..+12;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122A Az importált mezõgazdasági termékek utáni importilletékek;7;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B Az importra kivetett monetáris kompenzációs összegek;8;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C Jövedéki adók;9;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122D Általános forgalmi adók;10;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E Meghatározott szolgáltatásokra kivetett adók;11;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F Importmonopóliumok nyeresége;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214 Termékadók a hozzáadottérték-adók és az importadók kivételével;13=14+..+25;228 923;282 143;340 021;459 948;535 560;579 347;619 249;680 527;796 378;976 215;1 050 006;1 205 028;1 309 197;1 365 382;1 315 770;1 458 242;1 525 018;1 645 160;1 724 143;1 761 838;1 793 231;1 821 557;1 857 890;2 014 943;2 122 527;2 117 283;2 232 644
D.214A Jövedéki adók és fogyasztási adók;14;201 141;243 436;291 129;402 463;458 432;484 673;512 070;565 370;616 865;673 690;708 080;790 494;847 832;890 817;911 598;880 054;908 812;994 776;963 301;995 543;1 077 465;1 111 633;1 113 593;1 223 997;1 258 616;1 279 737;1 319 630
D.214B Bélyegilletékek;15;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C Pénzügyi és tõkemûveletekre kivetett adók;16;10 062;14 504;17 289;20 613;23 449;26 405;32 239;35 915;48 610;54 612;55 329;58 139;66 683;78 130;66 792;43 628;39 172;69 149;64 708;81 879;93 389;113 564;129 831;147 562;168 708;165 192;185 271
D.214D Gépjármû-nyilvántartási adók;17;–;–;–;–;–;–;–;–;–;57 010;68 279;88 412;98 874;86 775;33 552;30 039;34 479;13 671;15 608;18 810;21 410;23 647;25 021;25 353;25 088;19 523;16 970
D.214E Szórakoztatóipari tevékenységekre kivetett adók;18;786;1 584;2 345;3 795;4 168;4 606;5 299;6 667;7 741;7 823;7 342;7 824;8 432;8 676;7 433;1 096;136;207;105;4 228;5 802;13 182;4 823;14 055;6 451;0;0
D.214F Lottójátékra, szerencsejátékra és fogadásra kivetett adók;19;6 761;9 248;12 202;14 627;17 789;29 089;34 573;39 892;49 140;61 298;67 426;71 449;71 811;73 294;65 050;62 718;64 088;61 452;41 316;45 830;44 972;33 126;38 065;39 265;39 656;48 956;39 237
D.214G Biztosítási díjakra kivetett adók;20;–;–;–;–;–;1 640;2 017;2 426;2 970;2 821;3 227;3 403;4 596;5 018;4 841;4 018;3 416;0;28 088;28 747;30 108;32 870;35 729;40 010;87 784;97 220;105 121
D.214H Egyéb, meghatározott szolgáltatásokra kivetett adók;21;1 492;2 034;1 626;3 088;3 875;4 571;5 083;1 668;24;–;–;–;–;–;–;–;–;18 322;346 136;340 172;271 255;263 504;281 982;323 832;342 448;295 606;309 456
D.214I Általános forgalmi adók;22;4 587;5 975;8 901;8 901;19 733;19 733;19 760;19 380;59 980;108 585;133 820;173 240;200 804;213 972;218 124;433 384;447 939;435 768;211 861;194 780;180 094;173 267;167 314;164 759;161 020;180 358;221 140
D.214J Fiskális monopóliumok nyeresége;23;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214K Exportvámok és az exportra kivetett monetáris kompenzációs összegek;24;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214L Egyéb, máshová nem sorolt termékadók;25;4 094;5 362;6 529;6 461;8 114;8 630;8 208;9 209;11 048;10 376;6 503;12 067;10 165;8 700;8 380;3 305;26 976;51 815;53 020;51 849;68 736;56 764;61 532;36 110;32 756;30 691;35 819
D.29 Egyéb termelési adók;26=27+..+34;11 016;16 180;23 975;31 192;36 780;40 696;47 394;57 576;51 208;66 211;72 474;83 677;90 463;101 862;119 325;295 083;317 991;351 225;479 497;515 820;557 989;525 712;590 756;659 431;796 497;883 119;949 066
D.29A Földekre, épületekre vagy egyéb építményekre kivetett adók;27;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;54 939;55 021;55 906;55 032;55 042;54 254;54 509;52 502;54 127
D.29B Állóeszközök használatára kivetett adók;28;1 997;4 353;4 716;5 289;7 334;7 340;6 849;6 938;885;858;853;846;1 288;1 324;23 736;25 946;25 276;34 293;56 486;55 716;56 604;57 090;59 464;62 976;68 586;88 216;97 166
D.29C Az összbértömeg után kivetett adók és létszámadók;29;2 747;3 695;9 771;8 645;13 080;15 529;18 402;21 388;23 058;31 161;39 459;43 644;50 171;57 538;58 467;103 087;116 074;143 566;196 854;211 528;231 438;261 692;327 389;399 070;484 703;491 729;590 006
D.29D Nemzetközi tranzakciókra kivetett adók;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29E Üzleti vagy szakmai engedélyekért fizetett összegek;31;6 272;8 132;9 488;13 698;12 969;16 870;16 068;18 016;20 705;21 650;24 767;24 552;24 186;24 801;23 184;156 828;162 748;163 997;154 392;171 961;181 845;113 681;115 638;103 654;102 727;170 903;123 007
D.29F Környezetszennyezésre kivetett adók;32;–;–;–;–;–;–;–;–;–;6 482;3 155;5 573;8 018;10 318;10 703;6 574;6 261;7 255;16 715;20 033;23 040;30 823;24 897;32 036;77 829;79 769;84 760
D.29G Héa-alulkompenzáció (átalányrendszer);33;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.29H Egyéb, máshová nem sorolt termelési adók;34;–;–;–;3 560;3 397;957;6 075;11 234;6 560;6 060;4 240;9 062;6 800;7 881;3 235;2 648;7 632;2 114;111;1 561;9 156;7 394;8 326;7 441;8 143;0;0
