23.1.1.13. Szakképzõ iskolai nevelés és oktatás;;;;;;;;;;;;;;;
Tanév;Iskola – feladat-ellátási hely;Osztályterem;Pedagógus;Tanuló összesen;Tanuló, ebbõl: nappali oktatás;Nappali oktatásban tanulókból külön osztályban, intézményben nevelt sajátos nevelési igényû;Nappali oktatásban tanulókból hátrányos helyzetû;Nappali oktatásban tanulókból 9. évfolyamos;Nappali oktatásban tanulókból nem szakképzõ évfolyamokon;Nappali oktatásban tanulókból szakképzõ évfolyamokon;Nappali oktatásban tanulókból leány;Nappali oktatásban tanulókból kollégiumban lakók aránya, %;Osztályok a nappali oktatásban;Egy osztályra jutó tanuló;Egy pedagógusra jutó tanuló
1990/1991;417;3 707;12 779;222 204;222 204;–;..;88 433;..;..;77 582;..;7 608;29,2;17,4
1991/1992;534;3 999;12 683;221 720;221 720;–;..;84 599;..;..;83 861;..;7 642;29,0;17,5
1992/1993;644;4 024;12 506;211 833;211 833;–;..;80 119;..;..;81 916;..;7 542;28,1;16,9
1993/1994;661;3 996;12 509;198 859;198 859;–;..;77 642;..;..;78 721;..;7 179;27,7;15,9
1994/1995;652;4 060;12 266;185 751;185 751;–;..;73 796;..;..;74 232;..;6 795;27,3;15,1
1995/1996;642;4 073;11 399;172 599;172 599;–;..;61 198;..;..;68 786;..;6 302;27,4;15,1
1996/1997;605;3 916;10 164;158 407;158 407;–;..;59 578;..;..;62 630;..;5 743;27,6;15,6
1997/1998;548;3 861;9 339;143 911;143 911;–;..;53 831;..;..;55 992;..;5 330;27,0;15,4
1998/1999;509;3 740;8 777;128 203;128 203;–;..;35 229;73 159;55 044;49 446;..;4 721;27,2;14,6
1999/2000;467;3 771;8 350;117 038;117 038;–;..;33 066;59 088;57 950;44 747;..;4 365;26,8;14,0
2000/2001;485;3 320;8 150;121 400;120 330;–;..;35 652;..;..;46 016;..;4 600;26,2;14,8
2001/2002;491;3 025;7 982;126 367;123 951;–;..;34 210;60 355;63 596;47 715;10,0;4 816;25,7;15,5
2002/2003;502;3 086;8 425;126 768;123 341;272;..;33 497;59 257;64 084;46 885;9,6;4 734;26,1;14,6
2003/2004;491;3 158;8 647;126 673;123 457;251;..;33 531;56 056;67 401;46 487;10,0;4 759;25,9;14,3
2004/2005;511;3 199;8 577;126 908;123 403;395;18 676;32 823;56 014;67 389;46 607;9,6;4 842;25,5;14,4
2005/2006;537;3 253;8 938;126 211;122 162;347;25 780;33 276;55 503;66 659;46 326;10,1;4 920;24,8;13,7
2006/2007;580;3 325;8 947;124 466;119 637;117;28 566;32 780;55 381;64 256;45 207;9,7;4 925;24,3;13,4
2007/2008;600;3 355;8 942;129 066;123 192;219;27 769;32 012;54 736;68 456;45 602;9,0;5 057;24,4;13,8
2008/2009;586;3 396;8 706;128 848;123 865;225;31 949;32 852;54 096;69 769;45 711;8,7;5 071;24,4;14,2
2009/2010;623;3 639;8 824;135 268;128 674;195;37 509;34 270;55 138;73 536;46 949;7,5;5 296;24,3;14,6
2010/2011;651;3 956;9 314;137 489;129 421;345;40 330;35 386;50 462;78 959;47 073;7,2;5 345;24,2;13,9
2011/2012;687;4 161;9 035;139 823;129 440;190;40 399;35 507;42 311;87 129;47 334;6,9;5 313;24,4;14,3
2012/2013;690;4 204;8 910;130 319;117 543;187;37 486;37 033;31 077;86 466;43 977;6,9;4 844;24,3;13,2
2013/2014;724;3 977;8 547;117 262;105 122;197;18 989;35 015;9 827;95 295;39 160;7,3;4 702;22,4;12,3
2014/2015;683;3 839;8 124;102 482;92 536;147;8 376;32 068;1 620;90 916;34 273;7,8;4 624;20,0;11,4
2015/2016;598;3 656;7 446;90 178;80 493;147;8 752;30 400;968;79 525;29 119;8,3;4 231;19,0;10,8
2016/2017;610;3 596;7 382;105 742;78 231;98;7 686;30 265;4 917;73 314;28 504;8,8;4 084;19,2;10,6
2017/2018;552;3 546;6 124;101 688;74 104;57;6 533;28 046;5 726;68 378;26 701;9,0;4 012;18,5;12,1
2018/2019;514;3 377;6 111;93 879;68 863;17;5 562;26 358;5 197;63 666;24 756;9,4;3 885;17,7;11,3
2019/2020;499;3 392;5 946;91 224;65 771;13;4 704;25 019;6 326;59 445;23 704;9,3;3 747;17,6;11,1
2020/2021;455;2 769;4 793;70 075;54 272;13;3 802;20 950;..;..;19 051;..;3 660;14,8;11,3
2021/2022;454;3 344;5 454;84 664;64 411;221;4 282;25 558;9 629;54 782;23 128;8,3;4 155;15,5;11,8
