11.1.1.7. A büntetés-végrehajtási intézetekben lévõk a fogvatartás jellege és nemek szerint [fõ];;;;;;;;
Év;A fogvatartás jellege: letartóztatott;A fogvatartás jellege: elítélt;A fogvatartás jellege: kényszergyógykezelésre utalt;A fogvatartás jellege: elzárásra beutalt;A fogvatartás jellege: õrizetes;Összesen;Ebbõl: férfi;Ebbõl: nõ
1990;3 246;8 819;146;30;–;12 241;..;..
1991;4 264;10 240;152;68;–;14 724;..;..
1992;4 272;11 424;143;74;–;15 913;15 117;796
1993;3 557;9 390;130;119;–;13 196;12 448;748
1994;3 433;8 944;121;196;3;12 697;12 004;693
1995;3 183;8 928;128;215;1;12 455;11 814;641
1996;3 455;8 986;147;174;1;12 763;12 041;722
1997;3 660;9 408;165;172;–;13 405;12 622;783
1998;3 909;10 171;173;113;–;14 366;13 543;823
1999;4 114;10 800;181;15;–;15 110;14 167;943
2000;4 105;11 201;173;60;–;15 539;14 530;1 009
2001;4 263;12 755;194;63;–;17 275;16 202;1 073
2002;4 329;13 260;192;40;17;17 838;16 750;1 088
2003;3 776;12 464;184;67;16;16 507;15 508;999
2004;4 101;12 180;192;57;13;16 543;15 547;996
2005;3 981;11 469;198;66;6;15 720;14 728;992
2006;3 786;10 782;186;57;10;14 821;13 859;962
2007;3 822;10 259;177;73;–;14 331;13 412;919
2008;4 366;10 072;183;81;–;14 702;13 762;940
2009;4 502;10 590;186;82;–;15 360;14 362;998
2010;4 803;11 241;174;110;–;16 328;15 295;1 033
2011;4 875;12 028;180;127;–;17 210;15 974;1 236
2012;4 888;11 981;182;128;–;17 179;15 938;1 241
2013;5 053;12 391;183;214;–;17 841;16 485;1 356
2014;4 400;13 073;151;266;–;17 890;16 541;1 349
2015;3 978;13 027;162;239;43;17 449;16 199;1 250
2016;3 646;13 519;165;328;–;17 658;16 361;1 297
2017;3 401;13 390;185;367;–;17 343;16 067;1 276
2018;2 694;13 038;179;392;–;16 303;15 096;1 207
2019;2 709;12 987;188;450;–;16 334;15 079;1 255
2020;3 421;12 547;198;586;–;16 752;15 462;1 290
2021;4 380;12 867;251;1 125;–;18 623;17 193;1 430
