22.1.1.19. Válások fõbb mutatói;;;;;;;;
Év;Válások száma;Ezer fennálló házasságra jutó válás;Ezer házasságkötésre jutó válás;Válások ezer 15 éves és idõsebb házas férfira;Válások ezer 15 éves és idõsebb házas nõre;A férfi átlagos életkora váláskor, év;A nõ átlagos életkora váláskor, év;Átlagos házasságtartam váláskor, év
1980;27 797;9,9;346,0;9,9;9,9;36,2;33,1;10,6
1990;24 888;9,9;374,8;9,9;9,9;37,2;34,3;10,9
2001;24 391;11,0;559,6;11,1;11,0;39,0;36,1;11,4
2002;25 506;11,6;554,4;11,8;11,6;39,3;36,5;11,6
2003;25 046;11,6;551,7;11,7;11,6;39,8;36,9;11,9
2004;24 638;11,6;562,6;11,7;11,6;40,1;37,2;12,0
2005;24 804;11,8;560,7;11,9;11,8;40,3;37,4;12,1
2006;24 869;12,0;558,5;12,1;12,0;40,6;37,6;12,2
2007;25 160;12,3;616,0;12,4;12,3;40,9;38,0;12,4
2008;25 155;12,5;627,2;12,6;12,5;41,5;38,5;12,7
2009;23 820;12,1;648,5;12,1;12,1;41,7;38,8;12,7
2010;23 873;12,3;672,1;12,4;12,3;42,1;39,3;12,9
2011;23 335;12,2;651,6;12,3;12,2;42,6;39,6;13,0
2012;21 830;11,7;603,7;11,8;11,7;42,7;39,9;13,1
2013;20 209;11,0;546,4;11,1;11,0;43,1;40,1;13,0
2014;19 576;10,8;504,8;10,9;10,8;43,7;40,7;13,3
2015;20 315;11,4;440,3;11,4;11,4;44,2;41,2;13,6
2016;19 552;11,0;377,4;11,1;11,0;44,5;41,5;13,7
2017;18 495;10,5;365,7;10,6;10,5;44,9;42,0;14,0
2018;16 952;9,7;333,5;9,7;9,7;45,1;42,1;14,3
2019;17 600;10,0;269,7;10,0;10,0;45,3;42,3;14,3
2020;14 979;8,5;223,3;8,5;8,5;45,6;42,6;14,4
2021;18 092;10,2;251,2;10,3;10,2;45,8;42,8;14,5
