13.1.1.15. Az ipar összes értékesítésének volumenindexei rendeltetés szerinti ágazatcsoportonként [az elõzõ év = 100,0%];;;;;;;
Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;107,3;108,7;108,1;102,1;122,5;99,6;103,4
2002;105,6;104,2;104,8;103,1;119,7;102,4;105,6
2003;102,3;96,0;98,8;118,9;150,2;99,2;109,3
2004;102,3;108,9;105,6;110,4;126,9;97,7;105,0
2005;109,6;106,0;107,8;113,7;116,4;97,8;103,0
2006;102,1;105,6;103,8;118,9;122,4;102,1;108,2
2007;109,6;102,2;106,2;115,3;125,1;98,3;106,6
2008;99,9;99,6;99,8;101,4;99,7;94,7;96,4
2009;89,7;79,4;85,3;77,2;91,7;94,5;93,5
2010;96,5;111,2;102,3;114,5;120,7;100,9;107,9
2011;90,5;102,4;95,6;113,1;90,6;105,9;100,2
2012;93,7;99,4;96,2;101,3;84,3;102,5;96,6
2013;100,4;101,7;101,0;105,8;87,2;98,3;95,2
2014;99,1;105,6;102,3;112,8;110,6;105,1;106,4
2015;102,9;108,0;105,7;110,2;116,9;103,0;106,5
2016;94,4;106,3;101,2;98,9;104,6;98,9;100,4
2017;104,9;106,0;105,6;103,0;108,8;102,0;103,8
2018;101,6;109,2;106,1;99,5;101,9;102,8;102,6
2019;101,1;104,2;103,0;109,4;116,5;102,6;106,4
2020;98,8;102,9;101,4;85,1;107,8;98,5;101,2
2021;117,0;114,5;115,5;100,9;108,4;106,1;106,8
