8.1.2.3. Városodottság, 2022. január 1. [%];;;
Területi egység neve;Területi egység szintje;Városi népesség aránya;A 120 fõ/km? feletti népsûrûségû, városias településeken lakók aránya
Budapest;fõváros, régió;100,00;100,00
Pest ;megye, régió;69,65;82,52
Közép-Magyarország;nagyrégió;86,74;92,36
Fejér;megye;59,46;54,42
Komárom-Esztergom;megye;66,00;70,78
Veszprém;megye;60,22;58,09
Közép-Dunántúl;régió;61,55;60,22
Gyõr-Moson-Sopron;megye;57,67;60,09
Vas;megye;61,19;59,50
Zala;megye;55,31;54,07
Nyugat-Dunántúl;régió;57,94;58,34
Baranya;megye;65,15;64,26
Somogy;megye;51,88;38,28
Tolna ;megye;56,10;34,47
Dél-Dunántúl;régió;58,36;48,00
Dunántúl;nagyrégió;59,37;55,96
Borsod-Abaúj-Zemplén;megye;58,07;60,08
Heves;megye;46,18;44,94
Nógrád ;megye;39,70;40,50
Észak-Magyarország;régió;51,85;52,80
Hajdú-Bihar;megye;80,01;46,17
Jász-Nagykun-Szolnok;megye;72,90;25,01
Szabolcs-Szatmár-Bereg;megye;54,49;44,39
Észak-Alföld;régió;68,55;40,14
Bács-Kiskun ;megye;67,82;35,37
Békés;megye;77,32;31,37
Csongrád-Csanád;megye;74,75;43,56
Dél-Alföld;régió;72,59;36,96
Alföld és Észak;nagyrégió;64,94;42,84
Ország összesen;ország;70,08;62,29
