20.1.1.8. A foglalkoztatottak száma legmagasabb iskolai végzettségük szerint, nemenként [ezer fõ];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;10,6;438,6;1 153,0;364,6;978,3;579,4;370,1;3 894,5
2010;13,5;424,7;1 139,8;354,2;987,0;570,8;383,8;3 873,8
2011;10,9;421,4;1 123,5;359,0;967,7;609,0;411,4;3 903,0
2012;11,7;409,6;1 120,2;362,8;980,5;650,8;423,1;3 958,7
2013;13,3;404,0;1 151,6;388,1;969,4;660,9;442,1;4 029,3
2014;14,8;452,4;1 178,3;429,4;1 000,3;680,1;467,3;4 222,6
2015;19,2;476,2;1 174,0;488,8;984,6;702,0;490,3;4 335,1
2016;20,6;508,6;1 204,7;555,2;998,3;718,3;476,5;4 482,2
2017;20,0;513,8;1 249,5;553,3;1 006,9;714,0;490,8;4 548,4
2018;19,5;501,6;1 272,5;558,1;992,9;688,1;573,5;4 606,4
2019;19,5;491,1;1 260,2;583,2;987,8;708,8;593,9;4 644,6
2020;19,1;462,8;1 208,6;593,8;962,2;707,8;648,9;4 603,2
2021;17,9;458,0;1 170,6;569,9;962,9;733,1;722,2;4 634,6
Férfi;;;;;;;;
2009;6,3;215,2;782,6;129,4;480,9;212,9;198,6;2 026,0
2010;6,9;205,1;763,2;125,8;483,6;206,3;203,1;1 993,9
2011;6,0;210,5;751,0;130,4;481,3;227,1;216,3;2 022,7
2012;6,9;211,4;754,4;132,4;483,7;245,9;214,8;2 049,4
2013;7,3;208,0;781,1;148,4;484,1;248,4;227,3;2 104,6
2014;8,4;238,8;796,0;169,7;508,8;255,4;243,7;2 220,9
2015;11,6;257,1;787,1;191,8;516,2;269,8;250,5;2 284,1
2016;10,5;271,0;817,2;229,1;517,2;275,7;242,1;2 362,7
2017;10,0;267,5;856,3;233,4;515,3;279,2;255,7;2 417,4
2018;9,6;270,1;869,9;236,2;506,7;261,1;292,6;2 446,2
2019;9,1;270,8;861,9;246,8;530,8;264,9;295,8;2 480,1
2020;9,3;253,2;833,2;255,3;516,5;269,2;325,4;2 462,1
2021;8,0;255,9;804,2;252,3;512,2;271,5;367,6;2 471,8
Nõ;;;;;;;;
2009;4,3;223,4;370,4;235,1;497,3;366,5;171,4;1 868,5
2010;6,6;219,6;376,6;228,4;503,4;364,5;180,7;1 879,9
2011;4,9;210,9;372,5;228,6;486,5;381,8;195,1;1 880,3
2012;4,7;198,2;365,8;230,4;496,8;404,9;208,4;1 909,3
2013;6,0;196,0;370,5;239,7;485,3;412,5;214,8;1 924,7
2014;6,4;213,6;382,3;259,6;491,5;424,7;223,6;2 001,7
2015;7,6;219,1;386,9;297,0;468,4;432,2;239,8;2 051,0
2016;10,2;237,6;387,5;326,2;481,1;442,6;234,4;2 119,5
2017;10,0;246,3;393,2;320,0;491,6;434,8;235,1;2 130,9
2018;9,9;231,6;402,6;321,8;486,2;427,0;280,9;2 160,2
2019;10,4;220,4;398,3;336,4;457,0;443,9;298,1;2 164,5
2020;9,8;209,6;375,4;338,6;445,7;438,7;323,5;2 141,2
2021;9,9;202,0;366,4;317,7;450,7;461,5;354,6;2 162,8
