23.1.1.28. Korai iskolaelhagyók [%];;;
Év;Korai iskolaelhagyók;Ebbõl: férfi;Ebbõl: nõ
2000;13,7;14,2;13,2
2001;13,1;13,6;12,6
2002;12,2;12,5;11,9
2003;12,0;12,7;11,3
2004;12,6;13,6;11,5
2005;12,5;13,7;11,3
2006;12,5;13,7;11,3
2007;11,4;12,5;10,2
2008;11,7;12,4;11,0
2009;11,5;12,2;10,8
2010;10,8;11,5;10,1
2011;11,4;12,3;10,6
2012;11,8;12,3;11,2
2013;11,9;12,5;11,4
2014;11,4;12,5;10,3
2015;11,6;12,0;11,2
2016;12,4;12,9;11,8
2017;12,5;12,0;13,0
2018;12,5;12,6;12,3
2019;11,8;12,7;10,9
2020;12,1;12,9;11,3
2021;12,0;12,3;11,6
