22.1.1.22. A belföldi vándorlás összefoglaló adatai;;
Év;Belföldi vándorlások száma összesen;Belföldi vándorlások száma megyén belül
Állandó vándorlás;;
1990;213 625;117 592
1991;188 381;102 355
1992;204 641;110 551
1993;207 839;110 105
1994;209 075;112 816
1995;210 909;115 475
1996;208 971;113 328
1997;219 837;119 019
1998;224 208;120 333
1999;220 185;117 684
2000;229 007;123 296
2001;216 853;117 393
2002;232 717;125 686
2003;242 537;131 477
2004;218 567;115 653
2005;222 275;119 982
2006;253 562;136 720
2007;255 221;133 384
2008;242 191;125 724
2009;213 159;109 109
2010;202 158;103 637
2011;200 640;103 090
2012;192 488;98 591
2013;192 038;97 970
2014;214 707;108 957
2015;218 298;108 461
2016;255 126;129 813
2017;265 383;133 708
2018;279 499;140 276
2019;283 096;144 204
2020;264 891;135 264
2021;307 028;153 373
Ideiglenes vándorlás és visszavándorlás együtt;;
1990;261 006;90 211
1991;210 445;75 006
1992;199 467;74 786
1993;185 031;69 876
1994;150 345;63 669
1995;195 714;79 533
1996;216 903;89 281
1997;198 978;83 930
1998;195 696;80 793
1999;178 869;74 990
2000;175 972;72 651
2001;183 024;77 292
2002;187 002;78 603
2003;192 834;82 379
2004;200 897;83 611
2005;210 878;90 910
2006;235 633;100 203
2007;258 953;109 597
2008;154 953;66 594
2009;165 456;70 783
2010;177 433;75 735
2011;260 161;112 567
2012;286 645;123 337
2013;262 567;114 271
2014;275 147;119 574
2015;275 898;117 534
2016;297 019;128 525
2017;307 025;130 332
2018;297 123;125 705
2019;297 780;125 971
2020;301 613;125 247
2021;302 104;125 666
Teljes belföldi vándorlás;;
1990;474 631;207 803
1991;398 826;177 361
1992;404 108;185 337
1993;392 870;179 981
1994;359 420;176 485
1995;406 623;195 008
1996;425 874;202 609
1997;418 815;202 949
1998;419 904;201 126
1999;399 054;192 674
2000;404 979;195 947
2001;399 877;194 685
2002;419 719;204 289
2003;435 371;213 856
2004;419 464;199 264
2005;433 153;210 892
2006;489 195;236 923
2007;514 174;242 981
2008;397 144;192 318
2009;378 615;179 892
2010;379 591;179 372
2011;460 801;215 657
2012;479 133;221 928
2013;454 605;212 241
2014;489 854;228 531
2015;494 196;225 995
2016;552 145;258 338
2017;572 408;264 040
2018;576 622;265 981
2019;580 876;270 175
2020;566 504;260 511
2021;609 132;279 039
