23.1.1.20. Felsõoktatás;;;;;;;;;;;;;;;;;;;;
Tanév;Intézmény;Oktató, tanár;Hallgató felsõoktatási szakképzésben összesen;Hallgató felsõoktatási szakképzésben, ebbõl: nappali képzésben;Hallgató fõiskolai szintû oktatásban összesen;Hallgató fõiskolai szintû oktatásban, ebbõl: nappali képzésben;Hallgató egyetemi szintû oktatásban összesen;Hallgató egyetemi szintû oktatásban, ebbõl: nappali képzésben;Hallgató felsõfokú alapképzésben összesen;Hallgató felsõfokú alapképzésben, ebbõl: nappali képzésben;Hallgató mesterképzésben összesen;Hallgató mesterképzésben, ebbõl: nappali képzésben;Hallgató osztatlan képzésben összesen;Hallgató osztatlan képzésben, ebbõl: nappali képzésben;Hallgató szakirányú továbbképzésben összesen;Hallgató szakirányú továbbképzésben, ebbõl: nappali képzésben;Hallgató doktori (PhD-, DLA-) képzésben összesen;Hallgató doktori (PhD-, DLA-) képzésben, ebbõl: nappali képzésben;Hallgató összesen;Hallgató, ebbõl: nappali képzésben
1990/1991;77;17 302;–;–;44 931;29 915;57 456;46 686;–;–;–;–;–;–;5 989;–;–;–;108 376;76 601
1991/1992;77;17 477;–;–;52 674;36 833;54 405;46 358;–;–;–;–;–;–;7 611;–;–;–;114 690;83 191
1992/1993;91;17 473;–;–;58 285;40 842;59 175;51 486;–;–;–;–;–;–;8 414;–;–;–;125 874;92 328
1993/1994;91;18 687;–;–;69 005;47 775;64 951;55 938;–;–;–;–;–;–;9 077;–;1 527;1 527;144 560;105 240
1994/1995;91;19 103;–;–;83 173;55 497;71 487;60 873;–;–;–;–;–;–;12 803;–;2 477;2 477;169 940;118 847
1995/1996;90;18 098;–;–;78 203;47 022;101 362;82 519;–;–;–;–;–;–;12 565;–;3 456;3 456;195 586;132 997
1996/1997;89;19 329;–;–;85 075;50 420;113 957;91 693;–;–;–;–;–;–;12 353;–;3 730;3 730;215 115;145 843
1997/1998;90;19 716;–;–;94 442;52 991;139 215;99 898;–;–;–;–;–;–;17 031;–;4 005;4 005;254 693;156 894
1998/1999;89;21 323;819;819;104 231;55 869;154 084;107 231;–;–;–;–;–;–;15 999;–;4 264;4 264;279 397;168 183
1999/2000;89;21 249;2 153;1 740;112 216;58 508;166 781;113 104;–;–;–;–;–;–;20 250;–;4 302;4 302;305 702;177 654
