22.1.1.4. A népesség összetétele fõbb korcsoportok szerint, eltartottsági ráták, öregedési index;;;;;;;
"Év,
január 1.";Korösszetétel: 0–14 éves, %;Korösszetétel: 15–64 éves, %;Korösszetétel: 65– éves, %;"A gyermek-
népesség 
eltartottsági
rátája";"Az idõs
népesség
eltartottsági
rátája";"Az
eltartott
népesség
rátája";"Öregedési
index"
1980;21,9;64,6;13,5;33,8;20,9;54,8;61,9
1990;20,5;66,2;13,2;31,0;20,0;51,0;64,5
2001;16,6;68,3;15,1;24,3;22,2;46,5;91,3
2002;16,3;68,4;15,3;23,8;22,3;46,1;93,5
2003;16,1;68,5;15,4;23,5;22,4;45,9;95,4
2004;15,9;68,6;15,5;23,1;22,6;45,7;97,6
2005;15,6;68,7;15,6;22,8;22,7;45,5;99,9
2006;15,4;68,8;15,8;22,4;22,9;45,4;102,4
2007;15,2;68,9;15,9;22,1;23,2;45,2;104,9
2008;15,0;68,8;16,2;21,8;23,5;45,3;107,6
2009;14,9;68,8;16,4;21,6;23,8;45,4;109,9
2010;14,7;68,6;16,6;21,5;24,2;45,7;112,6
2011;14,6;68,7;16,7;21,3;24,4;45,6;114,7
2012;14,5;68,6;16,9;21,1;24,6;45,7;116,4
2013;14,4;68,4;17,2;21,1;25,1;46,2;118,9
2014;14,4;68,0;17,5;21,2;25,8;47,0;121,5
2015;14,5;67,6;17,9;21,4;26,5;47,9;123,6
2016;14,5;67,2;18,3;21,6;27,2;48,7;126,1
2017;14,5;66,8;18,7;21,7;27,9;49,7;128,5
2018;14,5;66,5;18,9;21,9;28,5;50,3;130,2
2019;14,5;66,1;19,3;22,0;29,3;51,3;132,9
2020;14,5;65,6;19,9;22,2;30,3;52,5;136,6
2021;14,6;65,1;20,3;22,4;31,2;53,6;139,5
2022;14,6;64,9;20,5;22,4;31,7;54,1;141,1
