21.1.1.15. A nem pénzügyi vállalatok szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Jövedelmek keletkezése ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.1 n;Hozzáadott érték, nettó;1 755 864;2 155 102;3 024 893;3 747 087;4 080 107;4 756 622;5 756 879;6 762 804;7 304 955;8 378 946;9 076 717;10 098 729;10 764 322;11 357 669;10 516 252;10 957 958;11 649 560;11 742 145;12 624 959;13 862 142;14 877 830;15 237 755;16 511 285;18 224 531;19 522 933;18 858 518;21 627 387
D.1;Munkavállalói jövedelem;1 681 114;2 049 298;2 511 888;2 958 573;3 205 731;3 869 638;4 500 850;4 783 587;5 348 263;6 019 121;6 589 764;7 058 326;7 632 138;8 091 482;7 785 432;7 859 056;8 386 600;8 796 595;8 903 744;9 234 925;9 527 730;10 102 874;11 008 817;12 015 357;12 801 932;12 776 975;14 017 913
D.11;Bérek és keresetek;1 236 451;1 527 960;1 837 875;2 167 395;2 383 857;2 903 416;3 454 388;3 657 321;4 208 378;4 787 030;5 221 500;5 610 798;6 020 539;6 343 811;6 211 490;6 514 457;6 916 835;7 123 974;7 276 918;7 481 853;7 659 857;8 062 847;9 143 226;10 176 583;10 941 190;11 151 168;12 342 338
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.111;pénzben;1 194 438;1 475 734;1 779 381;2 089 827;2 302 190;2 849 330;3 367 592;3 572 050;4 109 632;4 679 337;5 119 167;5 505 368;5 904 416;6 247 068;6 121 821;6 420 343;6 816 314;7 016 229;7 200 576;7 386 529;7 552 879;7 954 756;9 087 949;10 127 630;10 897 688;11 110 441;12 296 834
D.112;természetben;42 013;52 226;58 494;77 568;81 667;54 086;86 796;85 271;98 746;107 693;102 333;105 430;116 123;96 743;89 669;94 114;100 521;107 745;76 342;95 324;106 978;108 091;55 277;48 953;43 502;40 727;45 504
D.12 ;Munkaadók társadalombiztosítási hozzájárulásai;444 663;521 338;674 013;791 178;821 874;966 222;1 046 462;1 126 266;1 139 885;1 232 091;1 368 264;1 447 528;1 611 599;1 747 671;1 573 942;1 344 599;1 469 765;1 672 621;1 626 826;1 753 072;1 867 873;2 040 027;1 865 591;1 838 774;1 860 742;1 625 807;1 675 575
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.121;tényleges;424 550;501 081;649 559;762 467;791 941;932 736;1 012 149;1 090 850;1 115 652;1 200 418;1 339 073;1 419 884;1 583 043;1 698 760;1 539 126;1 305 993;1 433 057;1 635 222;1 602 371;1 729 888;1 840 867;2 004 433;1 828 955;1 796 790;1 812 909;1 570 662;1 621 899
D.122;imputált;20 113;20 257;24 454;28 711;29 933;33 486;34 313;35 416;24 233;31 673;29 191;27 644;28 556;48 911;34 816;38 606;36 708;37 399;24 455;23 184;27 006;35 594;36 636;41 984;47 833;55 145;53 676
D.29;Egyéb termelési adók;13 604;23 332;32 488;39 994;50 448;58 501;69 911;82 599;92 829;118 817;132 044;151 626;200 580;206 904;215 503;246 163;272 805;322 048;407 975;415 516;443 706;463 643;507 529;560 278;658 937;659 410;738 157
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;költségvetésbe;4 236;5 222;5 876;7 939;13 204;16 294;16 445;18 111;19 051;26 114;25 517;27 258;29 960;32 975;48 720;44 289;90 947;99 621;204 461;209 284;214 111;224 188;243 414;284 155;373 044;397 664;449 019
;elkülönített alapokba;3 800;6 193;11 871;14 657;15 256;15 042;22 520;30 604;27 441;34 315;40 460;48 656;63 765;60 589;58 712;92 086;65 520;84 845;89 185;91 756;108 091;111 125;129 036;138 385;145 438;131 583;151 176
;helyi adók;5 568;11 917;14 741;17 398;21 988;27 165;30 946;33 884;46 337;58 388;66 067;75 712;91 196;96 788;101 054;109 788;116 338;137 582;114 329;114 476;121 504;128 330;135 079;137 738;140 455;130 163;137 962
;EU-nak;–;–;–;–;–;–;–;–;–;–;–;–;15 659;16 552;7 017;–;–;–;–;–;–;–;–;–;–;–;–
D.39;Egyéb termelési támogatások;24 818;30 212;40 586;43 160;49 053;59 666;70 836;93 637;92 314;157 784;159 799;176 054;195 237;266 871;300 135;274 533;332 004;554 488;476 099;432 285;437 755;424 507;456 110;414 771;426 349;560 181;592 360
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;költségvetésbõl;15 592;22 033;31 579;34 809;41 390;50 046;56 746;65 067;73 852;103 258;39 373;75 672;83 566;108 794;69 440;84 788;94 714;291 189;97 414;86 471;89 000;73 726;124 376;92 291;113 977;142 215;127 720
;elkülönített alapokból;9 226;8 179;9 007;8 351;7 663;9 620;14 090;28 570;18 462;18 653;24 327;24 290;34 204;47 254;55 980;56 442;66 382;79 590;195 241;157 188;173 580;225 428;202 376;188 182;179 854;268 482;321 609
;EU-ból;–;–;–;–;–;–;–;–;–;35 873;96 099;76 092;77 467;110 823;174 715;133 303;170 908;183 709;183 444;188 626;175 175;125 353;129 358;134 298;132 518;149 484;143 031
D.39–D.29;Egyéb termelési támogatások és adók egyenlege;11 214;6 880;8 098;3 166;-1 395;1 165;925;11 038;-515;38 967;27 755;24 428;-5 343;59 967;84 632;28 370;59 199;232 440;68 124;16 769;-5 951;-39 136;-51 419;-145 507;-232 588;-99 229;-145 797
B.2 n;Mûködési eredmény, nettó;85 964;112 684;521 103;791 680;872 981;888 149;1 256 954;1 990 255;1 956 177;2 398 792;2 514 708;3 064 831;3 126 841;3 326 154;2 815 452;3 127 272;3 322 159;3 177 990;3 789 339;4 643 986;5 344 149;5 095 745;5 451 049;6 063 667;6 488 413;5 982 314;7 463 677
Elsõdleges jövedelmek elosztása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.4;Tulajdonból származó jövedelem;-152 308;-242 161;-541 689;-715 187;-832 525;-862 967;-983 350;-1 094 822;-1 168 499;-1 475 991;-1 532 059;-1 832 990;-2 233 307;-2 044 479;-1 573 637;-1 843 973;-1 955 128;-2 290 575;-2 083 750;-2 765 332;-3 156 215;-2 658 534;-3 485 535;-4 124 348;-4 079 112;-3 650 729;-4 735 087
D.41;Kamat, nettó;-107 449;-87 539;-135 146;-157 380;-148 627;-170 379;-195 979;-153 316;-220 116;-265 466;-283 289;-341 411;-461 154;-610 405;-543 269;-600 233;-598 226;-606 488;-408 854;-363 303;-311 080;-127 838;-155 367;-102 370;-80 012;-131 918;-194 993
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott kamat;238 657;254 343;258 047;290 956;272 741;276 374;309 862;327 421;311 770;390 285;354 604;387 947;528 192;660 168;653 008;478 027;488 585;525 231;466 300;379 281;319 721;404 195;347 472;396 080;425 275;442 153;441 298
;fizetett kamat;346 106;341 882;393 193;448 336;421 368;446 753;505 841;480 737;531 886;655 751;637 893;729 358;989 346;1 270 573;1 196 277;1 078 260;1 086 811;1 131 719;875 154;742 584;630 801;532 033;502 839;498 450;505 287;574 071;636 291
D.42;Vállalatok felosztott jövedelme, nettó;-77 747;-92 540;-157 332;-291 998;-373 521;-408 945;-400 972;-502 270;-508 962;-759 424;-778 485;-1 132 705;-1 185 762;-1 030 899;-1 195 373;-1 207 886;-910 207;-1 367 860;-1 217 657;-1 297 957;-1 495 126;-1 420 909;-1 615 733;-2 225 943;-2 586 963;-2 402 271;-2 835 165
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott osztalék, részesedés;33 180;16 516;25 700;46 086;57 656;81 069;119 982;117 238;181 919;312 136;438 680;544 490;477 884;709 884;516 520;579 980;625 323;467 547;1 372 231;595 567;795 135;2 438 154;983 771;928 764;1 070 084;1 208 798;1 290 336
;fizetett osztalék, részesedés;110 927;109 056;183 032;338 084;431 177;490 014;520 954;619 508;690 881;1 071 560;1 217 165;1 677 195;1 663 646;1 740 783;1 711 893;1 787 866;1 535 530;1 835 407;2 589 888;1 893 524;2 290 261;3 859 063;2 599 504;3 154 707;3 657 047;3 611 069;4 125 501
D.43;Külföldi közvetlen tõkebefektetés újrabefektetett jövedelme, nettó;46 460;-45 612;-224 983;-243 563;-286 058;-247 758;-340 593;-392 145;-381 509;-340 889;-360 147;-184 167;-433 920;-238 857;302 964;139 956;-273 561;-147 135;-325 695;-954 347;-1 218 688;-977 325;-1 582 561;-1 642 088;-1 261 169;-976 378;-1 531 442
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott;1 647;-306;1 340;-1 534;-5 045;14 388;-12 822;11 196;12 844;91 082;4 994;145 655;148 039;-112 773;60 805;71 594;3 503;190 375;103 326;142 987;79 024;278 654;239 204;152 015;164 903;46 774;189 487
;fizetett;-44 813;45 306;226 323;242 029;281 013;262 146;327 771;403 341;394 353;431 971;365 141;329 822;581 959;126 084;-242 159;-68 362;277 064;337 510;429 021;1 097 334;1 297 712;1 255 979;1 821 765;1 794 103;1 426 072;1 023 152;1 720 929
