22.1.1.26. Magyarországra érkezett menedékkérõk és a nemzetközi védelemben részesülõk száma;;;;
Év;Menedékkérõ;Menekült státuszt kapott;Oltalmazott státuszt kapott;Befogadott státuszt kapott
2000;7 801;197;–;680
2001;9 554;174;–;290
2002;6 412;104;–;1 304
2003;2 401;178;–;772
2004;1 600;149;–;177
2005;1 609;97;–;95
2006;2 117;99;–;99
2007;3 419;169;–;83
2008;3 118;160;88;42
2009;4 672;177;64;156
2010;2 104;83;132;58
2011;1 693;52;139;14
2012;2 157;87;328;47
2013;18 900;198;217;4
2014;42 777;240;236;7
2015;177 135;146;356;6
2016;29 432;154;271;7
2017;3 397;106;1 110;75
2018;671;68;281;18
2019;500;22;31;7
2020;117;83;43;4
2021;40;21;17;2
2000–2021 összesen;321 626;2 764;3 313;3 947
