21.1.3.3. A bruttó hozzáadott érték megoszlása nemzetgazdasági ágak szerint, 2021 – ESA2010 [százalék];;;;;;
Ország, országcsoport Ágazati kód;Mezõgazdaság A;Ipar B+C+D+E;Építõipar F;Kereskedelem, turizmus, szállítás, információ G+H+I+J;Ingatlanügyletek, pénzügyi és egyéb gazdasági szolgáltatások K+L+M+N;Egyéb szolgáltatások O+P+Q+R+S+T+U
Ausztria;1,2;21,1;7,4;24,9;24,6;20,7
Belgium;0,7;17,9;5,3;22,6;30,7;22,8
Bulgária;4,3;22,1;4,4;28,7;21,5;19,0
Ciprus;2,0;8,5;6,1;30,5;28,9;24,0
Csehország;2,1;28,6;5,8;24,0;20,6;19,0
Dánia;1,1;17,1;6,2;26,5;25,3;23,9
Észtország;2,5;19,6;6,6;28,8;23,9;18,7
Finnország;2,6;20,6;7,7;20,4;25,4;23,2
Franciaország;1,9;13,1;5,7;23,3;30,6;25,5
Görögország;4,5;16,3;1,9;29,9;24,2;23,2
Hollandia;1,7;15,0;5,3;26,0;28,3;23,7
Horvátország;3,8;18,9;6,0;28,9;21,8;20,6
Írország;1,1;41,2;1,9;25,9;19,0;11,0
Lengyelország;2,7;26,9;6,7;29,2;18,2;16,4
Lettország;4,6;16,5;6,1;29,2;22,7;20,8
Litvánia;3,7;21,6;7,0;33,7;16,2;17,7
Luxemburg;0,2;6,2;6,4;22,2;47,0;18,0
Magyarország;3,9;24,6;6,5;22,4;23,1;19,5
Málta;0,5;9,7;4,4;25,9;31,7;27,9
Németország;0,9;23,5;5,9;21,1;25,9;22,8
Olaszország;2,2;20,3;4,9;24,6;27,8;20,3
Portugália;2,5;17,3;5,0;25,6;26,6;23,0
Románia;4,8;23,5;7,3;28,0;17,8;18,6
Spanyolország;3,0;16,9;5,7;25,5;24,8;24,0
Svédország;1,5;18,7;6,7;25,0;24,5;23,6
Szlovákia;2,0;24,9;5,9;24,5;23,6;19,0
Szlovénia;2,1;27,8;6,1;23,2;20,8;20,0
EU27_2020;1,8;20,1;5,6;24,0;26,3;22,2
Egyesült Királyság;0,7;13,4;6,6;24,5;32,8;22,1
Norvégia;1,8;33,6;6,1;16,4;18,4;23,8
Svájc;0,6;21,4;5,0;24,8;26,7;21,4
Szerbia;7,8;23,1;7,2;26,7;18,4;16,7
Törökország;6,3;29,0;5,7;30,5;14,0;14,4
Izrael;1,3;14,2;6,2;25,5;30,9;22,0
Japán;1,0;23,2;5,9;23,9;25,0;20,8
Kína;7,4;32,0;7,2;..;..;..
Koreai Köztársaság;2,0;29,7;5,9;17,8;24,6;20,0
Egyesült Államok;1,1;13,9;4,6;23,0;33,2;24,3
Mexikó;4,1;24,9;6,7;29,3;22,2;12,8
Ausztrália;2,4;19,8;7,4;17,8;31,1;21,4
