22.1.1.21. Házasságok mérlege;;;;;
Év;Házasságkötés;Halál által megszûnt házasság;Válás által megszûnt házasság;Összes megszûnt házasság;Házassági többlet, illetve hiány (-)
1980;80 331;70 424;27 797;98 221;-17 890
1990;66 405;64 929;24 888;89 817;-23 412
2001;43 583;53 857;24 391;78 248;-34 665
2002;46 008;53 613;25 506;79 119;-33 111
2003;45 398;54 106;25 046;79 152;-33 754
2004;43 791;51 474;24 638;76 112;-32 321
2005;44 234;52 201;24 804;77 005;-32 771
2006;44 528;50 145;24 869;75 014;-30 486
2007;40 842;50 293;25 160;75 453;-34 611
2008;40 105;48 541;25 155;73 696;-33 591
2009;36 730;48 494;23 820;72 314;-35 584
2010;35 520;47 208;23 873;71 081;-35 561
2011;35 812;46 375;23 335;69 710;-33 898
2012;36 161;45 908;21 830;67 738;-31 577
2013;36 986;44 563;20 209;64 772;-27 786
2014;38 780;44 134;19 576;63 710;-24 930
2015;46 137;44 603;20 315;64 918;-18 781
2016;51 805;43 924;19 552;63 476;-11 671
2017;50 572;44 617;18 495;63 112;-12 540
2018;50 828;43 772;16 952;60 724;-9 896
2019;65 268;42 823;17 600;60 423;4 845
2020;67 095;46 440;14 979;61 419;5 676
2021;72 030;53 238;18 092;71 330;700
