22.1.2.16. A Magyarországon tartózkodó külföldi állampolgárok településtípus és nem szerint, január 1.;;;;;;;;;;
Év;Budapest férfi;Budapest nõ;Megyei jogú város férfi;Megyei jogú város nõ;Egyéb város férfi;Egyéb város nõ;Község férfi;Község nõ;Összesen férfi;Összesen nõ
2000;35 387;29 478;16 266;14 634;13 417;13 658;14 031;16 254;79 101;74 024
2001;19 859;19 341;12 141;12 198;10 366;11 524;11 212;13 387;53 578;56 450
2002;22 525;21 332;11 359;11 906;11 411;12 782;11 562;13 552;56 857;59 572
2003;22 135;21 081;10 944;11 421;11 578;12 872;11 993;13 864;56 650;59 238
2004;24 373;24 309;12 189;12 599;12 745;14 338;13 810;15 746;63 117;66 992
2005;27 629;26 622;11 977;12 862;14 115;16 274;14 931;17 743;68 652;73 501
2006;34 543;31 482;12 448;12 510;15 095;16 102;15 275;16 975;77 361;77 069
2007;36 708;33 210;13 288;12 873;17 158;17 773;16 919;18 101;84 073;81 957
2008;39 604;34 740;14 828;14 059;17 423;17 199;18 083;18 761;89 938;84 759
2009;42 673;37 321;16 369;14 896;18 970;18 112;17 812;18 205;95 824;88 534
2010;44 414;37 760;17 029;15 536;21 812;19 357;21 464;20 447;104 719;93 100
2011;45 217;38 917;18 486;16 675;23 216;20 645;22 568;21 185;109 487;97 422
2012;34 046;27 050;14 001;11 385;15 742;11 475;16 126;13 536;79 915;63 446
2013;33 676;26 859;14 056;11 057;15 273;10 824;16 280;13 332;79 285;62 072
2014;33 829;27 390;14 419;11 041;14 449;10 311;16 075;13 022;78 772;61 764
2015;37 112;30 141;15 155;11 411;14 207;10 411;15 289;12 242;81 763;64 205
2016;39 869;32 267;15 993;12 143;15 895;11 896;15 937;12 606;87 694;68 912
2017;40 262;32 683;14 647;11 137;14 554;10 152;15 668;12 029;85 131;66 001
2018;43 217;33 607;16 425;12 297;16 467;10 863;16 729;12 204;92 838;68 971
2019;49 059;36 030;18 649;13 482;20 100;13 103;17 802;12 548;105 610;75 163
2020;52 473;39 067;20 618;15 108;23 029;14 375;20 929;14 358;117 049;82 908
2021;49 618;37 312;18 460;13 859;21 637;13 980;22 887;16 738;112 602;81 889
2022;49 682;38 569;19 671;15 509;23 173;14 965;23 050;17 906;115 576;86 949
