4.1.1.41. Egészségesen várható élettartam [év];;;;
Év;"Születéskor egészségesen várható átlagos élettartam , 
férfiak";"Születéskor egészségesen várható átlagos élettartam, 
 nõk";"65 évesen egészségesen várható átlagos élettartam, 
férfiak";"65 évesen egészségesen várható átlagos élettartam, 
nõk"
2006;54,7;57,5;5,0;5,6
2007;55,3;58,0;5,3;5,9
2008;54,7;58,3;5,7;6,5
2009;56,0;58,7;5,9;6,1
2010;56,5;58,9;5,5;6,0
2011;57,3;58,8;5,9;5,9
2012;58,9;60,2;6,3;6,3
2013;59,2;60,3;6,2;6,1
2014;59,2;60,9;6,4;6,2
2015;58,2;60,1;5,9;5,9
2016;59,6;60,2;6,7;6,4
2017;59,6;60,9;6,6;6,7
2018;60,5;61,9;6,9;7,5
2019;60,9;63,1;6,8;7,6
2020;61,7;63,6;7,3;8,0
2021;61,7;63,5;7,1;7,7
