20.1.1.11. A foglalkoztatottak száma a foglalkoztatás jellege szerint, nemenként [ezer fõ];;;;;;;;
Év;Alkalmazott;Nem alkalmazott, összesen;Nem alkalmazott ebbõl: társas vállalkozás tagja;Nem alkalmazott ebbõl: egyéni vállalkozó, önálló;Nem alkalmazott ebbõl: segítõ családtag;Összesen;Nem besorolt;Foglalkoztatottak összesen
Együtt ;;;;;;;;
2009;3 408,4;479,2;134,3;326,7;15,5;3 887,6;6,9;3 894,5
2010;3 400,2;467,6;140,7;311,1;12,8;3 867,8;6,0;3 873,8
2011;3 433,1;464,6;135,1;311,6;15,9;3 897,7;5,3;3 903,0
2012;3 497,6;456,5;147,7;291,2;15,4;3 954,2;4,6;3 958,7
2013;3 577,7;447,1;161,4;268,3;14,1;4 024,8;4,4;4 029,3
2014;3 748,6;455,6;160,1;278,4;13,6;4 204,2;18,4;4 222,6
2015;3 862,9;462,3;151,7;296,7;12,1;4 325,1;10,0;4 335,1
2016;4 001,7;473,6;149,3;309,6;13,8;4 475,3;7,0;4 482,2
2017;4 083,3;462,8;158,3;290,8;13,3;4 546,1;2,3;4 548,4
2018;4 132,7;470,4;149,7;310,1;10,3;4 603,0;3,3;4 606,4
2019;4 145,1;494,3;165,9;319,1;9,1;4 639,4;5,2;4 644,6
2020;4 056,6;542,7;179,8;351,9;10,6;4 599,3;4,0;4 603,2
2021;4 057,7;576,8;154,5;408,0;13,1;4 634,6;0,0;4 634,6
Férfi;;;;;;;;
2009;1 711,0;315,0;88,9;216,9;7,0;2 026,0;0,0;2 026,0
2010;1 689,3;304,5;90,3;207,8;4,5;1 993,9;0,1;1 993,9
2011;1 714,3;308,4;90,4;211,6;4,9;2 022,7;0,0;2 022,7
2012;1 755,3;294,1;98,4;188,8;5,3;2 049,4;0,0;2 049,4
2013;1 812,8;291,8;110,9;173,5;4,8;2 104,6;0,0;2 104,6
2014;1 910,6;302,3;110,8;183,1;5,6;2 212,9;8,0;2 220,9
2015;1 977,7;302,7;102,0;193,3;6,2;2 280,5;3,6;2 284,1
2016;2 056,4;304,7;95,6;202,8;5,4;2 361,1;1,5;2 362,7
2017;2 125,9;291,5;103,5;184,3;3,4;2 417,4;0,0;2 417,4
2018;2 145,3;300,9;102,3;194,6;3,9;2 446,2;0,0;2 446,2
2019;2 160,8;319,3;111,0;204,3;3,8;2 480,1;0,0;2 480,1
2020;2 114,3;347,7;118,2;225,7;3,6;2 462,1;0,0;2 462,1
2021;2 107,6;364,2;106,4;252,6;4,7;2 471,8;0,0;2 471,8
Nõ;;;;;;;;
2009;1 697,4;164,2;45,4;109,7;8,4;1 861,7;6,8;1 868,5
2010;1 710,9;163,1;50,5;103,3;8,3;1 874,0;5,9;1 879,9
2011;1 718,8;156,2;44,7;100,0;11,0;1 875,0;5,3;1 880,3
2012;1 742,4;162,4;49,2;102,4;10,1;1 904,8;4,5;1 909,3
2013;1 764,9;155,3;50,5;94,9;9,2;1 920,3;4,4;1 924,7
2014;1 838,0;153,4;49,3;95,3;8,0;1 991,3;10,4;2 001,7
2015;1 885,2;159,5;49,7;103,4;5,9;2 044,7;6,4;2 051,0
2016;1 945,3;168,9;53,7;106,8;8,4;2 114,1;5,4;2 119,5
2017;1 957,4;171,2;54,8;106,5;9,9;2 128,6;2,3;2 130,9
2018;1 987,4;169,4;47,4;115,5;6,4;2 156,8;3,3;2 160,2
2019;1 984,3;175,1;54,9;114,8;5,3;2 159,3;5,2;2 164,5
2020;1 942,3;194,9;61,6;126,2;7,1;2 137,2;4,0;2 141,2
2021;1 950,2;212,6;48,1;155,4;8,5;2 162,8;0,0;2 162,8
