21.1.1.75. A nemzetgazdaság integrált számlái, 2019 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;37 768 255;37 768 255;;;;;;;;;;;;;;;;37 768 255;;37 768 255
P.71;Termékek importja;31 310 027;31 310 027;;;;;;;;;;;;;;;;31 310 027;;31 310 027
P.72;Szolgáltatások importja;6 458 228;6 458 228;;;;;;;;;;;;;;;;6 458 228;;6 458 228
P.6;Termékek és szolgáltatások exportja;38 868 641;;38 868 641;;;;;;;;;;;;;;;;38 868 641;38 868 641
P.61;Termékek exportja;30 103 765;;30 103 765;;;;;;;;;;;;;;;;30 103 765;30 103 765
P.62;Szolgáltatások exportja;8 764 876;;8 764 876;;;;;;;;;;;;;;;;8 764 876;8 764 876
P.1;Kibocsátás;93 864 398;93 864 398;;;;;;;;;;68 972 043;2 506 109;10 902 777;10 324 659;1 158 810;93 864 398;;;93 864 398
P.11;Piaci kibocsátás;76 870 571;76 870 571;;;;;;;;;;67 851 411;2 489 841;19 969;6 509 350;;76 870 571;;;76 870 571
P.12;Saját végsõ felhasználási célú kibocsátás;5 181 243;5 181 243;;;;;;;;;;1 120 632;16 268;218 021;3 815 309;11 013;5 181 243;;;5 181 243
P.13;Nem piaci kibocsátás;11 812 584;11 812 584;;;;;;;;;;;;10 664 787;;1 147 797;11 812 584;;;11 812 584
P.2;Folyó termelõfelhasználás;53 606 610;;;53 606 610;523 838;2 756 489;4 148 822;1 050 543;45 126 918;;;;;;;;;;53 606 610;53 606 610
D.21–D.31;Termékadók és -támogatások egyenlege;7 407 137;7 407 137;;;;;;;;;7 407 137;;;;;;7 407 137;;;7 407 137
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";47 664 925;;;47 664 925;634 972;7 568 170;6 753 955;1 455 566;23 845 125;7 407 137;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;7 541 204;;;7 541 204;106 022;1 223 355;1 758 620;131 015;4 322 192;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";40 123 721;;;40 123 721;528 950;6 344 815;4 995 335;1 324 551;19 522 933;7 407 137;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-1 100 386;;-1 100 386;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;7 407 137;23 845 125;1 455 566;6 753 955;7 568 170;634 972;47 664 925;;;47 664 925
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;7 407 137;19 522 933;1 324 551;4 995 335;6 344 815;528 950;40 123 721;;;40 123 721
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;-1 100 386;;-1 100 386
D.1;Munkavállalói jövedelem;19 718 936;;;19 718 936;566 975;650 066;4 985 330;714 633;12 801 932;;;;;;;;;;;
D.11;Bérek és keresetek;16 779 225;;;16 779 225;487 859;600 598;4 192 763;556 815;10 941 190;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 939 711;;;2 939 711;79 116;49 468;792 567;157 818;1 860 742;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;7 610 815;;;7 610 815;-38 025;-90 457;10 005;89 567;232 588;7 407 137;;;;;;;;;;
D.21;Termékadók ;7 629 453;;;7 629 453;;;;;;7 629 453;;;;;;;;;;
D.29;Egyéb termelési adók;977 871;;;977 871;975;186 306;38 561;93 092;658 937;;;;;;;;;;;
D.31;Terméktámogatások;222 316;;;222 316;;;;;;222 316;;;;;;;;;;
D.39;Egyéb termelési támogatások;774 193;;;774 193;39 000;276 763;28 556;3 525;426 349;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;16 119 303;;;16 119 303;106 022;2 792 690;1 758 620;651 366;10 810 605;0;;;;;;;;;;
B.2n;Mûködési eredmény, nettó;8 971 869;;;8 971 869;0;1 963 105;0;520 351;6 488 413;0;;;;;;;;;;
B.3g;Vegyes jövedelem, bruttó;4 215 871;;;4 215 871;;4 215 871;;;;;;;;;;;;;;
B.3n;Vegyes jövedelem, nettó;3 822 101;;;3 822 101;;3 822 101;;;;;;;;;;;;;;
II.1.2. Elsõdleges jövedelmek elosztása számla ;;;;;;;;;;;;;;;;;;;;;
