21.1.1.76. A nemzetgazdaság integrált számlái, 2020 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;37 179 964;37 179 964;;;;;;;;;;;;;;;;37 179 964;;37 179 964
P.71;Termékek importja;31 609 833;31 609 833;;;;;;;;;;;;;;;;31 609 833;;31 609 833
P.72;Szolgáltatások importja;5 570 131;5 570 131;;;;;;;;;;;;;;;;5 570 131;;5 570 131
P.6;Termékek és szolgáltatások exportja;38 113 728;;38 113 728;;;;;;;;;;;;;;;;38 113 728;38 113 728
P.61;Termékek exportja;31 144 711;;31 144 711;;;;;;;;;;;;;;;;31 144 711;31 144 711
P.62;Szolgáltatások exportja;6 969 017;;6 969 017;;;;;;;;;;;;;;;;6 969 017;6 969 017
P.1;Kibocsátás;93 587 792;93 587 792;;;;;;;;;;67 718 219;2 634 241;11 563 830;10 435 351;1 236 151;93 587 792;;;93 587 792
P.11;Piaci kibocsátás;75 702 773;75 702 773;;;;;;;;;;66 730 711;2 614 012;17 000;6 341 050;;75 702 773;;;75 702 773
P.12;Saját végsõ felhasználási célú kibocsátás;5 318 612;5 318 612;;;;;;;;;;987 508;20 229;211 455;4 094 301;5 119;5 318 612;;;5 318 612
P.13;Nem piaci kibocsátás;12 566 407;12 566 407;;;;;;;;;;;;11 335 375;;1 231 032;12 566 407;;;12 566 407
P.2;Folyó termelõfelhasználás;52 727 285;;;52 727 285;572 593;2 823 600;4 256 331;1 076 504;43 998 257;;;;;;;;;;52 727 285;52 727 285
