23.1.1.22. Felsõfokú alap- és mesterképzésben hallgatók képzési terület és nem szerint;;;;;;;;;;;;;;
Tanév;Tanárképzés, oktatástudomány;Mûvészetek;Humán tudományok;Társadalomtudományok;Gazdaság és irányítás;Jog;Természettudományok;Informatika;Mûszaki tudományok;Mezõgazdaság;Egészségügy, szociális gondoskodás;Szolgáltatás;Képzési terület szerint nem besorolható;Összesen
Férfi;;;;;;;;;;;;;;
2001/2002;13 519;2 039;7 747;11 024;24 447;7 579;3 050;8 149;34 160;6 055;6 240;15 607;–;139 616
2002/2003;14 218;2 116;7 953;12 773;26 285;7 413;3 217;9 508;40 808;6 668;6 443;10 620;;148 022
2003/2004;15 125;2 158;8 416;15 546;29 682;7 257;3 347;10 429;40 974;6 804;6 874;11 059;–;157 671
2004/2005;14 816;2 240;8 300;15 402;29 645;7 620;3 519;10 426;40 398;6 584;7 038;12 161;–;158 149
2005/2006;15 404;2 356;8 323;15 660;29 660;7 082;3 821;10 132;41 653;6 412;7 553;12 510;–;160 566
2006/2007;12 430;2 522;8 900;10 306;34 105;6 794;4 805;14 769;37 867;5 908;8 297;13 454;–;160 157
2007/2008;9 873;2 862;9 046;10 276;33 124;6 397;5 535;12 528;39 988;5 266;8 290;12 444;–;155 629
2008/2009;7 523;3 071;9 407;10 250;32 149;6 192;5 833;10 706;40 959;4 796;8 591;11 819;–;151 296
2009/2010;4 729;2 826;8 888;11 082;29 351;5 875;6 096;9 001;42 605;4 620;8 858;13 139;144;147 214
2010/2011;4 071;2 817;8 553;10 781;28 632;5 693;6 255;8 048;43 801;4 540;9 087;12 918;256;145 452
2011/2012;4 065;2 936;8 490;10 503;28 850;5 459;6 479;7 705;44 602;4 438;9 499;12 595;432;146 053
2012/2013;3 348;2 955;7 617;9 615;26 520;5 124;6 315;7 525;44 258;4 223;9 535;11 177;659;138 871
2013/2014;3 330;2 848;6 825;8 332;23 966;4 757;5 676;7 163;42 601;4 063;9 109;10 257;2 388;131 315
2014/2015;3 945;2 728;6 639;7 655;22 418;4 591;5 112;7 119;40 932;4 027;8 998;9 671;3 376;127 211
2015/2016;4 639;2 680;6 121;7 310;20 608;4 475;4 492;7 235;39 512;3 901;9 087;8 649;3 409;122 118
2016/2017;5 377;2 579;5 435;7 355;18 329;4 659;4 112;14 578;31 375;4 795;9 139;6 913;3 471;118 117
2017/2018;5 667;2 482;5 176;7 500;17 633;4 632;3 827;15 754;29 511;4 657;9 462;6 817;3 545;116 663
2018/2019;5 731;2 412;4 979;7 641;17 314;4 504;3 831;16 472;29 331;4 544;9 539;5 817;3 536;115 651
2019/2020;5 616;2 451;4 723;7 725;18 408;4 607;3 523;17 322;28 517;4 437;9 535;6 236;3 509;116 609
2020/2021;5 468;2 458;4 931;8 331;18 953;4 953;3 386;18 315;26 706;4 196;9 754;6 456;2 731;116 638
2021/2022;5 342;2 517;4 873;8 807;19 931;5 150;3 303;18 826;25 360;4 203;9 968;6 508;2 562;117 350
Nõ;;;;;;;;;;;;;;
2001/2002;33 867;2 578;15 449;18 789;42 496;10 033;2 355;2 810;9 460;5 212;19 016;11 557;–;173 622
2002/2003;35 720;2 703;15 988;21 081;52 016;10 522;2 700;3 540;9 782;5 766;20 663;12 684;–;193 165
2003/2004;35 560;2 678;16 959;26 566;57 375;10 839;2 991;3 917;9 394;5 819;23 489;13 689;–;209 276
2004/2005;37 721;2 853;18 049;28 679;61 146;10 944;3 255;3 293;9 547;5 775;23 048;16 007;–;220 317
2005/2006;38 159;3 107;18 609;29 112;57 991;11 392;3 396;2 659;9 321;5 361;24 198;16 761;–;220 066
2006/2007;33 509;3 229;19 675;21 411;61 570;11 415;4 634;2 648;8 573;4 848;25 323;18 827;–;215 662
2007/2008;26 819;3 688;19 445;20 398;59 393;11 045;5 458;2 200;8 947;4 413;24 327;17 629;–;203 762
2008/2009;20 235;4 206;18 963;19 731;54 765;10 532;5 872;1 791;9 078;3 974;23 087;17 321;–;189 555
2009/2010;17 627;4 185;17 740;20 667;49 762;10 116;6 184;1 527;9 207;3 743;22 285;17 622;196;180 861
2010/2011;17 085;4 194;15 698;19 752;46 165;9 890;6 379;1 429;9 657;3 454;21 613;16 789;462;172 567
2011/2012;17 483;4 290;14 395;19 099;44 771;9 595;6 491;1 535;10 169;3 504;22 201;16 244;555;170 332
2012/2013;16 671;4 348;13 504;17 704;40 696;8 850;6 464;1 727;10 332;3 452;21 743;14 546;728;160 765
2013/2014;16 550;4 416;12 256;15 330;35 967;8 108;5 730;1 830;10 340;3 443;21 020;13 260;2 731;150 981
2014/2015;17 525;4 314;11 710;13 955;32 218;7 533;5 050;1 906;10 441;3 383;20 495;12 040;3 699;144 269
2015/2016;19 139;4 208;10 641;13 129;28 440;7 077;4 368;1 864;10 471;3 417;19 941;10 768;3 948;137 411
2016/2017;21 092;4 010;9 711;12 879;24 172;7 525;3 989;2 539;9 889;4 650;19 339;8 647;4 148;132 590
2017/2018;22 030;4 126;9 086;13 016;22 810;7 292;3 770;2 697;9 442;4 498;19 556;7 990;4 032;130 345
2018/2019;22 927;4 095;8 639;13 452;22 505;7 151;3 756;2 914;9 840;4 338;19 728;6 554;4 214;130 113
2019/2020;23 331;4 137;8 337;14 121;23 388;7 152;3 476;3 166;9 648;4 221;20 113;6 777;4 228;132 095
2020/2021;22 300;4 279;8 556;15 240;24 218;7 472;3 289;3 305;9 368;4 050;20 978;6 614;2 861;132 530
2021/2022;21 674;4 477;8 498;16 644;25 681;8 093;3 182;3 376;9 190;4 068;21 992;6 305;3 397;136 577
Összesen;;;;;;;;;;;;;;
2001/2002;47 386;4 617;23 196;29 813;66 943;17 612;5 405;10 959;43 620;11 267;25 256;27 164;–;313 238
2002/2003;49 938;4 819;23 941;33 854;78 301;17 935;5 917;13 048;50 590;12 434;27 106;23 304;–;341 187
2003/2004;50 685;4 836;25 375;42 112;87 057;18 096;6 338;14 346;50 368;12 623;30 363;24 748;–;366 947
2004/2005;52 537;5 093;26 349;44 081;90 791;18 564;6 774;13 719;49 945;12 359;30 086;28 168;–;378 466
2005/2006;53 563;5 463;26 932;44 772;87 651;18 474;7 217;12 791;50 974;11 773;31 751;29 271;–;380 632
2006/2007;45 939;5 751;28 575;31 717;95 675;18 209;9 439;17 417;46 440;10 756;33 620;32 281;–;375 819
2007/2008;36 692;6 550;28 491;30 674;92 517;17 442;10 993;14 728;48 935;9 679;32 617;30 073;–;359 391
2008/2009;27 758;7 277;28 370;29 981;86 914;16 724;11 705;12 497;50 037;8 770;31 678;29 140;–;340 851
2009/2010;22 356;7 011;26 628;31 749;79 113;15 991;12 280;10 528;51 812;8 363;31 143;30 761;340;328 075
2010/2011;21 156;7 011;24 251;30 533;74 797;15 583;12 634;9 477;53 458;7 994;30 700;29 707;718;318 019
2011/2012;21 548;7 226;22 885;29 602;73 621;15 054;12 970;9 240;54 771;7 942;31 700;28 839;987;316 385
2012/2013;20 019;7 303;21 121;27 319;67 216;13 974;12 779;9 252;54 590;7 675;31 278;25 723;1 387;299 636
2013/2014;19 880;7 264;19 081;23 662;59 933;12 865;11 406;8 993;52 941;7 506;30 129;23 517;5 119;282 296
2014/2015;21 470;7 042;18 349;21 610;54 636;12 124;10 162;9 025;51 373;7 410;29 493;21 711;7 075;271 480
2015/2016;23 778;6 888;16 762;20 439;49 048;11 552;8 860;9 099;49 983;7 318;29 028;19 417;7 357;259 529
2016/2017;26 469;6 589;15 146;20 234;42 501;12 184;8 101;17 117;41 264;9 445;28 478;15 560;7 619;250 707
2017/2018;27 697;6 608;14 262;20 516;40 443;11 924;7 597;18 451;38 953;9 155;29 018;14 807;7 577;247 008
2018/2019;28 658;6 507;13 618;21 093;39 819;11 655;7 587;19 386;39 171;8 882;29 267;12 371;7 750;245 764
2019/2020;28 947;6 588;13 060;21 846;41 796;11 759;6 999;20 488;38 165;8 658;29 648;13 013;7 737;248 704
2020/2021;27 768;6 737;13 487;23 571;43 171;12 425;6 675;21 620;36 074;8 246;30 732;13 070;5 592;249 168
2021/2022;27 016;6 994;13 371;25 451;45 612;13 243;6 485;22 202;34 550;8 271;31 960;12 813;5 959;253 927
