21.1.1.58. A nemzetgazdaság integrált számlái, 2002 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;10 492 243;10 492 243;;;;;;;;;;;;;;;;10 492 243;;10 492 243
P.71;Termékek importja;8 683 618;8 683 618;;;;;;;;;;;;;;;;8 683 618;;8 683 618
P.72;Szolgáltatások importja;1 808 625;1 808 625;;;;;;;;;;;;;;;;1 808 625;;1 808 625
P.6;Termékek és szolgáltatások exportja;10 135 518;;10 135 518;;;;;;;;;;;;;;;;10 135 518;10 135 518
P.61;Termékek exportja;7 875 649;;7 875 649;;;;;;;;;;;;;;;;7 875 649;7 875 649
P.62;Szolgáltatások exportja;2 259 869;;2 259 869;;;;;;;;;;;;;;;;2 259 869;2 259 869
P.1;Kibocsátás;34 656 026;34 656 026;;;;;;;;;;24 370 287;992 298;3 853 071;5 107 485;332 885;34 656 026;;;34 656 026
P.11;Piaci kibocsátás;28 793 139;28 793 139;;;;;;;;;;23 989 286;987 283;33 412;3 783 158;;28 793 139;;;28 793 139
P.12;Saját végsõ felhasználási célú kibocsátás;1 765 907;1 765 907;;;;;;;;;;381 001;5 015;53 856;1 324 327;1 708;1 765 907;;;1 765 907
