21.1.1.36. A háztartások tényleges fogyasztása források szerint [millió forint];;;;;;;;;;;;;;;;;;;;;;
Megnevezés;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Folyó áron, millió Ft ;;;;;;;;;;;;;;;;;;;;;;
Vásárlásból;6 695 149;7 662 694;8 473 780;9 482 293;10 128 645;10 877 146;11 451 230;12 263 700;12 924 474;12 504 653;12 587 527;13 208 600;13 703 257;13 998 784;14 614 137;15 163 140;15 978 997;17 280 778;18 605 912;20 321 990;19 805 410;21 998 161
Természetbeni bérbõl;78 369;113 512;114 015;129 349;156 081;136 158;157 100;162 877;143 258;138 971;127 970;134 346;145 386;114 644;125 755;140 244;144 832;75 564;73 838;72 390;73 911;84 576
Nem piaci termelésbõl;933 279;1 051 016;1 148 225;1 242 387;1 320 620;1 398 529;1 553 495;1 622 496;1 711 356;1 828 843;2 060 085;2 043 239;2 018 323;1 994 463;2 069 849;2 236 044;2 393 553;2 625 948;2 994 885;3 483 912;3 691 671;4 262 275
Hazai fogyasztási kiadás;7 706 797;8 827 222;9 736 020;10 854 029;11 605 346;12 411 833;13 161 825;14 049 073;14 779 088;14 472 467;14 775 582;15 386 185;15 866 966;16 107 891;16 809 741;17 539 428;18 517 382;19 982 290;21 674 635;23 878 292;23 570 992;26 345 012
Külföldiek fogyasztása Magyarországon ;1 041 210;1 174 964;935 663;870 398;792 224;814 194;906 891;867 640;1 032 339;1 134 608;1 114 238;1 134 883;1 087 596;1 131 408;1 307 087;1 416 162;1 533 996;1 637 254;1 809 401;2 058 950;943 495;1 179 369
Magyarok fogyasztása külföldön;395 234;441 394;465 314;506 126;456 029;400 122;343 927;401 094;447 760;439 091;401 730;400 354;338 853;350 131;399 174;432 865;527 275;593 900;641 287;727 890;319 144;389 806
Rezidens háztartások fogyasztási kiadása rendelkezésre álló jövedelembõl;7 060 821;8 093 652;9 265 671;10 489 757;11 269 151;11 997 761;12 598 861;13 582 527;14 194 509;13 776 950;14 063 074;14 651 656;15 118 223;15 326 614;15 901 828;16 556 131;17 510 661;18 938 936;20 506 521;22 547 232;22 946 641;25 555 449
Természetbeni társadalmi juttatásból;1 642 483;1 876 988;2 245 461;2 618 504;2 821 457;3 069 060;3 254 721;3 146 644;3 274 186;3 267 949;3 273 540;3 294 831;3 283 075;3 327 332;3 605 946;3 918 049;4 119 734;4 553 382;4 900 897;5 216 764;5 732 954;6 405 040
Háztartások tényleges fogyasztása;8 703 304;9 970 640;11 511 132;13 108 261;14 090 608;15 066 821;15 853 582;16 729 171;17 468 695;17 044 899;17 336 614;17 946 487;18 401 298;18 653 946;19 507 774;20 474 180;21 630 395;23 492 318;25 407 418;27 763 996;28 679 595;31 960 489
Elõzõ évi áron, millió Ft;;;;;;;;;;;;;;;;;;;;;;
Vásárlásból;6 009 184;6 967 440;7 941 014;9 059 758;9 529 103;10 469 502;11 138 111;11 386 575;12 198 483;12 090 308;12 113 230;12 669 918;12 866 255;13 774 821;14 515 016;15 220 579;15 944 569;16 848 375;18 165 785;19 628 608;19 187 099;20 979 553
Természetbeni bérbõl;71 290;104 161;107 552;120 359;143 308;128 844;149 658;152 445;136 912;133 843;123 592;132 396;141 015;112 126;124 371;137 726;142 955;73 653;71 590;70 653;72 075;80 322
Nem piaci termelésbõl;833 992;949 954;1 089 465;1 223 572;1 264 837;1 339 726;1 447 468;1 550 047;1 621 343;1 685 878;2 030 933;2 089 283;2 013 546;1 966 779;1 993 067;2 103 570;2 258 284;2 416 715;2 731 137;3 109 058;3 579 135;3 773 353
Hazai fogyasztási kiadás;6 914 466;8 021 555;9 138 031;10 403 689;10 937 248;11 938 072;12 735 237;13 089 067;13 956 738;13 910 029;14 267 755;14 891 597;15 020 816;15 853 726;16 632 454;17 461 875;18 345 808;19 338 743;20 968 512;22 808 319;22 838 309;24 833 228
Külföldiek fogyasztása Magyarországon ;939 273;1 077 034;890 081;832 598;742 934;786 694;863 028;803 820;969 275;1 088 790;1 063 307;1 092 191;1 031 933;1 104 010;1 301 063;1 403 434;1 521 635;1 595 118;1 749 117;1 967 551;909 820;1 104 068
Magyarok fogyasztása külföldön;377 086;437 723;481 796;475 667;489 589;428 635;338 524;442 632;436 001;391 979;400 015;383 369;319 530;335 889;381 548;431 046;524 039;584 083;629 582;717 399;316 633;374 835
Rezidens háztartások fogyasztási kiadása rendelkezésre álló jövedelembõl;6 352 279;7 382 244;8 729 746;10 046 758;10 683 903;11 580 013;12 210 733;12 727 879;13 423 464;13 213 218;13 604 463;14 182 775;14 308 413;15 085 605;15 712 939;16 489 487;17 348 212;18 327 708;19 848 977;21 558 167;22 245 122;24 103 995
Természetbeni társadalmi juttatásból;1 502 261;1 721 236;2 013 177;2 333 429;2 709 215;2 926 660;3 114 453;2 979 616;3 122 317;3 269 216;3 209 992;3 302 032;3 232 528;3 307 838;3 349 762;3 723 794;3 966 461;4 268 518;4 619 966;4 991 790;4 996 350;5 781 858
Háztartások tényleges fogyasztása;7 854 540;9 103 480;10 742 923;12 380 187;13 393 118;14 506 673;15 325 186;15 707 495;16 545 781;16 482 434;16 814 455;17 484 807;17 540 941;18 393 443;19 062 701;20 213 281;21 314 673;22 596 226;24 468 943;26 549 957;27 241 472;29 885 853
