21.1.1.67. A nemzetgazdaság integrált számlái, 2011 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;22 932 011;22 932 011;;;;;;;;;;;;;;;;22 932 011;;22 932 011
P.71;Termékek importja;19 350 685;19 350 685;;;;;;;;;;;;;;;;19 350 685;;19 350 685
P.72;Szolgáltatások importja;3 581 326;3 581 326;;;;;;;;;;;;;;;;3 581 326;;3 581 326
P.6;Termékek és szolgáltatások exportja;24 565 027;;24 565 027;;;;;;;;;;;;;;;;24 565 027;24 565 027
P.61;Termékek exportja;20 042 117;;20 042 117;;;;;;;;;;;;;;;;20 042 117;20 042 117
P.62;Szolgáltatások exportja;4 522 910;;4 522 910;;;;;;;;;;;;;;;;4 522 910;4 522 910
P.1;Kibocsátás;58 753 464;58 753 464;;;;;;;;;;43 955 064;1 955 768;6 019 666;6 242 683;580 283;58 753 464;;;58 753 464
P.11;Piaci kibocsátás;49 367 850;49 367 850;;;;;;;;;;43 368 257;1 947 100;16 558;4 035 935;;49 367 850;;;49 367 850
P.12;Saját végsõ felhasználási célú kibocsátás;2 909 454;2 909 454;;;;;;;;;;586 807;8 668;102 605;2 206 748;4 626;2 909 454;;;2 909 454
P.13;Nem piaci kibocsátás;6 476 160;6 476 160;;;;;;;;;;;;5 900 503;;575 657;6 476 160;;;6 476 160
P.2;Folyó termelõfelhasználás;34 468 304;;;34 468 304;302 170;1 890 756;2 092 925;868 226;29 314 227;;;;;;;;;;34 468 304;34 468 304
D.21–D.31;Termékadók és -támogatások egyenlege;4 253 042;4 253 042;;;;;;;;;4 253 042;;;;;;4 253 042;;;4 253 042
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";28 538 202;;;28 538 202;278 113;4 351 927;3 926 741;1 087 542;14 640 837;4 253 042;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;5 096 803;;;5 096 803;72 039;883 663;1 039 895;109 929;2 991 277;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";23 441 399;;;23 441 399;206 074;3 468 264;2 886 846;977 613;11 649 560;4 253 042;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-1 633 016;;-1 633 016;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;4 253 042;14 640 837;1 087 542;3 926 741;4 351 927;278 113;28 538 202;;;28 538 202
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;4 253 042;11 649 560;977 613;2 886 846;3 468 264;206 074;23 441 399;;;23 441 399
