22.1.2.9. Ezer megfelelõ korú nõre jutó élveszületés, teljes termékenységi arányszám megye és régió szerint;;;;;;;;
Területi egység neve;Területi egység szintje;Ezer megfelelõ korú nõre jutó élveszületés, 15–19;Ezer megfelelõ korú nõre jutó élveszületés, 20–24;Ezer megfelelõ korú nõre jutó élveszületés, 25–29;Ezer megfelelõ korú nõre jutó élveszületés, 30–39;Ezer megfelelõ korú nõre jutó élveszületés, 40–49;Ezer megfelelõ korú nõre jutó élveszületés, 15–49;Teljes termékenységi arányszám
2001;;;;;;;;
Budapest;fõváros, régió;10,8;32,5;76,2;50,1;2,0;33,1;1,09
Pest ;megye, régió;19,9;65,6;95,1;46,8;2,2;40,7;1,37
Közép-Magyarország;nagyrégió;14,5;44,5;83,0;48,8;2,0;36,0;1,19
Fejér;megye;19,5;65,1;91,2;40,1;1,8;37,3;1,28
Komárom-Esztergom;megye;21,0;72,1;88,8;36,8;1,3;37,1;1,28
Veszprém;megye;15,9;61,5;88,5;32,7;1,4;33,5;1,16
Közép-Dunántúl;régió;18,7;65,9;89,6;36,7;1,5;36,0;1,24
Gyõr-Moson-Sopron;megye;12,7;54,6;95,5;40,4;1,3;35,8;1,21
Vas;megye;14,3;61,4;92,2;35,1;1,3;34,5;1,19
Zala;megye;15,9;60,7;92,2;31,7;1,5;32,9;1,17
Nyugat-Dunántúl;régió;14,1;58,1;93,7;36,3;1,4;34,6;1,19
Baranya;megye;20,9;63,3;92,9;35,2;1,6;35,7;1,25
Somogy;megye;26,0;76,2;91,6;38,4;1,6;38,4;1,36
Tolna ;megye;22,3;67,6;91,8;36,2;1,7;35,9;1,27
Dél-Dunántúl;régió;22,9;68,6;92,2;36,5;1,6;36,7;1,29
Dunántúl;nagyrégió;18,6;64,2;91,7;36,5;1,5;35,8;1,24
Borsod-Abaúj-Zemplén;megye;37,2;85,5;101,4;38,8;2,3;43,2;1,53
Heves;megye;31,5;76,6;95,8;37,0;1,3;39,6;1,39
Nógrád ;megye;33,0;84,5;96,2;31,9;1,6;39,1;1,40
Észak-Magyarország;régió;35,2;83,1;99,1;37,2;1,9;41,6;1,47
Hajdú-Bihar;megye;23,7;76,8;103,4;40,0;1,9;41,9;1,42
Jász-Nagykun-Szolnok;megye;30,3;80,0;98,4;38,5;1,4;41,0;1,43
Szabolcs-Szatmár-Bereg;megye;35,8;98,9;103,1;33,9;1,7;45,0;1,53
Észak-Alföld;régió;30,2;85,9;102,0;37,3;1,7;42,8;1,47
Bács-Kiskun ;megye;18,7;68,0;97,2;37,1;1,7;37,2;1,30
Békés;megye;19,7;72,4;95,4;37,7;1,3;37,3;1,32
Csongrád-Csanád;megye;14,7;55,6;93,2;41,3;1,7;36,1;1,23
Dél-Alföld;régió;17,7;65,1;95,4;38,6;1,6;36,9;1,28
Alföld és Észak;nagyrégió;27,8;78,4;99,0;37,7;1,7;40,5;1,41
Ország összesen;ország;21,8;65,0;92,7;40,8;1,8;38,1;1,31
2012;;;;;;;;
Budapest;fõváros, régió;8,7;21,2;58,4;67,2;6,2;38,6;1,16
Pest ;megye, régió;13,5;34,2;83,9;66,9;4,9;40,5;1,40
Közép-Magyarország;nagyrégió;11,0;26,5;67,5;67,1;5,7;39,4;1,25
Fejér;megye;15,2;37,4;79,7;59,7;3,5;37,9;1,30
Komárom-Esztergom;megye;13,0;43,5;89,2;59,4;4,3;40,0;1,38
Veszprém;megye;14,9;33,0;82,3;59,8;3,6;37,1;1,30
Közép-Dunántúl;régió;14,5;37,7;83,3;59,6;3,8;38,2;1,32
Gyõr-Moson-Sopron;megye;10,4;27,0;80,6;61,4;4,0;37,5;1,25
Vas;megye;9,5;33,5;75,5;54,7;2,6;33,6;1,18
Zala;megye;14,8;38,1;76,2;52,8;2,7;34,0;1,21
Nyugat-Dunántúl;régió;11,3;31,6;78,2;57,4;3,3;35,5;1,22
Baranya;megye;17,1;42,7;76,4;54,1;3,9;35,8;1,27
Somogy;megye;25,4;51,2;75,9;50,0;2,8;36,0;1,30
Tolna ;megye;22,3;49,8;84,5;53,2;3,6;37,8;1,37
Dél-Dunántúl;régió;21,3;47,2;78,3;52,5;3,4;36,4;1,30
Dunántúl;nagyrégió;15,6;38,7;80,1;56,8;3,5;36,8;1,29
Borsod-Abaúj-Zemplén;megye;40,7;67,6;83,3;52,1;3,4;42,5;1,53
Heves;megye;30,5;55,8;77,5;52,1;3,7;38,8;1,39
Nógrád ;megye;28,9;63,0;77,3;44,8;3,5;36,7;1,34
Észak-Magyarország;régió;36,4;64,1;80,9;50,9;3,5;40,6;1,46
Hajdú-Bihar;megye;21,0;44,2;78,6;54,9;3,3;37,5;1,31
Jász-Nagykun-Szolnok;megye;29,2;57,2;81,6;53,2;3,0;39,5;1,42
Szabolcs-Szatmár-Bereg;megye;33,9;68,1;87,1;47,5;3,3;41,0;1,47
Észak-Alföld;régió;28,1;56,3;82,6;51,6;3,2;39,4;1,40
Bács-Kiskun ;megye;16,9;45,3;82,4;56,1;3,4;37,4;1,33
Békés;megye;14,5;43,7;81,2;50,0;2,8;34,0;1,25
Csongrád-Csanád;megye;10,4;32,4;77,5;56,8;3,6;35,0;1,22
