21.1.1.4. A bruttó hazai termék (GDP) értéke forintban, euróban, dollárban, vásárlóerõ-paritáson;;;;;
Év;A bruttó hazai termék értéke, millió HUF;A bruttó hazai termék értéke devizaárfolyamon, millió EUR;A bruttó hazai termék értéke devizaárfolyamon, millió USD;A bruttó hazai termék értéke vásárlóerõ-paritáson, millió EUR;A bruttó hazai termék értéke vásárlóerõ-paritáson, millió USD
1995;5 836 483;35 883,7;46 435,5;79 520,0;94 716,5
1996;7 122 305;37 260,3;46 682,2;81 713,6;96 196,5
1997;8 834 560;41 883,8;47 306,9;84 589,8;101 067,2
1998;10 442 818;43 334,8;48 695,8;88 821,4;106 748,5
1999;11 637 546;46 034,9;49 039,3;93 008,8;111 315,2
2000;13 324 052;51 237,7;47 203,3;100 535,4;121 085,1
2001;15 398 700;59 991,4;53 740,8;111 386,2;134 614,9
2002;17 433 859;71 753,4;67 571,9;120 947,5;147 567,9
2003;19 130 011;75 459,7;85 235,2;128 714,1;156 626,1
2004;21 110 059;83 877,9;104 180,2;134 334,1;164 295,3
2005;22 594 966;91 092,0;113 164,9;141 313,0;172 572,9
2006;24 345 409;92 123,0;115 650,9;147 159,1;184 901,9
2007;25 741 898;102 430,9;140 031,0;151 594,1;191 774,9
2008;27 249 944;108 457,5;158 614,3;161 390,3;208 006,3
2009;26 520 776;94 521,3;131 122,2;156 816,3;207 696,1
2010;27 485 093;99 797,0;132 044,6;164 553,8;217 427,1
2011;28 538 202;102 210,5;142 023,5;171 180,6;229 643,4
2012;28 996 631;100 188,8;128 662,3;170 515,3;230 821,5
2013;30 351 903;102 222,5;135 681,3;175 199,4;242 855,2
2014;32 804 707;106 281,0;141 083,4;181 620,8;253 484,6
2015;34 965 213;112 827,4;125 117,1;189 621,3;263 781,9
2016;36 206 666;116 248,2;128 647,9;190 408,1;274 222,7
2017;39 274 757;127 016,5;143 197,4;198 252,2;288 707,4
2018;43 386 436;136 063,1;160 541,9;211 549,3;311 925,2
2019;47 664 925;146 503,5;163 994,2;223 411,9;328 404,6
2020;48 411 546;137 857,9;157 216,1;217 382,6;325 338,3
2021;55 125 561;153 758,7;181 758,6;237 610,2;356 016,0
