21.1.1.77. A nemzetgazdaság integrált számlái, 2021 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;44 786 617;44 786 617;;;;;;;;;;;;;;;;44 786 617;;44 786 617
P.71;Termékek importja;38 660 739;38 660 739;;;;;;;;;;;;;;;;38 660 739;;38 660 739
P.72;Szolgáltatások importja;6 125 878;6 125 878;;;;;;;;;;;;;;;;6 125 878;;6 125 878
P.6;Termékek és szolgáltatások exportja;44 953 309;;44 953 309;;;;;;;;;;;;;;;;44 953 309;44 953 309
P.61;Termékek exportja;37 028 682;;37 028 682;;;;;;;;;;;;;;;;37 028 682;37 028 682
P.62;Szolgáltatások exportja;7 924 627;;7 924 627;;;;;;;;;;;;;;;;7 924 627;7 924 627
P.1;Kibocsátás;109 365 202;109 365 202;;;;;;;;;;79 990 286;3 005 432;12 889 893;12 191 249;1 288 342;109 365 202;;;109 365 202
P.11;Piaci kibocsátás;89 386 836;89 386 836;;;;;;;;;;78 895 430;2 983 084;26 731;7 481 591;;89 386 836;;;89 386 836
P.12;Saját végsõ felhasználási célú kibocsátás;6 125 972;6 125 972;;;;;;;;;;1 094 856;22 348;296 076;4 709 658;3 034;6 125 972;;;6 125 972
P.13;Nem piaci kibocsátás;13 852 394;13 852 394;;;;;;;;;;;;12 567 086;;1 285 308;13 852 394;;;13 852 394
P.2;Folyó termelõfelhasználás;62 718 768;;;62 718 768;587 862;3 294 425;4 803 601;1 244 992;52 787 888;;;;;;;;;;62 718 768;62 718 768
D.21–D.31;Termékadók és -támogatások egyenlege;8 479 127;8 479 127;;;;;;;;;8 479 127;;;;;;8 479 127;;;8 479 127
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";55 125 561;;;55 125 561;700 480;8 896 824;8 086 292;1 760 440;27 202 398;8 479 127;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;9 660 160;;;9 660 160;133 154;1 514 970;2 255 769;181 256;5 575 011;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";45 465 401;;;45 465 401;567 326;7 381 854;5 830 523;1 579 184;21 627 387;8 479 127;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-166 692;;-166 692;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;8 479 127;27 202 398;1 760 440;8 086 292;8 896 824;700 480;55 125 561;;;55 125 561
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;8 479 127;21 627 387;1 579 184;5 830 523;7 381 854;567 326;45 465 401;;;45 465 401
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;-166 692;;-166 692
D.1;Munkavállalói jövedelem;21 798 375;;;21 798 375;609 585;586 658;5 824 113;760 106;14 017 913;;;;;;;;;;;
D.11;Bérek és keresetek;19 075 999;;;19 075 999;523 240;543 427;5 048 178;618 816;12 342 338;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 722 376;;;2 722 376;86 345;43 231;775 935;141 290;1 675 575;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;8 622 295;;;8 622 295;-42 259;-81 459;6 410;114 679;145 797;8 479 127;;;;;;;;;;
D.21;Termékadók ;8 666 577;;;8 666 577;;;;;;8 666 577;;;;;;;;;;
D.29;Egyéb termelési adók;1 124 082;;;1 124 082;960;224 668;42 498;117 799;738 157;;;;;;;;;;;
D.31;Terméktámogatások;187 450;;;187 450;;;;;;187 450;;;;;;;;;;
D.39;Egyéb termelési támogatások;980 914;;;980 914;43 219;306 127;36 088;3 120;592 360;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;19 805 724;;;19 805 724;133 154;3 492 458;2 255 769;885 655;13 038 688;0;;;;;;;;;;
B.2n;Mûködési eredmény, nettó;10 626 840;;;10 626 840;0;2 458 764;0;704 399;7 463 677;0;;;;;;;;;;
B.3g;Vegyes jövedelem, bruttó;4 899 167;;;4 899 167;;4 899 167;;;;;;;;;;;;;;
B.3n;Vegyes jövedelem, nettó;4 417 891;;;4 417 891;;4 417 891;;;;;;;;;;;;;;
II.1.2. Elsõdleges jövedelmek elosztása számla ;;;;;;;;;;;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;;;;;;;;;;;0;13 038 688;885 655;2 255 769;3 492 458;133 154;19 805 724;;;19 805 724
B.2n;Mûködési eredmény, nettó;;;;;;;;;;;0;7 463 677;704 399;0;2 458 764;0;10 626 840;;;10 626 840
B.3g;Vegyes jövedelem, bruttó;;;;;;;;;;;;;;;4 899 167;;4 899 167;;;4 899 167
B.3n;Vegyes jövedelem, nettó;;;;;;;;;;;;;;;4 417 891;;4 417 891;;;4 417 891
D.1;Munkavállalói jövedelem;941 587;;941 587;;;;;;;;;;;;22 359 757;;22 359 757;380 205;;22 739 962
D.11;Bérek és keresetek;806 257;;806 257;;;;;;;;;;;;19 528 142;;19 528 142;354 114;;19 882 256
D.12;Munkaadók társadalombiztosítási hozzájárulásai;135 330;;135 330;;;;;;;;;;;;2 831 615;;2 831 615;26 091;;2 857 706
D.2–D.3;Termelési és importadók és -támogatások egyenlege;;;;;;;;;;;;;;9 007 403;;;9 007 403;-385 108;;8 622 295
D.21–D.31;Termékadók és -támogatások egyenlege;;;;;;;;;;;;;;8 461 219;;;8 461 219;17 908;;8 479 127
D.29–D.39;Egyéb termelési adók és -támogatások egyenlege;;;;;;;;;;;;;;546 184;;;546 184;-403 016;;143 168
D.4;Tulajdonosi jövedelem;18 063 054;;4 775 998;13 287 056;287;155 124;1 243 238;5 212 550;6 675 857;;;1 940 770;5 370 931;293 803;2 972 377;29 403;10 607 284;7 455 770;;18 063 054
B.5g;Elsõdleges jövedelmek egyenlege, bruttó (Bruttó nemzeti jövedelem, GNI);53 392 279;;;53 392 279;162 270;33 568 635;10 313 737;1 044 036;8 303 601;0;;;;;;;;;;
B.5n;Elsõdleges jövedelmek egyenlege, nettó (Nettó nemzeti jövedelem, NNI);43 732 119;;;43 732 119;29 116;32 053 665;8 057 968;862 780;2 728 590;0;;;;;;;;;;
II.2. Jövedelmek másodlagos elosztása számla;;;;;;;;;;;;;;;;;;;;;
B.5g;Elsõdleges jövedelmek egyenlege, bruttó (Bruttó nemzeti jövedelem, GNI);;;;;;;;;;;0;8 303 601;1 044 036;10 313 737;33 568 635;162 270;53 392 279;;;53 392 279
B.5n;Elsõdleges jövedelmek egyenlege, nettó (Nettó nemzeti jövedelem, NNI);;;;;;;;;;;0;2 728 590;862 780;8 057 968;32 053 665;29 116;43 732 119;;;43 732 119
D.5;Folyó jövedelem-  és vagyonadók;3 281 534;;23 931;3 257 603;;2 481 870;3 188;127 367;645 178;;;;;3 095 779;;;3 095 779;185 755;;3 281 534
D.61;Nettó társadalombiztosítási hozzájárulások;6 398 379;;55 606;6 342 773;;6 342 773;;;;;;53 676;281 973;5 813 876;;2 335;6 151 860;246 519;;6 398 379
D.62;Pénzbeni társadalmi juttatások;6 269 178;;84 913;6 184 265;19 219;;5 952 356;158 738;53 952;;;;;;6 245 144;;6 245 144;24 034;;6 269 178
D.7 ;Egyéb folyó jövedelemátutalások;4 524 365;;562 892;3 961 473;74 909;737 062;2 152 312;379 189;618 001;;;862 650;369 046;586 222;685 162;1 114 311;3 617 391;906 974;;4 524 365
B.6g;Rendelkezésre álló jövedelem, bruttó;52 756 339;;;52 756 339;1 184 788;30 937 236;11 701 758;1 029 761;7 902 796;0;;;;;;;;;;
B.6n;Rendelkezésre álló jövedelem, nettó;43 096 179;;;43 096 179;1 051 634;29 422 266;9 445 989;848 505;2 327 785;0;;;;;;;;;;
II.3. Természetbeni jövedelmek újraelosztása számla ;;;;;;;;;;;;;;;;;;;;;
B.6g;Rendelkezésre álló jövedelem, bruttó;;;;;;;;;;;0;7 902 796;1 029 761;11 701 758;30 937 236;1 184 788;52 756 339;;;52 756 339
B.6n;Rendelkezésre álló jövedelem, nettó;;;;;;;;;;;0;2 327 785;848 505;9 445 989;29 422 266;1 051 634;43 096 179;;;43 096 179
D.63;Természetbeni társadalmi juttatások;6 405 040;;;6 405 040;1 078 635;;5 326 405;;;;;;;;6 405 040;;6 405 040;;;6 405 040
B.7g;Korrigált rendelkezésre álló jövedelem, bruttó;52 756 339;;;52 756 339;106 153;37 342 276;6 375 353;1 029 761;7 902 796;0;;;;;;;;;;
B.7n;Korrigált rendelkezésre álló jövedelem, nettó;43 096 179;;;43 096 179;-27 001;35 827 306;4 119 584;848 505;2 327 785;0;;;;;;;;;;
II.4. Jövedelmek felhasználása számla;;;;;;;;;;;;;;;;;;;;;
B.6g;Rendelkezésre álló jövedelem, bruttó;;;;;;;;;;;0;7 902 796;1 029 761;11 701 758;30 937 236;1 184 788;52 756 339;;;52 756 339
B.6n;Rendelkezésre álló jövedelem, nettó;;;;;;;;;;;0;2 327 785;848 505;9 445 989;29 422 266;1 051 634;43 096 179;;;43 096 179
P.4;Végsõ fogyasztás;38 147 715;;;38 147 715;;31 960 489;6 187 226;;;;;;;;;;;;38 147 715;38 147 715
P.3;Végsõ fogyasztási kiadások;38 147 715;;;38 147 715;1 078 635;25 555 449;11 513 631;;;;;;;;;;;;38 147 715;38 147 715
D.8;Nyugdíjjogosultságok változása miatti korrekció;123 235;;;123 235;;;;123 235;;;;;;;123 235;;123 235;;;123 235
B.8g;Megtakarítások, bruttó;14 608 624;;;14 608 624;106 153;5 505 022;188 127;906 526;7 902 796;0;;;;;;;;;;
B.8n;Megtakarítások, nettó;4 948 464;;;4 948 464;-27 001;3 990 052;-2 067 642;725 270;2 327 785;0;;;;;;;;;;
B.12;Folyó külsõ egyenleg;2 202 530;;2 202 530;;;;;;;;;;;;;;;;;
;;ESZKÖZÖK VÁLTOZÁSA;;;;;;;;;;KÖTELEZETTSÉGEK ÉS A NETTÓ VAGYON VÁLTOZÁSA;;;;;;;;;
III.1. Tõkeszámla;;;;;;;;;;;;;;;;;;;;;
B.8g;Megtakarítások, bruttó;;;;;;;;;;;0;7 902 796;906 526;188 127;5 505 022;106 153;14 608 624;;;14 608 624
B.8n;Megtakarítások, nettó;;;;;;;;;;;0;2 327 785;725 270;-2 067 642;3 990 052;-27 001;4 948 464;;;4 948 464
B.12;Folyó külsõ egyenleg;;;;;;;;;;;;;;;;;;2 202 530;;2 202 530
P.51g;Állóeszköz-felhalmozás, bruttó;14 987 923;;;14 987 923;191 414;2 485 129;3 452 254;191 661;8 667 465;;;;;;;;;;14 987 923;14 987 923
P.52;Készletváltozás;1 750 503;;;1 750 503;;23 122;136 797;;1 590 584;;;;;;;;;;1 750 503;1 750 503
P.53;Értéktárgyak beszerzésének és eladásának egyenlege;72 728;;;72 728;1 180;28 939;226;..;42 383;;;;;;;;;;72 728;72 728
