21.1.1.70. A nemzetgazdaság integrált számlái, 2014 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;26 660 756;26 660 756;;;;;;;;;;;;;;;;26 660 756;;26 660 756
P.71;Termékek importja;22 283 510;22 283 510;;;;;;;;;;;;;;;;22 283 510;;22 283 510
P.72;Szolgáltatások importja;4 377 246;4 377 246;;;;;;;;;;;;;;;;4 377 246;;4 377 246
P.6;Termékek és szolgáltatások exportja;28 580 598;;28 580 598;;;;;;;;;;;;;;;;28 580 598;28 580 598
P.61;Termékek exportja;22 786 269;;22 786 269;;;;;;;;;;;;;;;;22 786 269;22 786 269
P.62;Szolgáltatások exportja;5 794 329;;5 794 329;;;;;;;;;;;;;;;;5 794 329;5 794 329
P.1;Kibocsátás;65 610 512;65 610 512;;;;;;;;;;49 400 355;1 885 014;7 001 160;6 656 983;667 000;65 610 512;;;65 610 512
P.11;Piaci kibocsátás;54 947 745;54 947 745;;;;;;;;;;48 648 802;1 876 525;22 624;4 399 794;;54 947 745;;;54 947 745
P.12;Saját végsõ felhasználási célú kibocsátás;3 149 295;3 149 295;;;;;;;;;;751 553;8 489;129 021;2 257 189;3 043;3 149 295;;;3 149 295
P.13;Nem piaci kibocsátás;7 513 472;7 513 472;;;;;;;;;;;;6 849 515;;663 957;7 513 472;;;7 513 472
P.2;Folyó termelõfelhasználás;37 891 799;;;37 891 799;337 480;1 964 691;2 511 573;858 332;32 219 723;;;;;;;;;;37 891 799;37 891 799
D.21–D.31;Termékadók és -támogatások egyenlege;5 085 994;5 085 994;;;;;;;;;5 085 994;;;;;;5 085 994;;;5 085 994
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";32 804 707;;;32 804 707;329 520;4 692 292;4 489 587;1 026 682;17 180 632;5 085 994;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;5 568 605;;;5 568 605;77 037;930 173;1 129 669;113 236;3 318 490;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";27 236 102;;;27 236 102;252 483;3 762 119;3 359 918;913 446;13 862 142;5 085 994;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-1 919 842;;-1 919 842;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;5 085 994;17 180 632;1 026 682;4 489 587;4 692 292;329 520;32 804 707;;;32 804 707
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;5 085 994;13 862 142;913 446;3 359 918;3 762 119;252 483;27 236 102;;;27 236 102
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;-1 919 842;;-1 919 842
D.1;Munkavállalói jövedelem;13 993 397;;;13 993 397;267 060;573 444;3 380 318;537 650;9 234 925;;;;;;;;;;;
D.11;Bérek és keresetek;11 271 747;;;11 271 747;212 844;516 277;2 643 319;417 454;7 481 853;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 721 650;;;2 721 650;54 216;57 167;736 999;120 196;1 753 072;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;5 000 194;;;5 000 194;-14 577;-196 944;-20 470;162 960;-16 769;5 085 994;;;;;;;;;;
D.21;Termékadók ;5 426 418;;;5 426 418;;;;;;5 426 418;;;;;;;;;;
D.29;Egyéb termelési adók;665 344;;;665 344;347;67 193;17 730;164 558;415 516;;;;;;;;;;;
D.31;Terméktámogatások;340 424;;;340 424;;;;;;340 424;;;;;;;;;;
D.39;Egyéb termelési támogatások;751 144;;;751 144;14 924;264 137;38 200;1 598;432 285;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;11 030 036;;;11 030 036;77 037;1 534 712;1 129 739;326 072;7 962 476;0;;;;;;;;;;
B.2n;Mûködési eredmény, nettó;5 780 101;;;5 780 101;0;923 209;70;212 836;4 643 986;0;;;;;;;;;;
B.3g;Vegyes jövedelem, bruttó;2 781 080;;;2 781 080;;2 781 080;;;;;;;;;;;;;;
B.3n;Vegyes jövedelem, nettó;2 462 410;;;2 462 410;;2 462 410;;;;;;;;;;;;;;
II.1.2. Elsõdleges jövedelmek elosztása számla ;;;;;;;;;;;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;;;;;;;;;;;0;7 962 476;326 072;1 129 739;1 534 712;77 037;11 030 036;;;11 030 036
B.2n;Mûködési eredmény, nettó;;;;;;;;;;;0;4 643 986;212 836;70;923 209;0;5 780 101;;;5 780 101
B.3g;Vegyes jövedelem, bruttó;;;;;;;;;;;;;;;2 781 080;;2 781 080;;;2 781 080
B.3n;Vegyes jövedelem, nettó;;;;;;;;;;;;;;;2 462 410;;2 462 410;;;2 462 410
D.1;Munkavállalói jövedelem;888 416;;888 416;;;;;;;;;;;;14 713 292;;14 713 292;168 521;;14 881 813
