22.1.2.17. A Magyarországon tartózkodó külföldi állampolgárok megye és régió szerint, január 1.;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Budapest;fõváros, régió;39 200;43 857;43 216;48 682;54 251;66 025;69 918;74 344;79 994;82 174;84 134;61 096;60 535;61 219;67 253;72 136;72 945;76 824;85 089;91 540;86 930;88 251
Pest ;megye, régió;10 568;13 075;13 600;15 624;20 057;21 051;22 091;23 657;24 519;28 350;29 217;17 457;15 757;14 226;13 240;13 627;12 946;13 196;14 072;16 141;14 942;15 011
Közép-Magyarország;nagyrégió;49 768;56 932;56 816;64 306;74 308;87 076;92 009;98 001;104 513;110 524;113 351;78 553;76 292;75 445;80 493;85 763;85 891;90 020;99 161;107 681;101 872;103 262
Fejér;megye;3 134;3 410;3 576;4 221;4 339;4 135;4 503;4 655;4 802;4 915;4 995;3 444;3 570;3 687;3 773;5 900;3 742;4 060;5 070;5 400;4 337;4 613
Komárom-Esztergom;megye;3 080;3 199;2 269;3 568;3 578;3 288;3 474;3 804;3 958;3 288;3 452;2 266;2 166;2 107;2 122;2 206;2 103;2 614;4 465;6 052;5 289;5 062
Veszprém;megye;2 261;2 461;2 598;2 913;2 860;2 772;2 954;3 193;3 330;3 747;3 974;2 624;2 787;2 796;2 812;2 885;2 830;3 180;4 307;5 001;4 023;4 553
Közép-Dunántúl;régió;8 475;9 070;8 443;10 702;10 777;10 195;10 931;11 652;12 090;11 950;12 421;8 334;8 523;8 590;8 707;10 991;8 675;9 854;13 842;16 453;13 649;14 228
Gyõr-Moson-Sopron;megye;2 703;3 448;2 736;4 282;3 726;4 796;5 134;5 547;6 057;6 604;7 532;6 190;6 971;7 254;7 648;8 462;8 569;10 597;12 087;13 837;16 406;16 032
Vas;megye;1 410;1 549;1 640;1 754;1 743;2 162;2 188;2 291;2 586;2 612;3 007;2 015;2 260;2 450;2 562;2 808;2 626;3 160;3 500;4 021;4 120;5 128
Zala;megye;2 145;2 036;2 194;2 304;2 211;2 853;3 641;3 919;4 064;5 055;5 464;4 114;4 403;4 767;4 984;5 386;5 561;5 531;5 365;5 636;5 346;6 568
Nyugat-Dunántúl;régió;6 258;7 033;6 570;8 340;7 680;9 811;10 963;11 757;12 707;14 271;16 003;12 319;13 634;14 471;15 194;16 656;16 756;19 288;20 952;23 494;25 872;27 728
Baranya;megye;3 799;3 708;3 657;3 736;3 522;3 179;4 218;4 413;4 641;5 744;6 346;5 158;5 324;5 574;6 128;6 786;7 541;8 168;7 716;8 357;8 160;8 600
Somogy;megye;2 956;2 794;2 847;2 953;2 810;2 755;4 222;4 012;4 157;5 097;5 639;4 415;4 864;5 122;5 122;5 323;5 379;4 857;5 018;5 639;5 942;6 611
Tolna ;megye;1 695;1 653;1 725;1 837;1 913;1 542;1 866;1 831;1 846;2 057;2 102;1 412;1 498;1 518;1 491;1 580;1 566;1 535;1 786;2 039;2 087;2 238
Dél-Dunántúl;régió;8 450;8 155;8 229;8 526;8 245;7 476;10 306;10 256;10 644;12 898;14 087;10 985;11 686;12 214;12 741;13 689;14 486;14 560;14 520;16 035;16 189;17 449
Dunántúl;nagyrégió;23 183;24 258;23 242;27 568;26 702;27 482;32 200;33 665;35 441;39 119;42 511;31 638;33 843;35 275;36 642;41 336;39 917;43 702;49 314;55 982;55 710;59 405
Borsod-Abaúj-Zemplén;megye;3 187;3 119;3 316;3 675;3 725;3 740;3 856;3 729;4 005;3 837;4 018;2 428;2 557;2 761;2 923;3 120;2 653;2 931;3 395;4 116;5 800;7 350
Heves;megye;1 906;1 969;2 071;2 320;2 571;2 486;2 561;2 635;2 780;2 711;2 615;1 506;1 568;1 430;1 367;1 496;1 351;1 937;2 848;3 182;3 114;3 417
Nógrád ;megye;980;1 016;1 107;1 186;1 321;1 229;1 281;1 217;1 283;1 390;1 473;930;1 006;979;941;969;826;874;1 061;1 262;1 396;1 465
Észak-Magyarország;régió;6 073;6 104;6 494;7 181;7 617;7 455;7 698;7 581;8 068;7 938;8 106;4 864;5 131;5 170;5 231;5 585;4 830;5 742;7 304;8 560;10 310;12 232
Hajdú-Bihar;megye;4 844;4 763;4 915;5 339;5 599;5 417;5 552;5 607;6 189;7 502;8 394;6 329;6 166;6 241;6 139;6 230;5 894;6 351;6 300;6 903;7 404;8 172
Jász-Nagykun-Szolnok;megye;1 902;2 020;2 062;2 243;2 427;2 205;2 326;2 385;2 402;2 475;2 579;1 396;1 381;1 353;1 335;1 429;1 633;2 462;3 761;3 795;3 381;3 513
Szabolcs-Szatmár-Bereg;megye;7 725;7 024;7 245;7 593;7 984;7 539;7 645;7 311;7 512;7 433;7 937;4 663;4 353;3 802;3 407;3 208;2 482;2 263;2 409;3 400;4 167;3 134
Észak-Alföld;régió;14 471;13 807;14 222;15 175;16 010;15 161;15 523;15 303;16 103;17 410;18 910;12 388;11 900;11 396;10 881;10 867;10 009;11 076;12 470;14 098;14 952;14 819
Bács-Kiskun ;megye;4 633;4 386;4 174;4 518;5 381;5 175;5 788;6 494;6 363;7 814;8 492;6 331;5 991;5 641;5 304;5 429;4 290;4 471;5 119;5 395;4 602;5 102
Békés;megye;3 088;2 845;2 935;2 977;3 319;2 888;3 134;2 829;2 745;2 923;3 168;1 841;1 713;1 661;1 623;1 672;1 413;1 437;1 554;1 739;1 650;1 673
Csongrád-Csanád;megye;8 812;8 097;8 005;8 384;8 816;9 193;9 678;10 824;11 125;12 091;12 371;7 746;6 487;5 948;5 794;5 954;4 782;5 361;5 851;6 502;5 395;6 032
Dél-Alföld;régió;16 533;15 328;15 114;15 879;17 516;17 256;18 600;20 147;20 233;22 828;24 031;15 918;14 191;13 250;12 721;13 055;10 485;11 269;12 524;13 636;11 647;12 807
Alföld és Észak;nagyrégió;37 077;35 239;35 830;38 235;41 143;39 872;41 821;43 031;44 404;48 176;51 047;33 170;31 222;29 816;28 833;29 507;25 324;28 087;32 298;36 294;36 909;39 858
Ország összesen;ország;110 028;116 429;115 888;130 109;142 153;154 430;166 030;174 697;184 358;197 819;206 909;143 361;141 357;140 536;145 968;156 606;151 132;161 809;180 773;199 957;194 491;202 525
