21.1.1.72. A nemzetgazdaság integrált számlái, 2016 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;28 240 906;28 240 906;;;;;;;;;;;;;;;;28 240 906;;28 240 906
P.71;Termékek importja;23 335 642;23 335 642;;;;;;;;;;;;;;;;23 335 642;;23 335 642
P.72;Szolgáltatások importja;4 905 264;4 905 264;;;;;;;;;;;;;;;;4 905 264;;4 905 264
P.6;Termékek és szolgáltatások exportja;31 284 275;;31 284 275;;;;;;;;;;;;;;;;31 284 275;31 284 275
P.61;Termékek exportja;24 471 247;;24 471 247;;;;;;;;;;;;;;;;24 471 247;24 471 247
P.62;Szolgáltatások exportja;6 813 028;;6 813 028;;;;;;;;;;;;;;;;6 813 028;6 813 028
P.1;Kibocsátás;71 561 520;71 561 520;;;;;;;;;;53 568 131;1 906 247;7 861 987;7 455 064;770 091;71 561 520;;;71 561 520
P.11;Piaci kibocsátás;59 475 433;59 475 433;;;;;;;;;;52 732 359;1 895 834;21 604;4 825 636;;59 475 433;;;59 475 433
P.12;Saját végsõ felhasználási célú kibocsátás;3 610 177;3 610 177;;;;;;;;;;835 772;10 413;129 507;2 629 428;5 057;3 610 177;;;3 610 177
P.13;Nem piaci kibocsátás;8 475 910;8 475 910;;;;;;;;;;;;7 710 876;;765 034;8 475 910;;;8 475 910
P.2;Folyó termelõfelhasználás;40 847 159;;;40 847 159;387 439;2 079 364;2 706 324;896 964;34 777 068;;;;;;;;;;40 847 159;40 847 159
D.21–D.31;Termékadók és -támogatások egyenlege;5 492 305;5 492 305;;;;;;;;;5 492 305;;;;;;5 492 305;;;5 492 305
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";36 206 666;;;36 206 666;382 652;5 375 700;5 155 663;1 009 283;18 791 063;5 492 305;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;5 992 218;;;5 992 218;82 394;970 931;1 276 762;108 823;3 553 308;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";30 214 448;;;30 214 448;300 258;4 404 769;3 878 901;900 460;15 237 755;5 492 305;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-3 043 369;;-3 043 369;;;;;;;;;;;;;;;;;
