22.1.1.15. Házasságkötések, válások;;;;
Év;Házasságkötések száma;Házasságkötések ezer lakosra;Válások száma;Válások ezer lakosra
1900;61 466;9,1;1 075;0,2
1910;65 300;8,6;2 890;0,4
1920;104 122;13,1;          ..;          ..
1930;77 907;9,0;5 495;0,6
1941;79 074;8,5;6 858;0,5
1949;107 820;11,7;12 556;1,4
1950;106 261;11,4;11 263;1,2
1951;93 362;9,9;11 262;1,2
1952;104 836;11,0;13 514;1,4
1953;91 621;9,5;9 021;0,9
1954;107 368;11,1;12 144;1,3
1955;103 020;10,5;15 989;1,6
1956;96 133;9,7;12 479;1,3
1957;97 992;10,0;17 854;1,8
1958;91 439;9,3;14 916;1,5
1959;90 313;9,1;21 927;2,2
1960;88 566;8,9;16 590;1,7
1961;83 072;8,3;17 480;1,7
1962;81 354;8,1;17 410;1,7
1963;84 387;8,4;18 364;1,8
1964;87 581;8,7;19 700;1,9
1965;89 611;8,8;20 363;2,0
1966;93 230;9,2;20 631;2,0
1967;96 199;9,4;21 078;2,1
1968;95 613;9,3;21 265;2,1
1969;95 614;9,3;21 855;2,1
1970;96 612;9,3;22 841;2,2
1971;94 202;9,1;23 560;2,3
1972;97 710;9,4;24 190;2,3
1973;101 614;9,7;25 354;2,4
1974;99 962;9,5;24 517;2,3
1975;103 775;9,9;25 997;2,5
1976;100 472;9,5;27 075;2,6
1977;97 015;9,1;27 167;2,6
1978;92 438;8,7;28 407;2,7
1979;87 172;8,1;27 606;2,6
1980;80 331;7,5;27 797;2,6
1981;77 131;7,2;27 426;2,6
1982;75 550;7,1;28 587;2,7
1983;75 969;7,1;29 337;2,8
1984;74 951;7,1;28 711;2,7
1985;73 238;6,9;29 309;2,8
1986;72 434;6,9;29 557;2,8
1987;66 082;6,3;29 856;2,8
1988;65 907;6,3;23 868;2,3
1989;66 949;6,4;24 952;2,4
1990;66 405;6,4;24 888;2,4
1991;61 198;5,9;24 433;2,4
1992;57 005;5,5;21 607;2,1
1993;54 099;5,2;22 350;2,2
1994;54 114;5,2;23 417;2,3
1995;53 463;5,2;24 857;2,4
1996;48 930;4,7;22 590;2,2
1997;46 905;4,6;24 992;2,4
1998;44 915;4,4;25 763;2,5
1999;45 465;4,4;25 605;2,5
2000;48 110;4,7;23 987;2,3
2001;43 583;4,3;24 391;2,4
2002;46 008;4,5;25 506;2,5
2003;45 398;4,5;25 046;2,5
2004;43 791;4,3;24 638;2,4
2005;44 234;4,4;24 804;2,5
2006;44 528;4,4;24 869;2,5
2007;40 842;4,1;25 160;2,5
2008;40 105;4,0;25 155;2,5
2009;36 730;3,7;23 820;2,4
2010;35 520;3,6;23 873;2,4
2011;35 812;3,6;23 335;2,3
2012;36 161;3,6;21 830;2,2
2013;36 986;3,7;20 209;2,0
2014;38 780;3,9;19 576;2,0
2015;46 137;4,7;20 315;2,1
2016;51 805;5,3;19 552;2,0
2017;50 572;5,2;18 495;1,9
2018;50 828;5,2;16 952;1,7
2019;65 268;6,7;17 600;1,8
2020;67 095;6,9;14 979;1,5
2021;72 030;7,4;18 092;1,9
