21.2.1.1. A makrogazdaság fõbb negyedéves adatai;;;;;;;;
Év;Hónap;A bruttó hazai termék folyó áron, milliárd Ft;A háztartások tényleges fogyasztása folyó áron, milliárd Ft;A bruttó felhalmozás folyó áron, milliárd Ft;A bruttó hazai termék volumenindexe, elõzõ év azonos idõszaka = 100,0%;A háztartások tényleges fogyasztásának volumenindexe, elõzõ év azonos idõszaka = 100,0%;A bruttó felhalmozás volumenindexe, elõzõ év azonos idõszaka = 100,0%;A kormányzati szektor egyenlege a GDP %-ában
1995.;I.;1 258;929;261;..;..;..;..
;II.;1 435;924;382;..;..;..;..
;III.;1 463;954;288;..;..;..;..
;IV.;1 680;1 045;419;..;..;..;..
1996.;I.;1 608;1 068;389;99,7;97,2;88,9;..
;II.;1 749;1 113;426;99,6;96,3;91,1;..
;III.;1 774;1 148;390;99,6;99,5;107,5;..
;IV.;1 991;1 265;562;101,3;97,9;135,4;..
1997.;I.;1 976;1 324;506;100,9;102,7;104,6;..
;II.;2 173;1 328;593;103,4;100,3;116,1;..
;III.;2 221;1 358;549;104,3;100,0;117,6;..
;IV.;2 463;1 518;674;103,9;101,1;105,4;..
1998.;I.;2 353;1 568;611;103,4;100,6;115,9;..
;II.;2 566;1 583;759;103,9;103,6;118,9;..
;III.;2 641;1 627;754;104,4;104,8;125,3;..
;IV.;2 883;1 795;875;103,7;104,5;117,2;..
1999.;I.;2 562;1 774;626;102,1;104,4;101,7;-7,4
;II.;2 855;1 832;831;102,2;105,8;102,1;-3,8
;III.;2 962;1 908;794;103,1;106,9;97,6;-3,7
;IV.;3 258;2 086;910;104,7;105,6;102,4;-6,2
2000.;I.;2 931;2 049;718;105,4;101,4;117,6;-1,2
;II.;3 263;2 096;882;104,8;102,2;99,9;-0,2
;III.;3 442;2 167;1 021;103,9;102,5;110,2;-1,7
;IV.;3 688;2 391;1 118;103,9;107,1;99,1;-8,6
2001.;I.;3 396;2 331;877;104,5;102,7;109,4;-2,4
;II.;3 893;2 435;1 128;104,5;105,3;104,4;-0,4
;III.;3 974;2 484;1 024;104,1;106,2;83,6;-1,0
;IV.;4 137;2 720;1 012;103,3;104,2;92,5;-12,0
2002.;I.;3 940;2 722;916;104,5;107,3;98,6;-6,0
;II.;4 302;2 762;1 096;104,6;106,3;99,1;-5,1
;III.;4 444;2 899;1 135;104,8;109,2;106,4;-6,3
;IV.;4 747;3 128;1 316;105,0;108,1;115,5;-17,4
2003.;I.;4 173;3 109;751;103,4;109,9;85,6;-6,9
;II.;4 704;3 157;1 259;104,1;108,3;110,7;-4,8
;III.;4 874;3 347;1 221;104,4;108,1;111,7;-5,4
;IV.;5 378;3 496;1 477;104,3;104,3;97,3;-11,3
2004.;I.;4 754;3 281;1 103;104,6;99,6;115,8;-4,6
;II.;5 356;3 506;1 627;105,4;104,4;117,2;-7,2
;III.;5 349;3 661;1 397;105,2;104,2;115,9;-8,2
;IV.;5 650;3 642;1 654;104,9;100,6;122,4;-6,3
2005.;I.;4 884;3 562;900;103,3;104,0;100,7;-11,8
;II.;5 657;3 714;1 501;104,8;103,4;92,4;-6,7
;III.;5 803;3 830;1 625;104,3;101,0;102,3;-5,7
;IV.;6 250;3 961;1 842;104,6;103,5;101,5;-7,1
2006.;I.;5 316;3 823;1 044;104,9;104,8;99,6;-15,4
;II.;6 087;3 876;1 655;103,6;101,5;99,2;-7,0
;III.;6 294;4 011;1 822;103,8;100,5;103,8;-5,6
;IV.;6 648;4 144;1 864;103,6;100,3;102,3;-9,4
2007.;I.;5 797;4 002;1 223;101,6;98,1;105,8;-7,6
;II.;6 357;4 099;1 600;100,1;98,7;98,6;-1,8
;III.;6 548;4 224;1 613;99,9;99,4;93,4;-3,3
;IV.;7 041;4 404;1 954;99,7;100,0;96,5;-7,6
2008.;I.;6 331;4 265;1 360;101,8;100,0;97,0;-2,8
;II.;6 856;4 384;1 682;102,6;101,1;109,1;-2,0
;III.;6 770;4 455;1 608;101,9;99,6;104,3;-1,6
;IV.;7 293;4 365;2 180;97,9;95,0;96,3;-8,7
2009.;I.;6 023;4 119;1 088;92,9;94,3;73,5;-5,3
;II.;6 574;4 259;1 255;92,1;94,3;64,5;-3,4
;III.;6 623;4 264;1 370;92,6;92,3;79,2;-4,8
;IV.;7 300;4 403;1 872;96,0;96,5;87,3;-5,5
2010.;I.;6 058;4 177;830;99,8;97,5;95,6;-5,0
;II.;6 765;4 281;1 388;100,8;96,9;108,1;-6,6
;III.;7 024;4 442;1 527;101,6;101,5;99,1;-2,6
