21.1.1.62. A nemzetgazdaság integrált számlái, 2006 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;18 314 576;18 314 576;;;;;;;;;;;;;;;;18 314 576;;18 314 576
P.71;Termékek importja;15 711 471;15 711 471;;;;;;;;;;;;;;;;15 711 471;;15 711 471
P.72;Szolgáltatások importja;2 603 105;2 603 105;;;;;;;;;;;;;;;;2 603 105;;2 603 105
P.6;Termékek és szolgáltatások exportja;17 962 186;;17 962 186;;;;;;;;;;;;;;;;17 962 186;17 962 186
P.61;Termékek exportja;15 002 651;;15 002 651;;;;;;;;;;;;;;;;15 002 651;15 002 651
P.62;Szolgáltatások exportja;2 959 535;;2 959 535;;;;;;;;;;;;;;;;2 959 535;2 959 535
P.1;Kibocsátás;50 671 655;50 671 655;;;;;;;;;;37 214 559;1 697 315;5 272 040;6 001 183;486 558;50 671 655;;;50 671 655
P.11;Piaci kibocsátás;42 658 965;42 658 965;;;;;;;;;;36 748 464;1 690 570;16 756;4 203 175;;42 658 965;;;42 658 965
P.12;Saját végsõ felhasználási célú kibocsátás;2 356 104;2 356 104;;;;;;;;;;466 095;6 745;77 322;1 798 008;7 934;2 356 104;;;2 356 104
P.13;Nem piaci kibocsátás;5 656 586;5 656 586;;;;;;;;;;;;5 177 962;;478 624;5 656 586;;;5 656 586
P.2;Folyó termelõfelhasználás;29 530 842;;;29 530 842;257 670;2 051 279;1 566 866;761 059;24 893 968;;;;;;;;;;29 530 842;29 530 842
D.21–D.31;Termékadók és -támogatások egyenlege;3 204 596;3 204 596;;;;;;;;;3 204 596;;;;;;3 204 596;;;3 204 596
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";24 345 409;;;24 345 409;228 888;3 949 904;3 705 174;936 256;12 320 591;3 204 596;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;3 872 763;;;3 872 763;54 223;710 276;813 111;73 291;2 221 862;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";20 472 646;;;20 472 646;174 665;3 239 628;2 892 063;862 965;10 098 729;3 204 596;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;352 390;;352 390;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;3 204 596;12 320 591;936 256;3 705 174;3 949 904;228 888;24 345 409;;;24 345 409
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;3 204 596;10 098 729;862 965;2 892 063;3 239 628;174 665;20 472 646;;;20 472 646
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;352 390;;352 390
D.1;Munkavállalói jövedelem;11 092 947;;;11 092 947;174 690;528 734;2 891 230;439 967;7 058 326;;;;;;;;;;;
D.11;Bérek és keresetek;8 689 700;;;8 689 700;132 350;480 496;2 146 983;319 073;5 610 798;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 403 247;;;2 403 247;42 340;48 238;744 247;120 894;1 447 528;;;;;;;;;;;
