21.1.1.52. A nemzetgazdaság integrált számlái, 1996 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;2 949 305;2 949 305;;;;;;;;;;;;;;;;2 949 305;;2 949 305
P.71;Termékek importja;2 257 768;2 257 768;;;;;;;;;;;;;;;;2 257 768;;2 257 768
P.72;Szolgáltatások importja;691 537;691 537;;;;;;;;;;;;;;;;691 537;;691 537
P.6;Termékek és szolgáltatások exportja;2 983 020;;2 983 020;;;;;;;;;;;;;;;;2 983 020;2 983 020
P.61;Termékek exportja;1 815 704;;1 815 704;;;;;;;;;;;;;;;;1 815 704;1 815 704
P.62;Szolgáltatások exportja;1 167 316;;1 167 316;;;;;;;;;;;;;;;;1 167 316;1 167 316
P.1;Kibocsátás;13 866 010;13 866 010;;;;;;;;;;8 862 767;463 563;1 608 764;2 788 301;142 615;13 866 010;;;13 866 010
P.11;Piaci kibocsátás;11 314 304;11 314 304;;;;;;;;;;8 682 043;462 490;6 359;2 163 412;;11 314 304;;;11 314 304
P.12;Saját végsõ felhasználási célú kibocsátás;827 974;827 974;;;;;;;;;;180 724;1 073;19 783;624 889;1 505;827 974;;;827 974
P.13;Nem piaci kibocsátás;1 723 732;1 723 732;;;;;;;;;;;;1 582 622;;141 110;1 723 732;;;1 723 732
P.2;Folyó termelõfelhasználás;7 789 772;;;7 789 772;75 924;1 114 722;505 874;166 900;5 926 352;;;;;;;;;;7 789 772;7 789 772
D.21–D.31;Termékadók és -támogatások egyenlege;1 046 067;1 046 067;;;;;;;;;1 046 067;;;;;;1 046 067;;;1 046 067
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";7 122 305;;;7 122 305;66 691;1 673 579;1 102 890;296 663;2 936 415;1 046 067;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;1 410 995;;;1 410 995;20 416;232 080;342 910;34 276;781 313;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";5 711 310;;;5 711 310;46 275;1 441 499;759 980;262 387;2 155 102;1 046 067;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-33 715;;-33 715;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;1 046 067;2 936 415;296 663;1 102 890;1 673 579;66 691;7 122 305;;;7 122 305
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;1 046 067;2 155 102;262 387;759 980;1 441 499;46 275;5 711 310;;;5 711 310
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;-33 715;;-33 715
D.1;Munkavállalói jövedelem;3 161 197;;;3 161 197;46 409;185 366;759 980;120 144;2 049 298;;;;;;;;;;;
D.11;Bérek és keresetek;2 341 192;;;2 341 192;35 592;162 433;531 845;83 362;1 527 960;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;820 005;;;820 005;10 817;22 933;228 135;36 782;521 338;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;1 046 316;;;1 046 316;-134;3 826;0;3 437;-6 880;1 046 067;;;;;;;;;;
D.21;Termékadók ;1 161 974;;;1 161 974;;;;;;1 161 974;;;;;;;;;;
D.29;Egyéb termelési adók;31 451;;;31 451;0;4 682;0;3 437;23 332;;;;;;;;;;;
D.31;Terméktámogatások;115 907;;;115 907;;;;;;115 907;;;;;;;;;;
D.39;Egyéb termelési támogatások;31 202;;;31 202;134;856;0;0;30 212;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;1 810 090;;;1 810 090;20 416;379 685;342 910;173 082;893 997;0;;;;;;;;;;
B.2n;Mûködési eredmény, nettó;475 365;;;475 365;0;223 875;0;138 806;112 684;0;;;;;;;;;;
B.3g;Vegyes jövedelem, bruttó;1 104 702;;;1 104 702;;1 104 702;;;;;;;;;;;;;;
B.3n;Vegyes jövedelem, nettó;1 028 432;;;1 028 432;;1 028 432;;;;;;;;;;;;;;
II.1.2. Elsõdleges jövedelmek elosztása számla ;;;;;;;;;;;;;;;;;;;;;
B.2g;Mûködési eredmény, bruttó;;;;;;;;;;;0;893 997;173 082;342 910;379 685;20 416;1 810 090;;;1 810 090
B.2n;Mûködési eredmény, nettó;;;;;;;;;;;0;112 684;138 806;0;223 875;0;475 365;;;475 365
B.3g;Vegyes jövedelem, bruttó;;;;;;;;;;;;;;;1 104 702;;1 104 702;;;1 104 702
B.3n;Vegyes jövedelem, nettó;;;;;;;;;;;;;;;1 028 432;;1 028 432;;;1 028 432
D.1;Munkavállalói jövedelem;27 050;;27 050;;;;;;;;;;;;3 141 365;;3 141 365;46 882;;3 188 247
D.11;Bérek és keresetek;23 453;;23 453;;;;;;;;;;;;2 325 562;;2 325 562;39 083;;2 364 645
D.12;Munkaadók társadalombiztosítási hozzájárulásai;3 597;;3 597;;;;;;;;;;;;815 803;;815 803;7 799;;823 602
D.2–D.3;Termelési és importadók és -támogatások egyenlege;;;;;;;;;;;;;;1 046 316;;;1 046 316;0;;1 046 316
D.21–D.31;Termékadók és -támogatások egyenlege;;;;;;;;;;;;;;1 046 067;;;1 046 067;0;;1 046 067
D.29–D.39;Egyéb termelési adók és -támogatások egyenlege;;;;;;;;;;;;;;249;;;249;0;;249
D.4;Tulajdonosi jövedelem;2 530 160;;152 127;2 378 033;61;77 358;644 480;1 123 523;532 611;;;290 450;1 120 475;149 212;503 342;12 554;2 076 033;454 127;;2 530 160
