5.1.1.2. A szegénység vagy társadalmi kirekesztõdés kockázatának kitettek aránya nem, korcsoport, iskolai végzettség, jövedelmi ötöd, gazdasági aktivitás, háztartástípus szerint (EU2030 cél) [%];;;;;;;
Megnevezés;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év;2021 referencia év
Korcsoport és nem szerint;;;;;;;
Összesen;28,6;25,9;20,6;20;19,4;19,4;19,3
Férfi;27,6;25,3;20,1;19,2;19,3;18,7;18,3
Nõ;29,4;26,5;21,1;20,8;19,4;20,1;20,3
0–17;38,6;33,5;26,4;24,1;21,7;23,2;19,1
18–64;28,9;26,0;20,7;19,9;18,4;18,2;19,3
Férfi;27,7;25,3;20,4;19,3;18,3;17,7;..
Nõ;29,9;26,6;21,0;20,5;18,6;18,7;..
65+;17,1;18,2;14,9;16,7;20,3;19,9;19,6
Férfi;12,7;15,3;11,3;12,9;19,1;16,9;..
Nõ;19,8;20,0;17,2;19;21,1;21,8;..
Iskolai végzettség szerint;;;;;;;
Legfeljebb alapfokú;47,5;42,0;37,5;37,6;41,3;43,3;39,8
Középfokú;24,6;21,8;16,4;16,6;16,4;16,1;16,8
Felsõfokú;10,1;11,3;7,2;7,9;5,6;5,2;5,2
Jövedelmi ötödök szerint;;;;;;;
1. ötöd;85,6;79,7;78,6;75,5;70,0;74,5;69,3
2. ötöd;32,8;29,7;15,0;14,4;16,0;13,8;13,8
3. ötöd;14,0;12,4;6,3;7,1;7,0;5,1;8,2
4. ötöd;7,8;6,3;2,4;1,9;3,0;2,7;4,7
5. ötöd;2,7;1,6;0,8;0,9;0,7;1,2;1,0
Legjellemzõbb gazdasági aktívitás és nemek szerint;;;;;;;
Foglalkoztatott;20,1;19,1;13,7;13,6;11,9;11,3;11,3
Férfi;18,7;18,5;13,5;13,2;12,3;11,5;..
Nõ ;21,7;19,8;14,0;13,9;11,5;11,2;..
Munkanélküli;76,7;75,7;72,0;71,8;69,2;61,5;68,3
Férfi;79,3;80,5;76,7;77,9;72,8;66,6;..
Nõ ;72,8;68,7;66,4;65,7;65,7;56,9;..
Nyugdíjas;18,7;18,6;15,2;16,7;19,8;19,1;19,2
Férfi;14,8;16,4;11,9;13,3;19;17,1;..
Nõ ;21,0;19,9;17,2;18,6;20,2;20,3;..
Egyéb inaktív;44,5;38,9;33,8;35,6;33,8;35,0;34,6
Férfi;46,6;39,3;34,8;37,4;35,7;36,3;..
Nõ ;43,2;38,7;33,1;34,3;32,6;34,2;..
Háztartástípusok szerint;;;;;;;
Gyermektelen háztartások összesen;23,6;23,0;18,2;18,6;19,8;19,0;20,8
Ebbõl:;;;;;;;
egyszemélyes háztartás;30,2;29,0;27,5;28,7;26,3;29,4;..
férfi;32,3;29,8;29,0;28,5;31,0;29,9;..
nõ ;28,7;28,5;26,6;28,9;23,3;29,1;..
65 évesnél fiatalabb;38,4;36,9;34,5;33,6;31,0;29,1;..
65 éves vagy annál idõsebb;20,4;20,0;20,0;23,1;21,4;29,8;..
2 felnõtt (mindkettõ 65 évesnél fiatalabb), gyermek nélkül;24,7;24,3;17,4;17,7;17,5;15,1;..
Gyermekes háztartások összesen;33,7;28,7;22,2;20,7;18,7;19,8;17,7
Ebbõl:;;;;;;;
egy szülõ gyermek(ek)kel;67,7;52,9;43,1;34,7;42,7;40,7;40,3
2 felnõtt 1 gyermekkel;24,2;25,9;18,8;17,2;14,6;14,8;14,9
2 felnõtt 2 gyermekkel;22,1;19,8;11,8;13,2;13,2;12,5;8,8
2 felnõtt 3 vagy több gyermekkel;44;39,9;31,4;28,6;24,0;27,9;23,4
Roma és a nem roma népesség körében;;;;;;;
Roma ;..;..;..;..;..;67,8;60,1
Nem roma;..;..;..;..;..;17,9;18,0
