21.1.1.27. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Központi kormányzat [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2;Termelési és importadók;;;955 544;1 097 472;1 222 161;1 448 165;1 665 699;1 951 769;2 067 890;2 263 058;2 591 340;2 919 174;2 980 765;3 091 236;3 413 610;3 538 345;3 630 466;4 080 963;4 224 435;4 623 991;4 897 195;5 288 820;5 660 760;5 647 107;6 075 212;6 803 911;7 445 781;7 717 450;8 641 953
D.21;Termékadók;;;944 528;1 081 292;1 198 186;1 416 973;1 628 919;1 911 073;2 020 496;2 205 482;2 540 132;2 852 963;2 908 291;3 007 559;3 323 147;3 436 483;3 511 141;3 785 880;3 906 444;4 272 766;4 417 698;4 773 000;5 102 771;5 121 395;5 484 456;6 144 480;6 649 284;6 834 331;7 692 887
D.211;Hozzáadottérték-adó típusú adók;;;431 422;519 112;658 072;793 230;924 822;1 159 959;1 230 216;1 340 914;1 539 868;1 831 647;1 856 547;1 800 345;2 013 271;2 068 438;2 192 234;2 325 608;2 379 253;2 627 571;2 693 555;3 011 162;3 309 540;3 299 838;3 626 566;4 129 537;4 526 757;4 717 048;5 460 243
D.211_01;Általános forgalmi adó (áfa);C ;;431 422;519 112;658 072;793 230;924 822;1 159 959;1 230 216;1 340 914;1 539 868;1 831 647;1 856 547;1 800 345;2 013 271;2 068 438;2 192 234;2 325 608;2 379 253;2 627 571;2 693 555;3 011 162;3 309 540;3 299 838;3 626 566;4 129 537;4 526 757;4 717 048;5 460 243
D.212;Importadók és importvámok a hozzáadottérték-adók kivételével;;;284 183;280 037;200 093;163 795;168 537;171 767;171 031;184 041;203 886;45 101;1 738;2 186;679;2 663;3 137;2 030;2 173;35;–;–;–;–;–;–;–;–;–
D.2121;Importvámok;;;249 431;248 709;161 300;131 593;141 082;137 731;125 013;129 341;132 638;31 953;-797;-195;-202;-51;-56;-9;–;–;–;–;–;–;–;–;–;–;–
D.2121_01;Import vám;C ;;249 431;248 709;161 300;131 593;141 082;137 731;125 013;129 341;132 638;31 953;-797;-195;-202;-51;-56;-9;–;–;–;–;–;–;–;–;–;–;–
D.2122;Importadók a hozzáadottérték-adók és importvámok kivételével;;;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122A;Az importált mezõgazdasági termékek utáni importilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B;Az importra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C;Jövedéki adók;;;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
