14.1.1.12. A gyermekes, a gyermek nélküli, valamint az egyszemélyes háztartások és személyek száma;;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;173 006;386 245;353 414;128 040;283 349;1 324 054;1 201 833;626 126;482 980;380 193;2 691 132;1 201 833;420 467;781 366;640 086;561 747
Személyek felszorzott száma;441 232;1 158 735;1 413 656;706 626;1 405 074;5 125 323;1 201 833;1 252 252;965 960;1 260 016;4 680 061;1 201 833;420 467;781 366;640 086;561 747
Háztartások átlagos taglétszáma;2,6;3,0;4,0;5,5;5,0;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
2015;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;172 461;372 504;308 463;130 314;236 401;1 220 143;1 400 048;653 062;499 011;377 247;2 929 368;1 400 048;578 879;821 169;759 466;640 582
Személyek felszorzott száma;440 012;1 117 512;1 233 852;720 264;1 194 494;4 706 134;1 400 048;1 306 124;998 022;1 258 954;4 963 148;1 400 048;578 879;821 169;759 466;640 582
Háztartások átlagos taglétszáma;2,6;3,0;4,0;5,5;5,1;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
2016;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;154 521;356 663;325 330;131 216;241 320;1 209 050;1 395 866;663 293;516 959;356 689;2 932 807;1 395 866;560 874;834 992;743 812;652 054
Személyek felszorzott száma;408 327;1 069 989;1 301 320;720 266;1 202 878;4 702 780;1 395 866;1 326 586;1 033 918;1 179 177;4 935 547;1 395 866;560 874;834 992;743 812;652 054
Háztartások átlagos taglétszáma;2,6;3,0;4,0;5,5;5,0;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
2017;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;174 409;376 782;312 255;137 674;238 404;1 239 524;1 359 081;607 158;575 888;349 630;2 891 757;1 359 081;553 214;805 867;708 676;650 405
Személyek felszorzott száma;439 575;1 130 346;1 249 020;758 263;1 146 253;4 723 457;1 359 081;1 214 316;1 151 776;1 160 783;4 885 956;1 359 081;553 214;805 867;708 676;650 405
Háztartások átlagos taglétszáma;2,5;3,0;4,0;5,5;4,8;3,8;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
2018;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;174 983;366 649;310 912;136 584;232 144;1 221 272;1 349 950;622 372;580 182;349 705;2 902 209;1 349 950;568 744;781 206;714 846;635 104
Személyek felszorzott száma;440 615;1 099 947;1 243 648;767 449;1 157 418;4 709 077;1 349 950;1 244 744;1 160 364;1 128 224;4 883 282;1 349 950;568 744;781 206;714 846;635 104
Háztartások átlagos taglétszáma;2,5;3,0;4,0;5,6;5,0;3,9;1,0;2,0;2,0;3,2;1,7;1,0;1,0;1,0;1,0;1,0
2019;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;143 745;412 918;317 652;120 910;215 045;1 210 270;1 306 674;642 015;604 047;357 005;2 909 741;1 306 674;515 079;791 595;669 951;636 723
Személyek felszorzott száma;358 050;1 238 754;1 270 608;649 131;1 098 519;4 615 062;1 306 674;1 284 030;1 208 094;1 164 914;4 963 712;1 306 674;515 079;791 595;669 951;636 723
Háztartások átlagos taglétszáma;2,5;3,0;4,0;5,4;5,1;3,8;1,0;2,0;2,0;3,3;1,7;1,0;1,00;1,00;1,00;1,00
2020;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;168 185;390 088;341 185;145 401;189 337;1 234 196;1 307 906;653 995;584 295;332 793;2 878 989;1 307 906;531 345;776 561;679 978;627 928
Személyek felszorzott száma;400 698;1 170 264;1 364 740;786 580;960 160;4 682 442;1 308 135;1 307 990;1 168 590;1 080 558;4 865 273;1 308 135;531 345;776 790;679 978;628 157
Háztartások átlagos taglétszáma;2,4;3,0;4,0;5,4;5,1;3,8;1,0;2,0;2,0;3,2;1,7;1,0;1,0;1,0;1,0;1,0
2021;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;128 109;356 700;303 223;122 343;217 533;1 127 908;1 310 252;687 548;559 058;407 868;2 964 726;1 310 252;513 548;796 704;717 349;592 903
Személyek felszorzott száma;309 170;1 070 100;1 212 892;677 399;1 087 595;4 357 156;1 310 252;1 375 096;1 118 116;1 344 171;5 147 635;1 310 252;513 548;796 704;717 349;592 903
Háztartások átlagos taglétszáma;2,4;3,0;4,0;5,5;5,0;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
