20.2.1.40. A foglalkoztatottak és munkanélküliek számának szezonálisan kiigazított idõsorai, negyedévente;;;;;;;;;
Év;Negyedév;Eredeti idõsor, foglalkoztatott, ezer fõ;Eredeti idõsor, foglalkoztatott, elõzõ negyedév = 100,0%;Eredeti idõsor, munkanélküli, ezer fõ;Eredeti idõso, rmunkanélküli, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, foglalkoztatott, ezer fõ;Szezonálisan kiigazított idõsor, foglalkoztatott, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, munkanélküli, ezer fõ;Szezonálisan kiigazított idõsor, munkanélküli, elõzõ negyedév = 100,0%
2009.;I.;3 877,0;…;403,6;…;3 912,1;…;387,8;…
;II.;3 910,4;100,9;400,3;99,2;3 901,0;99,7;405,1;104,5
;III.;3 899,4;99,7;431,2;107,7;3 881,5;99,5;434,8;107,3
;IV.;3 891,1;99,8;434,7;100,8;3 876,9;99,9;446,8;102,8
2010.;I.;3 821,8;98,2;493,8;113,6;3 868,3;99,8;469,3;105,0
;II.;3 870,9;101,3;470,6;95,3;3 865,9;99,9;475,0;101,2
;III.;3 907,8;101,0;457,9;97,3;3 877,2;100,3;465,9;98,1
;IV.;3 894,7;99,7;454,1;99,2;3 877,6;100,0;467,8;100,4
2011.;I.;3 831,9;98,4;492,2;108,4;3 886,2;100,2;465,0;99,4
;II.;3 900,8;101,8;458,3;93,1;3 897,8;100,3;462,9;99,5
;III.;3 942,2;101,1;456,3;99,6;3 902,8;100,1;467,2;100,9
;IV.;3 936,9;99,9;455,0;99,7;3 920,4;100,4;468,0;100,2
2012.;I.;3 870,3;98,3;506,0;111,2;3 936,8;100,4;475,6;101,6
;II.;3 950,3;102,1;471,9;93,3;3 943,3;100,2;477,3;100,4
;III.;4 019,6;101,8;453,7;96,1;3 970,5;100,7;465,4;97,5
;IV.;3 994,7;99,4;459,5;101,3;3 976,0;100,1;472,4;101,5
2013.;I.;3 906,6;97,8;494,7;107,7;3 980,9;100,1;464,4;98,3
;II.;4 028,3;103,1;439,8;88,9;4 018,5;100,9;445,5;95,9
;III.;4 081,7;101,3;428,9;97,5;4 038,8;100,5;438,8;98,5
;IV.;4 100,5;100,5;397,4;92,7;4 089,1;101,2;408,6;93,1
2014.;I.;4 165,1;101,6;363,0;91,3;4 232,3;103,5;341,1;83,5
;II.;4 196,3;100,7;358,8;98,8;4 181,0;98,8;363,7;106,6
;III.;4 270,1;101,8;331,4;92,4;4 225,8;101,1;339,1;93,2
;IV.;4 258,8;99,7;318,3;96,0;4 254,0;100,7;327,3;96,5
2015.;I.;4 235,8;99,5;347,3;109,1;4 289,5;100,8;328,1;100,2
;II.;4 324,0;102,1;310,3;89,4;4 316,5;100,6;314,4;95,8
;III.;4 390,4;101,5;292,4;94,2;4 355,9;100,9;296,4;94,3
;IV.;4 390,2;100,0;280,6;95,9;4 386,5;100,7;287,0;96,8
2016.;I.;4 390,5;100,0;272,6;97,2;4 432,7;101,1;260,9;90,9
;II.;4 476,4;102,0;234,1;85,9;4 471,0;100,9;237,7;91,1
;III.;4 521,1;101,0;226,2;96,6;4 494,1;100,5;226,6;95,3
;IV.;4 540,9;100,4;205,0;90,6;4 527,7;100,7;210,1;92,7
2017.;I.;4 498,0;99,1;206,6;100,8;4 531,2;100,1;200,3;95,3
;II.;4 541,0;101,0;196,2;95,0;4 542,8;100,3;199,1;99,4
;III.;4 575,2;100,8;188,2;95,9;4 559,7;100,4;185,8;93,3
;IV.;4 579,3;100,1;175,2;93,1;4 572,4;100,3;179,6;96,7
2018.;I.;4 570,6;99,8;177,8;101,5;4 588,8;100,4;173,8;96,8
;II.;4 606,9;100,8;165,0;92,8;4 605,1;100,4;168,6;97,0
;III.;4 627,4;100,4;178,2;108,0;4 616,1;100,2;174,6;103,6
;IV.;4 620,6;99,9;166,3;93,4;4 621,0;100,1;170,3;97,6
2019.;I.;4 631,0;100,2;165,0;99,2;4 644,4;100,5;160,3;94,1
;II.;4 643,1;100,3;155,2;94,1;4 641,6;99,9;158,4;98,8
;III.;4 654,2;100,2;162,4;104,7;4 642,0;100,0;160,6;101,4
;IV.;4 649,9;99,9;153,1;94,3;4 641,8;100,0;158,4;98,6
2020.;I.;4 606,8;99,1;173,0;113,0;4 629,9;99,7;166,1;104,8
;II.;4 556,4;98,9;214,2;123,8;4 556,9;98,4;215,8;129,9
;III.;4 627,2;101,6;207,8;97,0;4 610,5;101,2;207,5;96,2
;IV.;4 622,6;99,9;195,4;94,0;4 607,9;99,9;203,1;97,9
2021.;I.;4 567,6;98,8;214,8;110,0;4 600,4;99,8;206,8;101,8
;II.;4 619,2;101,1;198,0;92,2;4 625,4;100,5;198,3;95,9
;III.;4 663,4;101,0;189,7;95,8;4 648,7;100,5;189,3;95,4
;IV.;4 687,9;100,5;180,3;95,0;4 668,2;100,4;186,1;98,3
2022.;I.;4 674,3;99,7;181,1;100,4;4 691,8;100,5;176,7;94,9
;II.;4 693,2;100,4;156,9;86,7;4 699,4;100,2;157,5;89,1
;III.;4 712,2;100,4;178,3;113,6;4 708,7;100,2;177,2;112,5
;IV.;;;;;;;;
