5.8.1.2. A szegénység vagy társadalmi kirekesztõdés kockázatának kitettek aránya nem, korcsoport, iskolai végzettség, jövedelmi ötöd, gazdasági aktivitás, háztartástípus szerint (EU2020 stratégia) [%];;;;;;;;;;;;;;;;;
Megnevezés;2004 referencia év;2005 referencia év;2006 referencia év;2007 referencia év;2008 referencia év;2009 referencia év;2010 referencia év;2011 referencia év;2012 referencia év;2013 referencia év;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év
Korcsoport és nem szerint;;;;;;;;;;;;;;;;;
Összesen;32,1;31,4;29,4;28,2;29,6;29,9;31,5;33,5;34,8;31,8;28,2;26,3;25,6;19,6;18,9;17,8;18,2
Férfi;31,3;31,1;28,6;27,3;29,1;29,4;31,1;32,9;34,4;31,4;28,0;26,0;24,9;18,9;18,0;17,7;17,5
Nõ;32,8;31,8;30,1;29,0;30,0;30,3;32,0;34,0;35,2;32,3;28,4;26,5;26,1;20,3;19,6;17,8;18,9
0–17;38,4;37,7;34,1;33,4;37,2;38,7;40,4;41,9;43,9;41,8;36,1;33,6;31,6;23,8;22,4;17,7;20,2
18–64;32,1;31,1;29,8;29,1;30,2;30,5;32,2;34,0;36,0;32,4;28,9;27,2;26,3;20,4;19,1;17,5;17,5
Férfi;31,1;30,7;28,6;27,8;29,4;29,5;31,5;33,3;35,2;31,5;28,6;26,7;25,8;19,8;18,7;17,2;17,1
Nõ;33,0;31,5;30,9;30,3;30,9;31,3;32,9;34,6;36,8;33,2;29,2;27,7;26,9;20,9;19,5;17,7;17,8
65+;23,9;23,9;21,1;17,5;17,5;16,8;19,0;22,0;20,2;19,0;17,1;15,1;16,8;13,3;14,4;18,8;19,0
Férfi;18,0;18,7;16,7;13,8;13,9;12,1;13,8;16,7;14,7;15,5;13,1;11,8;13,9;9,6;10,5;18,3;15,7
Nõ;27,3;26,8;23,7;19,5;19,6;19,5;22,0;25,0;23,4;21,0;19,5;17,0;18,6;15,6;16,8;19,1;21,0
Iskolai végzettség szerint;;;;;;;;;;;;;;;;;
Legfeljebb alapfokú;42,1;46,7;43,1;41,2;41,5;43,1;46,3;51,7;52,8;51,2;47,7;44,2;41,9;37,1;35,3;38,1;38,9
Középfokú;28,3;26,6;26,6;25,4;26,9;26,4;28,0;29,3;31,0;28,4;25,0;22,8;21,4;15,6;15,6;15,5;15,2
Felsõfokú;9,2;10,7;8,9;9,4;9,4;10,1;11,3;13,1;14,0;9,7;10,5;9,9;12,0;6,5;7,6;5,6;5,0
Jövedelmi ötödök szerint;;;;;;;;;;;;;;;;;
1. ötöd;81,9;87,0;78,9;78,5;77,9;80,1;85,4;87,0;89,3;87,9;87,0;83,3;79,5;77,2;73,4;67,6;73,1
2. ötöd;36,9;33,0;31,0;27,5;30,6;31,5;33,1;37,3;39,5;34,6;27,5;26,9;26,6;13,2;13,4;13,4;11,4
3. ötöd;21,0;20,9;19,8;18,6;19,6;19,8;21,0;22,8;25,2;21,8;16,1;11,9;13,4;4,5;6,1;5,0;3,9
4. ötöd;13,8;10,8;12,5;11,5;13,7;12,3;12,8;14,5;13,7;10,7;8,4;7,2;6,3;2,2;2,1;1,7;2,1
5. ötöd;6,7;5,5;4,9;5,0;6,0;5,7;5,3;5,7;6,6;4,3;2,0;2,0;2,2;0,7;0,2;0,8;0,9
Legjellemzõbb gazdasági aktívitás és nemek szerint;;;;;;;;;;;;;;;;;
Foglalkoztatott;23,0;18,8;18,0;16,8;19,2;18,7;19,5;20,9;23,6;20,3;18,7;18,4;19,0;12,9;12,4;11,0;11,1
