21.1.1.33. A háztartási szektor bruttó jövedelme és a jövedelmek felhasználása [folyó áron, milliárd Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Bér, kereset;1 902,2;2 325,6;2 844,7;3 359,6;3 737,5;4 425,6;5 270,9;5 859,5;6 739,3;7 504,6;8 144,8;8 701,1;9 148,8;9 591,6;9 449,9;9 872,3;10 299,8;10 792,4;11 318,9;11 886,1;12 429,0;13 139,6;14 668,5;16 092,7;17 499,4;17 926,2;19 528,1
A munkaadók társadalombiztosítási hozzájárulása;704,3;815,8;1 039,0;1 218,7;1 275,5;1 487,6;1 643,4;1 833,0;1 953,7;2 093,3;2 286,4;2 409,8;2 596,6;2 785,8;2 570,5;2 269,1;2 384,5;2 579,3;2 616,1;2 827,2;3 020,7;3 243,6;3 005,6;2 984,7;3 084,5;2 782,5;2 831,6
Munkavállalói jövedelem;2 606,5;3 141,4;3 883,7;4 578,2;5 013,0;5 913,2;6 914,3;7 692,5;8 692,9;9 597,8;10 431,2;11 111,0;11 745,4;12 377,4;12 020,5;12 141,4;12 684,3;13 371,8;13 935,0;14 713,3;15 449,6;16 383,2;17 674,1;19 077,4;20 583,9;20 708,7;22 359,8
Mûködési eredmény;292,4;379,7;470,8;529,0;625,4;708,9;787,1;841,4;902,2;963,8;1 027,5;1 124,4;1 213,1;1 301,5;1 354,8;1 550,3;1 551,5;1 522,9;1 495,7;1 534,7;1 667,3;1 833,5;2 043,2;2 360,3;2 792,7;2 986,6;3 492,5
Vegyes jövedelem;913,1;1 104,7;1 220,2;1 334,7;1 506,4;1 637,3;1 927,9;2 050,1;2 095,9;2 242,0;2 398,0;2 379,2;2 427,9;2 628,9;2 385,5;2 371,9;2 541,9;2 447,2;2 557,4;2 781,1;2 904,2;3 102,4;3 302,2;3 743,3;4 215,9;4 120,6;4 899,2
Tulajdonosi jövedelem;331,7;426,0;518,0;614,3;693,9;691,2;666,3;759,8;713,7;889,0;880,0;949,1;1 005,2;903,9;1 004,0;819,5;841,2;1 068,8;1 058,8;1 072,5;1 234,1;1 185,8;1 434,3;2 021,4;2 324,1;2 153,7;2 817,3
Az elsõdleges jövedelmek egyenlege;4 143,6;5 051,7;6 092,7;7 056,2;7 838,7;8 950,6;10 295,6;11 343,9;12 404,7;13 692,6;14 736,8;15 563,6;16 391,6;17 211,7;16 764,8;16 883,2;17 618,9;18 410,7;19 046,8;20 101,6;21 255,3;22 504,9;24 453,8;27 202,4;29 916,6;29 969,6;33 568,6
Kapott folyó transzferek összesen;988,2;1 091,2;1 269,6;1 541,6;1 738,4;1 935,4;2 247,0;2 680,2;3 011,5;3 393,8;3 811,1;4 201,6;4 550,5;4 776,0;4 780,2;4 798,7;4 881,8;4 908,6;4 996,7;5 078,3;5 113,1;5 218,8;5 426,8;5 747,5;6 054,9;6 354,8;6 930,3
Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
a kötelezõ társadalombiztosítás pénzbeli juttatásai;631,1;695,2;813,4;993,5;1 128,6;1 280,8;1 482,6;1 777,6;1 964,3;2 177,4;2 433,2;2 662,1;2 935,6;3 253,1;3 255,2;3 289,2;3 410,3;3 277,5;3 468,1;3 558,2;3 629,1;3 730,2;3 898,0;4 096,1;4 312,0;4 561,5;5 099,4
