23.1.1.21. Felsõfokú alap- és mesterképzés;;;;;;
Tanév;Hallgatók száma, összesen;Ebbõl: hallgatók száma, nappali képzésben;Nappali képzésben tanulókból új belépõk;Nappali képzésben tanulókból külföldi hallgató;Nappali képzésben tanulókból nõ;Nappali képzésben tanulókból kollégiumban lakók aránya, %
1990/1991;102 387;76 601;22 662;3 310;37 409;46,8
1991/1992;107 079;83 191;25 358;5 842;40 754;43,7
1992/1993;117 460;92 328;30 192;6 248;46 197;41,5
1993/1994;133 956;103 713;35 005;6 324;53 796;39,8
1994/1995;154 660;116 370;37 934;6 399;59 487;36,7
1995/1996;179 565;129 541;42 433;6 300;67 361;33,5
1996/1997;199 032;142 113;44 698;6 434;74 122;31,2
1997/1998;233 657;152 889;45 669;6 636;80 201;29,5
1998/1999;258 315;163 100;48 886;7 111;86 700;27,8
1999/2000;278 997;171 612;51 586;7 711;91 951;28,0
2000/2001;295 040;176 046;52 578;7 751;94 435;27,3
2001/2002;313 238;184 071;56 709;8 088;99 111;25,5
2002/2003;341 187;193 155;57 763;8 184;104 008;24,7
2003/2004;366 947;204 910;59 699;8 850;110 097;24,5
2004/2005;378 466;212 292;59 783;9 302;114 952;22,9
2005/2006;380 632;217 245;61 898;10 072;116 199;22,0
2006/2007;375 819;224 616;61 231;10 757;119 125;21,4
2007/2008;359 391;227 118;55 789;11 435;120 278;20,2
2008/2009;340 851;224 894;52 755;12 934;118 381;20,1
2009/2010;328 075;222 564;61 948;14 290;116 981;19,4
2010/2011;318 019;218 057;68 715;15 090;112 725;18,9
2011/2012;316 385;218 304;70 954;16 450;112 854;18,7
2012/2013;299 636;214 320;67 014;17 277;110 714;18,9
2013/2014;282 296;209 208;46 931;20 041;108 542;18,6
2014/2015;271 480;203 576;44 867;21 730;105 344;18,3
2015/2016;259 529;195 419;43 080;23 038;100 878;18,5
2016/2017;250 707;190 098;43 292;25 346;98 245;19,1
2017/2018;247 008;187 084;42 856;28 677;96 192;20,2
2018/2019;245 764;185 278;44 449;31 293;95 016;20,3
2019/2020;248 704;186 797;46 082;33 142;96 227;20,3
2020/2021;249 168;187 237;44 720;32 400;96 515;18,0
2021/2022;253 927;190 094;46 884;34 758;98 985;18,7
