22.1.2.12. Belföldi vándorlás településtípus szerint;;;;
Év;A vándorlók száma összesen;Belföldi vándorlási különbözet Budapest;Belföldi vándorlási különbözet többi város;Belföldi vándorlási különbözet község
Állandó vándorlás;;;;
1990;213 625;3 624;-7 318;3 694
1991;188 381;-1 070;-2 195;3 265
1992;204 641;-3 602;-1 758;5 360
1993;207 839;-6 634;-3 168;9 802
1994;209 075;-11 192;-4 948;16 140
1995;210 909;-10 138;-7 950;18 088
1996;208 971;-11 083;-4 546;15 629
1997;219 837;-10 133;-3 528;13 661
1998;224 208;-11 583;-3 898;15 481
1999;220 185;-14 054;-2 648;16 702
2000;229 007;-17 835;-5 762;23 597
2001;216 853;-13 987;-5 829;19 816
2002;232 717;-11 068;-6 214;17 282
2003;242 537;-11 738;-6 708;18 446
2004;218 567;-10 685;-4 423;15 108
2005;222 275;-6 264;-2 125;8 389
2006;253 562;-4 805;-187;4 992
2007;255 221;-1 616;211;1 405
2008;242 191;-2 782;2 433;349
2009;213 159;40;-1 051;1 011
2010;202 158;2 225;-2 221;-4
2011;200 640;2 046;-2 007;-39
2012;192 488;2 154;-940;-1 214
2013;192 038;3 933;-1 729;-2 204
2014;214 707;5 448;-3 615;-1 833
2015;218 298;1 569;-1 369;-200
2016;255 126;-3 230;1 162;2 068
2017;265 383;-3 315;1 265;2 050
2018;279 499;-5 920;491;5 429
2019;283 096;-7 719;-1 401;9 120
2020;264 891;-8 635;-4 720;13 355
2021;307 028;-10 035;-6 921;16 956
Ideiglenes vándorlás és visszavándorlás együtt;;;;
1990;261 006;8 127;2 429;-10 556
1991;210 445;8 137;3 768;-11 905
1992;199 467;6 904;4 513;-11 417
1993;185 031;5 515;4 803;-10 318
1994;150 345;2 612;8 842;-11 454
1995;195 714;-1 066;2 032;-966
1996;216 903;3 103;-556;-2 547
1997;198 978;-2 215;-4 731;6 946
1998;195 696;1 030;-2 808;1 778
1999;178 869;-355;-1 244;1 599
2000;175 972;-541;-977;1 518
2001;183 024;-213;-1 192;1 405
2002;187 002;10;-51;41
2003;192 834;1 459;1 637;-3 096
2004;200 897;3 446;926;-4 372
2005;210 878;1 814;1 401;-3 215
2006;235 633;2 373;2 000;-4 373
2007;258 953;7 507;397;-7 904
2008;154 953;9 414;7 523;-16 937
2009;165 456;10 641;4 838;-15 479
2010;177 433;12 617;3 982;-16 599
2011;260 161;5 303;-3 144;-2 159
2012;286 645;5 953;-6 118;165
2013;262 567;6 432;-1 247;-5 185
2014;275 147;4 735;-172;-4 563
2015;275 898;840;-82;-758
2016;297 019;-161;424;-263
2017;307 025;495;-803;308
2018;297 123;2 803;371;-3 174
2019;297 780;2 021;-278;-1 743
2020;301 613;-7 761;2 056;5 705
2021;302 104;-1 991;-1 487;3 478
Teljes belföldi vándorlás;;;;
1990;474 631;11 751;-4 889;-6 862
1991;398 826;7 067;1 573;-8 640
1992;404 108;3 302;2 755;-6 057
1993;392 870;-1 119;1 635;-516
1994;359 420;-8 580;3 894;4 686
1995;406 623;-11 204;-5 918;17 122
1996;425 874;-7 980;-5 102;13 082
1997;418 815;-12 348;-8 259;20 607
1998;419 904;-10 553;-6 706;17 259
1999;399 054;-14 409;-3 892;18 301
2000;404 979;-18 376;-6 739;25 115
2001;399 877;-14 200;-7 021;21 221
2002;419 719;-11 058;-6 265;17 323
2003;435 371;-10 279;-5 071;15 350
2004;419 464;-7 239;-3 497;10 736
2005;433 153;-4 450;-724;5 174
2006;489 195;-2 432;1 813;619
2007;514 174;5 891;608;-6 499
2008;397 144;6 632;9 956;-16 588
2009;378 615;10 681;3 787;-14 468
2010;379 591;14 842;1 761;-16 603
2011;460 801;7 349;-5 151;-2 198
2012;479 133;8 107;-7 058;-1 049
2013;454 605;10 365;-2 976;-7 389
2014;489 854;10 183;-3 787;-6 396
2015;494 196;2 409;-1 451;-958
2016;552 145;-3 391;1 586;1 805
2017;572 408;-2 820;462;2 358
2018;576 622;-3 117;862;2 255
2019;580 876;-5 698;-1 679;7 377
2020;566 504;-16 396;-2 664;19 060
2021;609 132;-12 026;-8 408;20 434
