14.1.1.7. Háztartások és személyek száma a referenciaszemély korcsoportja és iskolai végzettsége szerint;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy niincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú
2010;;;;;;;;;
Háztartások felszorzott száma;4 015 186;109 760;2 045 619;837 517;1 022 290;940 315;1 656 030;1 087 126;331 715
Személyek felszorzott száma;9 805 384;282 013;6 194 609;1 728 932;1 599 830;2 098 193;4 308 510;2 583 312;815 369
Háztartások átlagos taglétszáma;2,4;2,6;3,0;2,1;1,6;2,2;2,6;2,4;2,5
2015;;;;;;;;;
Háztartások felszorzott száma;4 149 511;100 422;2 062 229;902 934;1 083 926;804 627;1 465 301;896 345;983 238
Személyek felszorzott száma;9 669 282;261 392;6 045 533;1 749 538;1 612 819;1 837 935;3 468 035;1 980 708;2 382 604
Háztartások átlagos taglétszáma;2,3;2,6;2,9;1,9;1,5;2,3;2,4;2,2;2,4
2016;;;;;;;;;
Háztartások felszorzott száma;4 141 857;100 832;2 076 753;857 621;1 106 651;812 800;1 104 922;1 293 232;930 903
Személyek felszorzott száma;9 638 327;278 594;6 052 758;1 651 277;1 655 698;1 834 966;2 660 101;2 931 041;2 212 219
Háztartások átlagos taglétszáma;2,3;2,8;2,9;1,9;1,5;2,3;2,4;2,3;2,4
2017;;;;;;;;;
Háztartások felszorzott száma;4 131 281;110 323;2 051 526;827 096;1 142 336;778 435;1 095 374;1 285 796;971 676
Személyek felszorzott száma;9 609 413;318 578;5 979 102;1 603 080;1 708 653;1 671 708;2 642 758;2 977 427;2 317 520
Háztartások átlagos taglétszáma;2,3;2,9;2,9;1,9;1,5;2,1;2,4;2,3;2,4
2018;;;;;;;;;
Háztartások felszorzott száma;4 123 481;118 197;1 983 488;884 593;1 137 203;722 913;1 111 988;1 331 911;956 669
Személyek felszorzott száma;9 592 359;362 871;5 703 313;1 778 587;1 747 588;1 600 655;2 686 169;3 049 550;2 255 985
Háztartások átlagos taglétszáma;2,3;3,1;2,9;2,0;1,5;2,2;2,4;2,3;2,4
2019;;;;;;;;;
Háztartások felszorzott száma;4 120 011;102 072;2 005 850;878 613;1 133 476;696 105;1 075 996;1 347 036;1 000 874
Személyek felszorzott száma;9 578 774;297 253;5 806 907;1 753 869;1 720 745;1 590 259;2 572 823;3 040 082;2 375 610
Háztartások átlagos taglétszáma;2,3;2,9;2,9;2,0;1,5;2,3;2,4;2,3;2,4
2020;;;;;;;;;
Háztartások felszorzott száma;4 126 849;102 539;2 078 053;816 810;1 129 447;649 027;1 110 006;1 323 630;1 044 186
Személyek felszorzott száma;9 599 201;318 031;5 951 199;1 622 475;1 707 496;1 503 012;2 681 554;2 949 119;2 465 516
Háztartások átlagos taglétszáma;2,3;3,1;2,9;2,0;1,5;2,3;2,4;2,2;2,4
2021;;;;;;;;;
Háztartások felszorzott száma;4 099 311;106 681;2 037 444;786 150;1 169 036;642 321;1 055 314;1 358 736;1 042 940
Személyek felszorzott száma;9 528 568;300 511;5 836 617;1 595 234;1 796 206;1 449 921;2 595 206;3 022 883;2 460 558
Háztartások átlagos taglétszáma;2,3;2,8;2,9;2,0;1,5;2,3;2,5;2,2;2,4
