5.8.1.5. Súlyos anyagi deprivációban élõk aránya nem, korcsoport, iskolai végzettség, gazdasági aktivitás, háztartástípus szerint (EU2020 stratégia) [%];;;;;;;;;;;;;;;;;
Megnevezés;2004 referencia év;2005 referencia év;2006 referencia év;2007 referencia év;2008 referencia év;2009 referencia év;2010 referencia év;2011 referencia év;2012 referencia év;2013 referencia év;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év
Korcsoport és nem szerint;;;;;;;;;;;;;;;;;
Összesen;22,9;20,9;19,9;17,9;20,3;21,6;23,4;26,3;27,8;24,0;19,4;16,2;14,5;10,1;8,7;8,0;8,3
Férfi;22,6;20,8;19,6;17,3;20,2;21,5;23,0;25,8;27,7;23,7;19,1;16,1;14,3;9,9;8,7;7,8;8,1
Nõ;23,1;21,0;20,1;18,4;20,4;21,6;23,7;26,8;27,8;24,4;19,6;16,3;14,7;10,3;8,8;8,1;8,5
0–17;27,5;24,8;24,4;21,5;25,5;28,8;30,4;34,1;35,6;31,9;24,9;21,1;19,2;15,2;13,1;11,0;11,3
18–64;22,2;20,2;19,0;17,6;20,1;21,3;23,3;26,1;28,1;23,8;19,2;16,5;14,7;10,1;8,3;7,5;8,0
Férfi;21,9;20,2;18,7;17,1;20,2;21,1;22,9;25,7;28,1;23,6;19,2;16,7;14,7;10,0;8,3;7,2;7,7
Nõ;22,4;20,1;19,3;18,1;20,1;21,4;23,6;26,5;28,2;24,1;19,2;16,3;14,6;10,2;8,3;7,8;8,2
65+;19,9;18,6;17,2;14,4;14,6;14,1;16,2;18,6;17,8;16,5;14,2;10,2;9,4;5,6;6,0;6,7;6,6
Férfi;15,8;14,6;14,3;11,8;11,9;10,1;11,2;13,7;12,6;13,3;10,4;7,5;6,8;4,1;4,8;5,3;5,5
Nõ;22,3;20,9;18,9;15,9;16,2;16,4;19,2;21,4;20,8;18,3;16,4;11,8;11,0;6,5;6,8;7,6;7,2
Iskolai végzettség szerint;;;;;;;;;;;;;;;;;
Legfeljebb alapfokú;32,6;33,9;31,7;28,4;30,9;33,0;36,8;42,3;44,2;41,7;36,8;31,6;29,4;22,8;21,2;20,6;19,9
Középfokú;18,8;16,8;16,4;15,0;17,5;18,1;20,0;22,4;24,0;20,4;16,5;13,7;11,1;7,3;6,0;5,3;5,9
