21.1.1.24. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Európai Unió Intézményei [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2 Termelési és importadók;1=2+26;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.21 Termékadók;2=3+4+13;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;36 772;39 028;34 280;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.211 Hozzáadottérték-adó típusú adók;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.212 Importadók és importvámok a hozzáadottérték-adók kivételével;4=5+6;–;–;–;–;–;–;–;–;–;19 186;35 415;35 644;36 772;36 844;33 652;33 429;36 842;36 205;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2121 Importvámok;5;–;–;–;–;–;–;–;–;–;19 186;35 415;35 644;36 772;36 844;33 652;33 429;36 842;36 205;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2122 Importadók a hozzáadottérték-adók és az importvámok kivételével;6=7+..+12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122A Az importált mezõgazdasági termékek utáni importilletékek;7;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B Az importra kivetett monetáris kompenzációs összegek;8;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C Jövedéki adók;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122D Általános forgalmi adók;10;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E Meghatározott szolgáltatásokra kivetett adók;11;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
