20.1.1.28. A gazdaságilag aktívak száma korcsoportok szerint, nemenként [ezer fõ];;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
15–24 
éves"
Együtt ;;;;;;;;;;;;;;
2009;22,9;282,1;564,4;672,6;664,1;590,6;540,6;489,1;374,6;80,1;24,4;6,4;4 311,9;305,0
2010;21,7;280,8;532,3;667,8;683,5;601,5;529,0;495,4;417,4;82,1;24,9;6,3;4 342,9;302,4
2011;19,6;273,3;502,4;666,2;701,1;610,5;512,2;502,0;452,1;94,0;27,1;8,0;4 368,4;292,9
2012;20,9;283,6;501,7;647,2;728,7;626,9;520,6;506,6;463,7;96,1;28,2;7,3;4 431,5;304,6
2013;26,1;293,7;496,5;614,1;752,1;635,6;546,3;489,1;472,3;110,2;26,7;6,9;4 469,5;319,8
2014;28,8;307,8;510,7;586,6;757,3;656,8;576,1;486,6;479,2;143,9;23,7;7,9;4 565,5;336,7
2015;32,8;312,6;513,2;560,6;732,5;694,4;602,0;497,5;467,5;194,2;26,5;9,1;4 642,8;345,4
2016;33,7;318,1;518,1;551,5;699,7;728,7;620,2;500,0;458,1;245,4;31,1;11,9;4 716,7;351,7
2017;34,2;311,7;522,7;543,2;663,3;755,8;640,0;514,3;441,8;264,8;34,8;13,4;4 739,9;345,9
2018;36,3;304,5;523,1;544,4;632,2;774,8;646,9;542,0;438,9;276,0;41,8;17,4;4 778,2;340,8
2019;39,1;291,4;529,9;548,1;601,7;773,0;663,5;564,2;431,5;283,9;57,2;20,0;4 803,5;330,6
2020;31,7;286,2;526,1;542,2;574,2;742,5;690,3;592,7;435,1;293,7;64,9;21,3;4 800,8;317,9
2021;33,8;278,6;508,8;546,8;562,4;713,4;725,8;616,2;452,6;289,7;78,7;23,6;4 830,2;312,4
Férfi;;;;;;;;;;;;;;
2009;14,3;156,2;300,0;362,8;350,0;301,9;268,0;236,3;203,8;46,1;14,7;3,9;2 257,8;170,4
2010;12,7;154,9;283,4;358,2;361,6;305,9;261,6;237,4;214,9;47,5;14,1;3,6;2 255,7;167,5
2011;12,2;150,5;268,7;355,6;376,4;311,4;255,6;243,7;227,3;52,7;15,9;4,4;2 274,1;162,6
2012;13,2;153,6;267,8;346,8;389,1;322,0;260,5;244,4;240,3;53,4;16,1;4,3;2 311,5;166,9
2013;16,1;165,9;266,0;324,1;397,2;328,5;273,7;236,8;249,0;66,9;14,5;4,9;2 343,9;182,0
2014;17,1;172,5;276,5;310,9;401,1;342,2;289,4;235,5;248,7;90,7;13,1;5,0;2 402,6;189,6
2015;21,0;172,3;278,9;294,8;387,0;361,3;305,1;242,2;242,2;121,4;14,2;5,7;2 446,0;193,3
2016;21,0;177,1;279,1;293,0;367,9;379,6;314,9;246,5;232,2;153,3;17,2;8,1;2 490,2;198,2
2017;20,4;174,7;282,0;290,6;349,6;393,7;324,4;259,5;223,8;166,7;20,4;7,3;2 513,2;195,1
2018;22,2;172,6;283,3;292,6;332,4;401,1;329,7;270,7;224,7;170,2;25,9;8,9;2 534,4;194,8
2019;25,5;167,6;283,4;296,2;317,5;402,7;337,7;288,6;222,0;180,0;33,4;11,6;2 566,2;193,1
2020;19,8;160,6;282,5;298,4;303,1;392,0;355,0;301,1;222,6;184,4;34,7;12,2;2 566,3;180,3
2021;21,8;155,1;274,4;296,7;299,0;373,1;373,4;312,9;230,5;178,7;42,2;13,9;2 571,7;176,9
Nõ;;;;;;;;;;;;;;
2009;8,6;126,0;264,4;309,8;314,2;288,6;272,6;252,8;170,8;34,0;9,8;2,5;2 054,1;134,6
2010;9,0;125,9;248,9;309,6;322,0;295,6;267,5;258,0;202,6;34,5;10,8;2,8;2 087,2;134,9
2011;7,4;122,9;233,7;310,5;324,7;299,1;256,6;258,4;224,9;41,3;11,2;3,6;2 094,3;130,3
2012;7,7;130,0;233,9;300,4;339,7;304,8;260,2;262,2;223,4;42,7;12,1;2,9;2 120,0;137,7
2013;10,1;127,7;230,4;290,0;354,8;307,1;272,6;252,3;223,2;43,3;12,2;1,9;2 125,6;137,8
2014;11,8;135,3;234,2;275,7;356,2;314,6;286,8;251,1;230,5;53,2;10,6;2,9;2 162,8;147,1
2015;11,8;140,3;234,4;265,8;345,4;333,1;296,9;255,3;225,3;72,7;12,3;3,5;2 196,8;152,1
2016;12,6;140,9;239,0;258,5;331,8;349,1;305,4;253,5;225,9;92,1;13,9;3,8;2 226,5;153,6
2017;13,8;137,0;240,7;252,6;313,7;362,1;315,5;254,8;218,0;98,1;14,4;6,1;2 226,8;150,8
2018;14,2;131,9;239,8;251,8;299,8;373,7;317,1;271,2;214,1;105,8;15,9;8,5;2 243,9;146,0
2019;13,7;123,8;246,5;251,9;284,2;370,3;325,7;275,6;209,5;103,8;23,8;8,4;2 237,3;137,5
2020;11,9;125,6;243,5;243,8;271,1;350,5;335,3;291,6;212,5;109,4;30,2;9,1;2 234,5;137,5
2021;12,0;123,5;234,3;250,1;263,4;340,4;352,4;303,3;222,1;111,0;36,5;9,7;2 258,6;135,5
