21.1.1.66. A nemzetgazdaság integrált számlái, 2010 [millió Ft];;;;;;;;;;;;;;;;;;;;;
Kód;Gazdasági mûveletek és egyenlegezõ tételek;Összesen S.1+S.2 FELHASZNÁLÁS;Termékek és szolgáltatások (forrás) S.1+S.2 FELHASZNÁLÁS;Külföld S.2 FELHASZNÁLÁS;Nemzetgazdaság összesen S.1 FELHASZNÁLÁS;Háztartásokat segítõ nonprofit intézmények S.15 FELHASZNÁLÁS;Háztartások S.14 FELHASZNÁLÁS;Kormányzat S.13 FELHASZNÁLÁS;Pénzügyi vállalatok S.12 FELHASZNÁLÁS;Nem pénzügyi vállalatok S.11 FELHASZNÁLÁS;Képzett szektor S.1N FELHASZNÁLÁS;Képzett szektor S.1N FORRÁS;Nem pénzügyi vállalatok S.11 FORRÁS;Pénzügyi vállalatok S.12 FORRÁS;Kormányzat S.13 FORRÁS;Háztartások S.14 FORRÁS;Háztartásokat segítõ nonprofit intézmények S.15 FORRÁS;Nemzetgazdaság összesen S.1 FORRÁS;Külföld S.2 FORRÁS;Termékek és szolgáltatások (felhasználás) S.2 FORRÁS;Összesen S.1+S.2 FORRÁS
I. Termelési számla / Termékek és szolgáltatások külföld számlája ;;;;;;;;;;;;;;;;;;;;;
P.7;Termékek és szolgáltatások importja;20 986 960;20 986 960;;;;;;;;;;;;;;;;20 986 960;;20 986 960
P.71;Termékek importja;17 650 470;17 650 470;;;;;;;;;;;;;;;;17 650 470;;17 650 470
P.72;Szolgáltatások importja;3 336 490;3 336 490;;;;;;;;;;;;;;;;3 336 490;;3 336 490
P.6;Termékek és szolgáltatások exportja;22 292 418;;22 292 418;;;;;;;;;;;;;;;;22 292 418;22 292 418
P.61;Termékek exportja;18 205 574;;18 205 574;;;;;;;;;;;;;;;;18 205 574;18 205 574
P.62;Szolgáltatások exportja;4 086 844;;4 086 844;;;;;;;;;;;;;;;;4 086 844;4 086 844
P.1;Kibocsátás;55 479 028;55 479 028;;;;;;;;;;40 814 676;1 965 945;6 079 070;6 067 040;552 297;55 479 028;;;55 479 028
P.11;Piaci kibocsátás;45 999 426;45 999 426;;;;;;;;;;40 221 587;1 959 785;17 697;3 800 357;;45 999 426;;;45 999 426
P.12;Saját végsõ felhasználási célú kibocsátás;2 961 534;2 961 534;;;;;;;;;;593 089;6 160;91 679;2 266 683;3 923;2 961 534;;;2 961 534
P.13;Nem piaci kibocsátás;6 518 068;6 518 068;;;;;;;;;;;;5 969 694;;548 374;6 518 068;;;6 518 068
P.2;Folyó termelõfelhasználás;32 146 245;;;32 146 245;290 203;1 864 234;2 110 454;895 171;26 986 183;;;;;;;;;;32 146 245;32 146 245
D.21–D.31;Termékadók és -támogatások egyenlege;4 152 310;4 152 310;;;;;;;;;4 152 310;;;;;;4 152 310;;;4 152 310
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";27 485 093;;;27 485 093;262 094;4 202 806;3 968 616;1 070 774;13 828 493;4 152 310;;;;;;;;;;
P.51c;Állóeszköz-felhasználás;4 929 233;;;4 929 233;70 240;865 438;1 014 253;108 767;2 870 535;;;;;;;;;;;
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";22 555 860;;;22 555 860;191 854;3 337 368;2 954 363;962 007;10 957 958;4 152 310;;;;;;;;;;
B.11;Külkereskedelmi egyenleg;-1 305 458;;-1 305 458;;;;;;;;;;;;;;;;;
II.1.1. Jövedelmek keletkezése számla;;;;;;;;;;;;;;;;;;;;;
B.1g;"Hozzáadott érték, bruttó
(Bruttó hazai termék, GDP)";;;;;;;;;;;4 152 310;13 828 493;1 070 774;3 968 616;4 202 806;262 094;27 485 093;;;27 485 093
B.1n;"Hozzáadott érték, nettó
(Nettó hazai termék, NDP)";;;;;;;;;;;4 152 310;10 957 958;962 007;2 954 363;3 337 368;191 854;22 555 860;;;22 555 860
B.11;Külkereskedelmi egyenleg;;;;;;;;;;;;;;;;;;-1 305 458;;-1 305 458
D.1;Munkavállalói jövedelem;11 943 682;;;11 943 682;191 115;409 915;2 938 395;545 201;7 859 056;;;;;;;;;;;
D.11;Bérek és keresetek;9 708 917;;;9 708 917;152 048;372 212;2 250 498;419 702;6 514 457;;;;;;;;;;;
D.12;Munkaadók társadalombiztosítási hozzájárulásai;2 234 765;;;2 234 765;39 067;37 703;687 897;125 499;1 344 599;;;;;;;;;;;
D.2–D.3;Termelési és importadók és -támogatások egyenlege;4 159 865;;;4 159 865;739;-129 360;15 482;149 064;-28 370;4 152 310;;;;;;;;;;
D.21;Termékadók ;4 325 146;;;4 325 146;;;;;;4 325 146;;;;;;;;;;
D.29;Egyéb termelési adók;434 675;;;434 675;739;23 227;15 482;149 064;246 163;;;;;;;;;;;
D.31;Terméktámogatások;172 836;;;172 836;;;;;;172 836;;;;;;;;;;
