20.1.1.25. A munkanélküliek száma az elõzõ munkahelyük megszûnésének oka szerint, nemenként [ezer fõ];;;;;;;;;
Év;Volt már korábban rendszeres munkája, elveszítette az állását, vállalkozása tönkrement;Volt már korábban rendszeres munkája, felmondott, vállalkozása megszûnt;Volt már korábban rendszeres munkája, idõszakos vagy szezonális munkája befejezõdött;Volt már korábban rendszeres munkája, közfoglalkoztatása befejezõdött;Volt már korábban rendszeres munkája, családi kötöttségek miatt;Volt már korábban rendszeres munkája, egyéb okból;Volt már korábban rendszeres munkája, összesen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;;
2009;245,0;25,7;20,4;27,6;14,1;32,8;365,7;51,7;417,4
2010;282,5;25,9;23,9;32,5;15,0;31,8;411,5;57,5;469,1
2011;258,1;26,0;23,1;51,0;15,7;34,2;408,0;57,4;465,4
2012;269,9;22,6;26,2;45,4;11,4;27,6;403,2;69,6;472,8
2013;251,0;20,2;21,2;40,5;11,3;22,2;366,3;73,9;440,2
2014;171,9;24,6;16,3;42,3;10,5;16,2;281,8;61,0;342,9
2015;139,3;25,9;19,1;44,0;11,4;18,0;257,6;50,0;307,7
2016;104,1;21,1;16,0;34,4;8,4;13,3;197,3;37,2;234,5
2017;76,5;21,5;10,1;30,6;9,3;12,2;160,2;31,4;191,6
2018;61,7;24,4;10,8;24,0;10,2;13,2;144,3;27,6;171,8
2019;54,3;26,2;9,1;16,0;9,4;14,7;129,8;29,1;158,9
2020;93,9;28,0;8,8;10,1;10,6;17,0;168,6;29,0;197,6
2021;82,4;23,4;12,4;16,5;6,3;22,4;163,4;32,3;195,7
Férfi;;;;;;;;;
2009;141,6;14,5;12,7;18,5;1,5;15,8;204,5;27,3;231,8
2010;166,3;14,1;13,8;20,3;1,4;15,0;230,9;30,9;261,7
2011;148,5;14,0;13,5;30,3;0,9;14,4;221,6;29,8;251,5
2012;157,8;12,8;14,9;24,9;1,3;12,4;224,1;37,9;262,1
2013;141,4;10,5;12,7;23,6;0,9;10,8;200,0;39,3;239,3
2014;95,6;12,0;9,5;23,7;1,5;7,8;150,0;31,7;181,7
2015;75,9;14,0;11,4;24,5;1,6;8,3;135,7;26,3;161,9
2016;61,2;13,6;8,7;18,5;1,3;6,3;109,5;18,0;127,5
2017;40,7;13,4;5,2;15,4;1,8;5,4;81,9;13,9;95,7
2018;33,6;12,8;5,8;12,4;3,0;6,1;73,7;14,5;88,1
2019;32,0;14,6;5,0;7,2;3,4;7,4;69,6;16,5;86,1
2020;51,6;15,1;6,0;5,5;2,9;9,8;91,1;13,1;104,2
2021;43,1;14,5;6,1;8,1;1,3;10,6;83,8;16,1;99,9
Nõ;;;;;;;;;
2009;103,3;11,3;7,8;9,1;12,6;17,0;161,2;24,5;185,6
2010;116,2;11,7;10,1;12,1;13,6;16,8;180,7;26,7;207,4
2011;109,6;12,0;9,6;20,7;14,8;19,8;186,4;27,6;214,0
2012;112,1;9,9;11,4;20,5;10,1;15,1;179,0;31,7;210,7
2013;109,6;9,6;8,5;16,9;10,4;11,4;166,3;34,6;201,0
2014;76,4;12,7;6,8;18,5;9,0;8,5;131,8;29,3;161,1
2015;63,4;11,8;7,7;19,5;9,8;9,7;122,0;23,8;145,7
2016;42,9;7,5;7,3;15,9;7,1;7,1;87,8;19,2;107,0
2017;35,8;8,1;4,9;15,1;7,5;6,9;78,3;17,5;95,8
2018;28,1;11,6;5,0;11,7;7,2;7,1;70,6;13,1;83,7
2019;22,3;11,6;4,2;8,8;6,0;7,3;60,2;12,6;72,8
2020;42,3;12,9;2,8;4,6;7,6;7,2;77,5;15,9;93,4
2021;39,4;8,8;6,3;8,3;4,9;11,9;79,6;16,2;95,8
