21.1.1.16. A pénzügyi vállalatok szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Jövedelmek keletkezése ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.1 n;Hozzáadott érték, nettó;204 134;262 387;262 903;303 700;274 145;310 361;351 108;436 226;508 899;576 054;695 622;862 965;865 169;868 593;956 907;962 007;977 613;931 105;862 646;913 446;892 663;900 460;1 042 892;1 116 823;1 324 551;1 399 557;1 579 184
D.1;Munkavállalói jövedelem;103 318;120 144;152 363;177 835;196 135;210 307;229 954;271 911;298 629;338 431;389 687;439 967;507 146;539 258;532 510;545 201;508 433;531 285;527 630;537 650;549 294;567 870;578 469;657 931;714 633;698 874;760 106
D.11;Bérek és keresetek;71 808;83 362;106 077;125 481;142 770;154 533;170 271;199 754;212 983;243 135;281 474;319 073;370 551;404 467;394 530;419 702;400 169;412 603;411 952;417 454;425 933;443 577;455 247;511 773;556 815;555 636;618 816
D.12;Munkaadók társadalombiztosítási hozzájárulásai;31 510;36 782;46 286;52 354;53 365;55 774;59 683;72 157;85 646;95 296;108 213;120 894;136 595;134 791;137 980;125 499;108 264;118 682;115 678;120 196;123 361;124 293;123 222;146 158;157 818;143 238;141 290
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.121;tényleges;29 952;35 335;42 840;51 205;51 719;54 563;58 412;70 825;83 730;92 797;105 776;118 381;134 286;133 747;135 532;123 854;106 643;117 129;114 092;118 821;121 763;122 787;121 634;143 587;155 286;141 021;139 066
D.122;imputált;1 558;1 447;3 446;1 149;1 646;1 211;1 271;1 332;1 916;2 499;2 437;2 513;2 309;1 044;2 448;1 645;1 621;1 553;1 586;1 375;1 598;1 506;1 588;2 571;2 532;2 217;2 224
D.29;Egyéb termelési adók;2 295;3 437;4 449;6 578;5 500;6 472;5 231;5 656;4 339;5 871;6 855;7 562;7 161;13 346;11 537;149 064;156 560;162 743;148 674;164 558;169 362;101 714;102 623;90 198;93 092;162 524;117 799
D.39;Egyéb termelési támogatások;0;0;0;0;0;0;0;0;97;22;259;259;261;0;0;0;0;3 772;1 922;1 598;1 456;1 518;1 085;2 592;3 525;3 025;3 120
D.39–D.29;Egyéb termelési támogatások és adók egyenlege;-2 295;-3 437;-4 449;-6 578;-5 500;-6 472;-5 231;-5 656;-4 242;-5 849;-6 596;-7 303;-6 900;-13 346;-11 537;-149 064;-156 560;-158 971;-146 752;-162 960;-167 906;-100 196;-101 538;-87 606;-89 567;-159 499;-114 679
B.2 n;Mûködési eredmény, nettó;98 521;138 806;106 091;119 287;72 510;93 582;115 923;158 659;206 028;231 774;299 339;415 695;351 123;315 989;412 860;267 742;312 620;240 849;188 264;212 836;175 463;232 394;362 885;371 286;520 351;541 184;704 399
Elsõdleges jövedelmek elosztása ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.4;Tulajdonból származó jövedelem;23 546;-3 048;88 890;48 906;48 035;-35 360;-42 784;-107 430;8 966;-119 144;-178 277;-146 864;-105 611;-91 965;-164 680;64 272;-60 177;123 749;168 732;151 268;26 690;176 860;140 179;51 039;104 568;79 672;158 381
D.41;Kamat, nettó;105 587;119 582;226 093;183 776;212 551;192 794;191 252;233 785;317 239;344 107;382 413;483 983;628 557;637 472;309 678;503 717;652 593;550 220;664 980;637 182;620 772;682 477;649 010;439 426;721 602;931 553;1 261 305
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott kamat;1 021 725;1 112 493;1 201 806;1 303 324;1 260 698;1 279 098;1 243 260;1 154 962;1 313 154;1 625 971;1 568 892;1 872 300;2 388 820;2 958 905;2 923 107;2 526 944;2 582 314;2 628 452;2 132 048;1 653 110;1 435 190;1 303 025;1 234 717;1 260 743;1 671 660;2 259 788;2 752 460
;fizetett kamat;916 138;992 911;975 713;1 119 548;1 048 147;1 086 304;1 052 008;921 177;995 915;1 281 864;1 186 479;1 388 317;1 760 263;2 321 433;2 613 429;2 023 227;1 929 721;2 078 232;1 467 068;1 015 928;814 418;620 548;585 707;821 317;950 058;1 328 235;1 491 155
